workload,variant,comparison,speedup,descriptor_block_d256,descriptor_block_d512,line_mshr_full_d256,line_mshr_full_d512,l2d_full_d256,l2d_full_d512,speedup_percent,descriptor_block_base,descriptor_block_cell,line_mshr_full_base,line_mshr_full_cell,l2d_full_base,l2d_full_cell
3mm,B0-Banked,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
3mm,B0-Legacy,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
FWT_11_19,B0-Banked,D256_BASE_TO_D512_BASE,0.998666884,119765,0,0,0,119765,91575,,,,,,,
FWT_11_19,B0-Legacy,D256_BASE_TO_D512_BASE,0.998666884,119765,0,0,0,119765,91575,,,,,,,
FWT_7_21,B0-Banked,D256_BASE_TO_D512_BASE,0.995270375,1189823,0,0,0,1190064,1077737,,,,,,,
FWT_7_21,B0-Legacy,D256_BASE_TO_D512_BASE,0.995270375,1189823,0,0,0,1190064,1077737,,,,,,,
btree,B0-Banked,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
btree,B0-Legacy,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
cfd_097k,B0-Banked,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
cfd_097k,B0-Legacy,D256_BASE_TO_D512_BASE,1.003519350,64,0,0,0,64,0,,,,,,,
convolutionSeparable,B0-Banked,D256_BASE_TO_D512_BASE,0.993487583,3373327,0,0,931416,3133633,2455970,,,,,,,
convolutionSeparable,B0-Legacy,D256_BASE_TO_D512_BASE,0.993487583,3373327,0,0,931416,3133633,2455970,,,,,,,
dwt2d,B0-Banked,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
dwt2d,B0-Legacy,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
gemm,B0-Banked,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
gemm,B0-Legacy,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
sad,B0-Banked,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
sad,B0-Legacy,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
scan,B0-Banked,D256_BASE_TO_D512_BASE,0.997522830,60513316,0,0,19,62160071,58792353,,,,,,,
scan,B0-Legacy,D256_BASE_TO_D512_BASE,0.997522830,60513316,0,0,19,62160071,58792353,,,,,,,
sgemm,B0-Banked,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
sgemm,B0-Legacy,D256_BASE_TO_D512_BASE,1.000000000,0,0,0,0,0,0,,,,,,,
spmv,B0-Banked,D256_BASE_TO_D512_BASE,0.995458404,361635,0,0,0,348466,288174,,,,,,,
spmv,B0-Legacy,D256_BASE_TO_D512_BASE,0.995458404,361635,0,0,0,348466,288174,,,,,,,
vectorAdd_4M,B0-Banked,D256_BASE_TO_D512_BASE,0.992581863,2176663,0,0,0,2176661,1724003,,,,,,,
vectorAdd_4M,B0-Legacy,D256_BASE_TO_D512_BASE,0.992581863,2176663,0,0,0,2176661,1724003,,,,,,,
vectorAdd_4M,B0-Banked,D256_META_HR_VS_PROMOTED_PARENT,,,,,,,,0.36271557623870354,2176663.0,2113501.0,0.0,0.0,2176661.0,2113484.0
vectorAdd_4M,B0-Banked,D256_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,-0.3221772110600596,2176663.0,2131844.0,0.0,0.0,2176661.0,2131844.0
scan,B0-Banked,D256_META_HR_VS_PROMOTED_PARENT,,,,,,,,0.3165694102837069,60513316.0,59940635.0,0.0,0.0,62160071.0,61625939.0
scan,B0-Banked,D256_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,-0.1153442577120245,60513316.0,61294765.0,0.0,0.0,62160071.0,62681953.0
spmv,B0-Banked,D256_META_HR_VS_PROMOTED_PARENT,,,,,,,,-1.2089300758214017,361635.0,394994.0,0.0,0.0,348466.0,382721.0
spmv,B0-Banked,D256_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,-0.41188959660297675,361635.0,355694.0,0.0,0.0,348466.0,343735.0
convolutionSeparable,B0-Banked,D256_META_HR_VS_PROMOTED_PARENT,,,,,,,,0.06721518856445119,3373327.0,3398874.0,0.0,0.0,3133633.0,3168557.0
convolutionSeparable,B0-Banked,D256_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,-0.8053576614901026,3373327.0,3599654.0,0.0,0.0,3133633.0,3351059.0
btree,B0-Banked,D256_META_HR_VS_PROMOTED_PARENT,,,,,,,,2.1669997815198183,0.0,67.0,0.0,0.0,0.0,67.0
btree,B0-Banked,D256_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,1.912180159819199,0.0,0.0,0.0,0.0,0.0,0.0
sad,B0-Banked,D256_META_HR_VS_PROMOTED_PARENT,,,,,,,,0.7851281070397453,0.0,0.0,0.0,0.0,0.0,0.0
sad,B0-Banked,D256_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,0.8990854131142534,0.0,0.0,0.0,0.0,0.0,0.0
FWT_7_21,B0-Banked,D256_META_HR_VS_PROMOTED_PARENT,,,,,,,,-1.0895927456694876,1189823.0,1151809.0,0.0,0.0,1190064.0,1151021.0
FWT_7_21,B0-Banked,D256_BANK_HR_VS_PROMOTED_PARENT,,,,,,,,-0.6418955651217972,1189823.0,1171009.0,0.0,0.0,1190064.0,1170376.0
vectorAdd_4M,B0-Banked,D512_META_HR_VS_PROMOTED_PARENT,,,,,,,,0.596445836453996,0.0,0.0,0.0,0.0,1724003.0,1857242.0
