cell,workload,variant,snapshot_status,channels,weighted_mean,p50,p95,max,n_cmd_sum
D256_BASE,3mm,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,0.005747,0.005747,0.005747,39914176
D512_BASE,3mm,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,0.005747,0.005747,0.005747,39914176
D256_BASE,3mm,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,0.005747,0.005747,0.005747,39914176
D512_BASE,3mm,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,0.005747,0.005747,0.005747,39914176
D256_BASE,FWT_11_19,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.031797999999999986,0.031798,0.031798,0.031798,4122016
D512_BASE,FWT_11_19,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.03175599999999998,0.031756,0.031756,0.031756,4127520
D256_BASE,FWT_11_19,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.031797999999999986,0.031798,0.031798,0.031798,4122016
D512_BASE,FWT_11_19,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.03175599999999998,0.031756,0.031756,0.031756,4127520
D256_BASE,FWT_7_21,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16291921875,0.162954,0.163558,0.163612,11857120
D512_BASE,FWT_7_21,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16208846875000005,0.162172,0.162602,0.162774,11913472
D256_BASE,FWT_7_21,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16291921875,0.162954,0.163558,0.163612,11857120
D512_BASE,FWT_7_21,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16208846875000005,0.162172,0.162602,0.162774,11913472
D256_BASE,btree,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,0.144115,0.149822,0.150729,3033792
D512_BASE,btree,B0-Banked,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,0.144115,0.149822,0.150729,3033792
D256_BASE,btree,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,0.144115,0.149822,0.150729,3033792
D512_BASE,btree,B0-Legacy,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,0.144115,0.149822,0.150729,3033792
