workload,primary_archetype,descriptor_regime,descriptor_evidence,line_mshr_regime,line_mshr_evidence,per_address_regime,per_address_evidence,tag_regime,tag_evidence,wad_regime,wad_evidence,payload_regime,payload_evidence,bank_regime,bank_evidence,l1_causal_regime,l1_evidence,lower_path_regime,lower_path_evidence,dram_bw_regime,dram_bw_evidence,temporal_regime,temporal_evidence,bottleneck_substitution_chain,chain_evidence,unified_payload_relevance,ro_pending_tag_relevance,tvd_relevance,headroom_axis_candidate,confidence_evidence_status
3mm,LOW_L2_PRESSURE_CONTROL,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NO_CAPACITY_DENIAL_OBSERVED,MEASURED,NO_TRUE_BANK_CONFLICT,MEASURED,L1_NOT_CAUSAL,UNKNOWN_NEEDS_TELEMETRY,LOW_DOWNSTREAM_PRESSURE,MEASURED,LOW_BW,MEASURED,LOW_ACTIVITY,MEASURED,NONE_OBSERVED,MEASURED,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,NONE,MEASURED
FWT_11_19,BURSTY_DESCRIPTOR_LOW_BW,BURSTY,MEASURED,NEAR_CAPACITY,MEASURED,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NO_CAPACITY_DENIAL_OBSERVED,MEASURED,NO_TRUE_BANK_CONFLICT,MEASURED,L1_NOT_CAUSAL,UNKNOWN_NEEDS_TELEMETRY,LOW_DOWNSTREAM_PRESSURE,MEASURED,LOW_BW,MEASURED,PHASE_SEPARATED,MEASURED,D256_DESCRIPTOR_TO_D512_NO_MATERIAL_CYCLE_RESPONSE,CONTROLLED_SENSITIVITY,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,NONE,MEASURED
FWT_7_21,BURSTY_DESCRIPTOR_WAD_LOWER,BURSTY,MEASURED,NEAR_CAPACITY,MEASURED,NONE,MEASURED,NONE,MEASURED,WAD_HAZARD,MEASURED,NO_CAPACITY_DENIAL_OBSERVED,MEASURED,NO_TRUE_BANK_CONFLICT,MEASURED,L1_NOT_CAUSAL,CONTROLLED_SENSITIVITY,QUEUE/SCHEDULER_PRESSURE,MEASURED,MODERATE_BW,MEASURED,PHASE_SEPARATED,MEASURED,D256_DESCRIPTOR_TO_LOWER_PATH,CONTROLLED_SENSITIVITY,UNKNOWN_NEEDS_TELEMETRY,SECONDARY_TARGET,UNKNOWN_NEEDS_TELEMETRY,H_SCHED_OR_H_L2D,INFERRED
btree,ADDRESS_LOCAL_WEAK_L1_CONTROL,NONE,MEASURED,NONE,MEASURED,EXACT_FULL_BLOCKING,MEASURED,NONE,MEASURED,NONE,MEASURED,NO_CAPACITY_DENIAL_OBSERVED,MEASURED,NO_TRUE_BANK_CONFLICT,MEASURED,L1_WEAK_LOCAL_SENSITIVITY,CONTROLLED_SENSITIVITY,LOW_DOWNSTREAM_PRESSURE,MEASURED,LOW_BW,MEASURED,LOW_ACTIVITY,MEASURED,ADDRESS_CAP_ONLY,MEASURED,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,NONE,MEASURED
cfd_097k,BANK_SERVICE_CONTENTION,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,WAD_HAZARD,MEASURED,NO_CAPACITY_DENIAL_OBSERVED,MEASURED,TRUE_BANK_CONFLICT,MEASURED,L1_NOT_CAUSAL,UNKNOWN_NEEDS_TELEMETRY,LOW_DOWNSTREAM_PRESSURE,MEASURED,LOW_BW,MEASURED,LOW_ACTIVITY,MEASURED,BANK_SERVICE_LIMIT,MEASURED,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,NONE,MEASURED
convolutionSeparable,DESCRIPTOR_TO_MSHR_DOWNSTREAM,SUSTAINED,MEASURED,EXACT_FULL_BLOCKING,CONTROLLED_SENSITIVITY,NONE,MEASURED,NONE,MEASURED,WAD_HAZARD,MEASURED,NO_CAPACITY_DENIAL_OBSERVED,MEASURED,NO_TRUE_BANK_CONFLICT,MEASURED,L1_NOT_CAUSAL,CONTROLLED_SENSITIVITY,QUEUE/SCHEDULER_PRESSURE,MEASURED,HIGH_BW,MEASURED,SUSTAINED,MEASURED,D256_DESCRIPTOR_TO_D512_LINE_MSHR_TO_MISSQ_WAD_LOWER,CONTROLLED_SENSITIVITY,UNKNOWN_NEEDS_TELEMETRY,SECONDARY_TARGET,UNKNOWN_NEEDS_TELEMETRY,H_SCHED_OR_H_L2D,CONTROLLED_SENSITIVITY
dwt2d,WAD_VICTIM_LIFETIME_CANDIDATE,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,WAD_FULL_OR_HAZARD,MEASURED,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,NO_TRUE_BANK_CONFLICT,MEASURED,L1_NOT_CAUSAL,UNKNOWN_NEEDS_TELEMETRY,QUEUE/SCHEDULER_PRESSURE,MEASURED,MODERATE_BW,MEASURED,PHASE_SEPARATED,MEASURED,WAD_TO_LOWER_PATH_INFERRED,INFERRED,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,SECONDARY_TARGET,H_SCHED_OR_H_L2D,INFERRED
gemm,LOW_L2_PRESSURE_CONTROL,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NO_CAPACITY_DENIAL_OBSERVED,MEASURED,NO_TRUE_BANK_CONFLICT,MEASURED,L1_NOT_CAUSAL,UNKNOWN_NEEDS_TELEMETRY,LOW_DOWNSTREAM_PRESSURE,MEASURED,LOW_BW,MEASURED,LOW_ACTIVITY,MEASURED,NONE_OBSERVED,MEASURED,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,NONE,MEASURED
sad,LOW_L2_PRESSURE_CONTROL,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NONE,MEASURED,NO_CAPACITY_DENIAL_OBSERVED,MEASURED,NO_TRUE_BANK_CONFLICT,MEASURED,L1_NOT_CAUSAL,CONTROLLED_SENSITIVITY,LOW_DOWNSTREAM_PRESSURE,MEASURED,LOW_BW,MEASURED,LOW_ACTIVITY,MEASURED,NONE_OBSERVED,MEASURED,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,NONE,MEASURED
scan,SUSTAINED_DESCRIPTOR_HIGH_BW,SUSTAINED,MEASURED,NEAR_CAPACITY,MEASURED,NONE,MEASURED,TAG_OR_SET_PRESSURE,MEASURED,WAD_HAZARD,MEASURED,UNKNOWN_NEEDS_TELEMETRY,UNKNOWN_NEEDS_TELEMETRY,NO_TRUE_BANK_CONFLICT,MEASURED,L1_NOT_CAUSAL,CONTROLLED_SENSITIVITY,QUEUE/SCHEDULER_PRESSURE,MEASURED,HIGH_BW,MEASURED,SUSTAINED,MEASURED,D256_DESCRIPTOR_TO_D512_LOWER_SCHEDULER_BW,CONTROLLED_SENSITIVITY,UNKNOWN_NEEDS_TELEMETRY,SECONDARY_TARGET,UNKNOWN_NEEDS_TELEMETRY,H_SCHED_AND_H_BW,CONTROLLED_SENSITIVITY
