cell,workload,variant,binding,runtime_config_composite_sha256,cycles,descriptor_need,descriptor_pool_full_block,descriptor_avg,descriptor_p95,line_mshr_avg,line_mshr_p95,line_mshr_full_block,per_address_cap_block,wad_full_events,bank_true_conflict_ops,l2_to_dram_full_block,scheduler_full_cycles,lower_admission_byte_rate_norm,native_dram_snapshot_status,native_dram_channels_observed,native_dram_data_bus_util_weighted_mean,l1_mshr_entry_fail,l1_miss_queue_full,l1_bank_latency_queue_conflict
D256_BASE,3mm,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,1661135,333799,0,0,1,0,1,0,0,0,0,0,0,0.005746730,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,,,
D512_BASE,3mm,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,1661135,333799,0,0,1,0,1,0,0,0,0,0,0,0.005746730,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,,,
D256_BASE,3mm,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,1661135,333799,0,0,1,0,1,0,0,0,0,0,0,0.005746730,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,,,
D512_BASE,3mm,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,1661135,333799,0,0,1,0,1,0,0,0,0,0,0,0.005746730,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.005747000000000003,,,
D256_BASE,FWT_11_19,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,171549,250837,119765,6,0,2,0,0,0,0,0,119765,0,0.031798033,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.031797999999999986,,,
D512_BASE,FWT_11_19,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,171778,222647,0,7,0,2,0,0,0,0,0,91575,0,0.031755630,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.03175599999999998,,,
D256_BASE,FWT_11_19,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,171549,250837,119765,6,0,2,0,0,0,0,0,119765,0,0.031798033,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.031797999999999986,,,
D512_BASE,FWT_11_19,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,171778,222647,0,7,0,2,0,0,0,0,0,91575,0,0.031755630,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.03175599999999998,,,
D256_BASE,FWT_7_21,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,493466,2408066,1189823,25,255,7,73,0,0,0,0,1190064,483384,0.162919157,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16291921875,,,
D512_BASE,FWT_7_21,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,495811,2295101,0,27,280,7,81,0,0,0,0,1077737,476126,0.162088432,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16208846875000005,,,
D256_BASE,FWT_7_21,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,493466,2408066,1189823,25,255,7,73,0,0,0,0,1190064,483384,0.162919157,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16291921875,,,
D512_BASE,FWT_7_21,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,495811,2295101,0,27,280,7,81,0,0,0,0,1077737,476126,0.162088432,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.16208846875000005,,,
D256_BASE,btree,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,126259,477174,0,9,48,2,15,0,674,0,0,0,0,0.144319716,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,,,
D512_BASE,btree,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,126259,477174,0,9,48,2,15,0,674,0,0,0,0,0.144319716,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,,,
D256_BASE,btree,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,126259,477174,0,9,48,2,15,0,674,0,0,0,0,0.144319716,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,,,
D512_BASE,btree,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,126259,477174,0,9,48,2,15,0,674,0,0,0,0,0.144319716,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.14431968750000002,,,
D256_BASE,cfd_097k,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,81443,212597,0,14,143,3,38,0,0,0,16166,0,57659,0.172253655,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.17225362499999997,,,
D512_BASE,cfd_097k,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,81443,212597,0,14,143,3,38,0,0,0,16166,0,57659,0.172253655,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.17225362499999997,,,
D256_BASE,cfd_097k,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,79555,212610,64,14,139,3,37,0,0,0,0,64,58412,0.176294446,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.17629446875000002,,,
D512_BASE,cfd_097k,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,79276,212431,0,14,139,3,37,0,0,0,0,0,58213,0.176783224,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.1767833125,,,
D256_BASE,convolutionSeparable,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,290308,5865143,3373327,109,256,42,112,0,0,8266,0,3133633,1276637,0.651093299,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6510933124999998,,,
D512_BASE,convolutionSeparable,B0-Banked,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,292211,4941849,0,119,321,46,128,931416,0,3407,0,2455970,1243887,0.646697654,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6466976562499999,,,
D256_BASE,convolutionSeparable,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,290308,5865143,3373327,109,256,42,112,0,0,8266,0,3133633,1276637,0.651093299,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6510933124999998,,,
D512_BASE,convolutionSeparable,B0-Legacy,DIRECT_RUN_AUDIT_PLUS_PROMOTED_REVIEW,a7dc3ce28f5e54ca966d08a7e3548a844533a9bee08b63ea4d964cd9ec2c9416,292211,4941849,0,119,321,46,128,931416,0,3407,0,2455970,1243887,0.646697654,PASS_FINAL_COMPLETE_CHANNEL_SNAPSHOT,32,0.6466976562499999,,,
