kind	classification	accepted_target	bundle	phase	candidate	exact_function	grid	block	decode_step	occurrence	payload_rel	payload_sha256	runner_index_sha256	producer_identity	simulator_qualification	rtx4080_v1_replay
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ4_20260918T042948Z_2a49a61553fb	PREFILL	PREFILL_FLASH_OCC4	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	16,1,14	128,1,1	N/A	UNKNOWN	traces/kernel-194-ctx_0x5a5c2b62b620.traceg.xz	4375a9cfb33e2823ecaf4419282d0c14fb3d37a6caa0041b29b047babcd5a0ab	9cd188f9f3f20b1bde26c219fb36eeb4ff2533943a1532350062ed2671226805	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;c6733012c13099c6a86f506fd8c61e351791159e;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step32_20260918T191137Z_37c0afcbcad2	DECODE	DECODE_FLASH_PRIMARY_2_STEP32	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, 8, 4, true>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	32	0	traces/kernel-33661-ctx_0x5b94dfea7b40.traceg.xz	1034f66e9f40cdd35415f72d502b9148af572a06040a2e473f9e7958f567fe86	007dd217a1630d384031d02b683bf448250aab8fafcda5ae32861e7514df1231	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step8-occ16_20260918T224924Z_fc04ebc0caa3	DECODE	DECODE_FLASH_PRIMARY_2_STEP8_OCC16	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, 8, 4, true>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	8	16	traces/kernel-9077-ctx_0x60dc47b5bf60.traceg.xz	2a38b2379a7628e4a06cb8f8e13adf73cdc862c1f28508fa00e4ae6034f56957	727000f67e496dadc4c12b67b0778918838a47a68e16266b5fd0029a0510e1e9	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step16-occ8_20260918T231027Z_d451db6f7d1e	DECODE	DECODE_FLASH_PRIMARY_2_STEP16_OCC8	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, 8, 4, true>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	16	8	traces/kernel-17157-ctx_0x6415206c9290.traceg.xz	d4934e56119c2795baf6043f3e67fcabcdfd193396cd6121506b7b63f740f48a	c7429fe40604dfc9b48fdc4ab50709722ca008aeefa0360efa13825b7fb6ba4d	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step24_20260918T180758Z_7e422ad46000	DECODE	DECODE_FLASH_PRIMARY_1_STEP24	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	24	17	traces/kernel-25967-ctx_0x578f9fb98050.traceg.xz	bc4829537eebdff2fbceb2a72ed877316cc5b77acefdee4fa764c02b2d5cc25e	cee836812932fc7c72eea4b24a253e40b03d3a47d68851d74a159a585ee0e87e	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ2_20260918T041053Z_cc66696445b8	PREFILL	PREFILL_FLASH_OCC2	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	16,1,14	128,1,1	N/A	UNKNOWN	traces/kernel-114-ctx_0x649a45341800.traceg.xz	a4593f1099864cfc3f8e5dac71d14d92fb429a3c6e3257c531129b04e0316481	80a6f6d0f03c160045b473b88d95320bffa95d90d5371258936dc161e1dc1aeb	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;c6733012c13099c6a86f506fd8c61e351791159e;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-1-step16_20260918T175706Z_891c75aa245e	DECODE	DECODE_FLASH_PRIMARY_1_STEP16	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	16	17	traces/kernel-17543-ctx_0x5be0856adcb0.traceg.xz	282a9b18510bd0aaf54ec528c65bfb39d49b052902c6b87f3b85bb2973096371	59236d6c6746260a3127c8f858270c915e91c9d7959647047a8d44504a984773	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step24-occ16_20260918T235235Z_c08f3d4f25df	DECODE	DECODE_FLASH_PRIMARY_2_STEP24_OCC16	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, 8, 4, true>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	24	16	traces/kernel-25925-ctx_0x5d4b423d73e0.traceg.xz	5ab9f226e3f56d7d7bf17602e2b9308bdcd88c609db46d2b717c6e059c55ac2f	fe096797bdcb70d38b0bc57a6a5ab43cd2356e3e179bb8e65441fed5a84f17ac	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_prefill_awma-route-b-nvbit1771-sim-native_prefill-flash-occ9_20260918T050655Z_89982e74ae20	PREFILL	PREFILL_FLASH_OCC9	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 128, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 128, 128, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	16,1,14	128,1,1	N/A	UNKNOWN	traces/kernel-394-ctx_0x63aa5f671880.traceg.xz	7adfd695ff0e2d34447bffa1c9bdc8767f61475f37d5cbd2b53eb33d5fee3e9c	9faf005fe8607bfb840607fe2924c04c156f3b95543a5e7e6f5720ade16cb877	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;c6733012c13099c6a86f506fd8c61e351791159e;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
SIMULATOR_NATIVE	REQUIRES_REQUALIFICATION	NONE	C16R_qwen-qwen2-5-0-5b-instruct_s2-text_decode_awma-route-b-nvbit1771-sim-native_v2-decode-flash-primary-2-step32-occ8_20260919T001339Z_b49bc2a9845f	DECODE	DECODE_FLASH_PRIMARY_2_STEP32_OCC8	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<64, 64, 256, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<64, 64, 256, 4, cutlass::half_t> >, 8, 4, true>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	32	8	traces/kernel-34005-ctx_0x599890e645c0.traceg.xz	54cbe63b535b04269fc13820cfaaf7b21cc564d9af4edbf9de3809ecaf2fd23d	b84810ddc29bd69eaf3909482cd9cca5dd97ee6dcd738fef221acf1e9acf346b	AWMA_ROUTE_B_NVBIT1771_SIM_NATIVE;5143b4e10aaf2fc47bb60492155d2464b0b726fd;FORMAL	FORMAL_CAPTURE; replay not accepted on RTX4080/V1	NO
