artifact	path	bytes	sha256	classification
atax_base	/tmp/dtc-m4-atax-base-DH5C6v/r4m4-final.log	301899	95469ca92afaf230ede2bb2c09459370a51ca7c8f6017a6a26c7d9d2b96bba72	accepted compute Base
atax_io	/tmp/dtc-m4-atax-io-IuUz6g/r4m4.log	303205	587f2305356b5ebeab09f91427e611336ccbae6f384c0b5cf20bf4f0c1cdf151	accepted compute IO
atax_oo	/tmp/dtc-m4-atax-oo-tLsLVw/r4m4.log	301141	e5c0b6a9523d29c6ab6d6b5116af66c2491cac4f6bac474c65d16dd6055d8fe1	accepted compute OO
gemm_base	/tmp/dtc-m4-gemm-base2-T2ef2t/r4m4.log	167624	6989a543653a69d5c03a9ba0bf24aedaa3b2ff303a4a8ded75aa99a51789ea75	accepted compute Base
gemm_io	/tmp/dtc-m4-gemm-io-3fvFSl/r4m4.log	168154	905683e3848fc9ab00cbe035fb4fe6980f1b11f7f7fb221a7d4d297161750414	accepted compute IO
gemm_oo	/tmp/dtc-m4-gemm-oo-Vjbnmn/r4m4.log	167097	304ef9531adcd0905467e1a32545821761299861c04394afa821aea0f6bc3116	accepted compute OO
fdtd2d_base	/tmp/dtc-m4-fdtd2d-base-kI76Ya/r4m4.log	842725	c81790f3260f49e2f23ebbec93a0eccc35811c6d16008ce9e50be7e1dbee3511	accepted compute Base
fdtd2d_io	/tmp/dtc-m4-fdtd2d-io-oTuiVs/r4m4.log	844777	e0368b7e184378ac8c79c4fc94ecc03881ac3715d3a650809e2276c8bf97dee2	accepted compute IO
fdtd2d_oo	/tmp/dtc-m4-fdtd2d-oo-5OMzAY/r4m4.log	838310	3b33eeb87f1b13b16e36bcc64caf5e622a5e47bcf71bd2f37ae472ebd40321e0	accepted compute OO
spmv_base	/tmp/dtc-m4-spmv-base-NgJjNi/r4m4.log	6353671	e86758ffbe83d0ba0f6f724b147b99c2b70ab3b89c795a68587d54024de81acc	accepted compute Base
spmv_io	/tmp/dtc-m4-spmv-io-7gnwwv/r4m4.log	6346406	95d87417e4635aa8d7494ee21f17bc8e28b17c27495358393cec56fcb4d4372d	accepted compute IO
spmv_oo	/tmp/dtc-m4-spmv-oo-68ii4A/r4m4.log	6292848	d8bce5deb15af04d18092e46336ed074dc0d57b517cfd537a03aba3ff03195de	accepted compute OO
sgemm_base	/tmp/dtc-m4-sgemm-base-nYDr1E/r4m4.log	167276	20b9224e88cb6628ebd7ec7741e5bf333f8cfb2de08375c565d30fb757a98b60	accepted compute Base
sgemm_io	/tmp/dtc-m4-sgemm-io-W47D6a/r4m4.log	167912	f006c1e14a360340284fbb37535cb4896e2a467376fd97a7c1609bea85d791b5	accepted compute IO
sgemm_oo	/tmp/dtc-m4-sgemm-oo-tayFRx/r4m4.log	166858	246a682d652358663dff6c63aaf5a8060f60e391e0b054f83808da5afdcd9a7a	accepted compute OO
atomic_pair_io	/tmp/dtc-l1-m4atomicpair-20260903-io/r4m4.log	157701	d2200e8e6ac4796c8000956dabf34c7789e561693f0383431d4d346c10511d5d	A02 directed same-address proof (strict JSON retained)
mixed_cg_io	/tmp/dtc-l1-m4mix-cg-20260903-io/r4m4.log	164234	5929e3d5627b1aa90e8f52cbbfac3c67f5264e9bd2206aa4f932704da173de88	MIX01/BP01 directed proof
store_hit_miss_io	/tmp/dtc-l1-m4store-20260903-io/r4m4.log	164140	3edf7ed3fefa728aca0d720c93fbbf5ba0b56ba8d3d0d26b2ae07a0ba7ae6961	W01--W04 directed proof (strict JSON retained)
