id	year	title	venue_or_status	doi	reading_status	primary_source	reading_scope	note	priority
P01	2003	Distance Associativity for High-Performance Energy-Efficient Non-Uniform Cache Architectures	MICRO	NOT_VERIFIED_THIS_ROUND	FULLTEXT_TARGETED	https://engineering.purdue.edu/~vijay/papers/2003/nurapid.pdf	Sections 2.1-2.2; placement/replacement distinction; selected evaluation context	PAPER_NOTES_ZH.md#p01	RELATED_WORK_FOUNDATION
P02	2005	The V-Way Cache: Demand-Based Associativity via Global Replacement	ISCA	10.1109/ISCA.2005.52	FULLTEXT_TARGETED	https://hps.ece.utexas.edu/pub/qureshi_isca05.pdf	Sections 3.1-3.3; global replacement; evaluation and cost context	PAPER_NOTES_ZH.md#p02	RELATED_WORK_FOUNDATION
P03	2015	Locality-Driven Dynamic GPU Cache Bypassing	ICS	10.1145/2751205.2751237	FULLTEXT_TARGETED	https://d1qx31qr3h6wln.cloudfront.net/publications/ICS_Cache_Bypassing_2015.pdf	Sections 4.1-4.3 and 5; Figures 6-7 and Tables 2-3 visually checked; selected results	PAPER_NOTES_ZH.md#p03	CLOSEST_TAG_DATA_COMPARISON
P04	2014	MRPB: Memory Request Prioritization for Massively Parallel Processors	HPCA	10.1109/HPCA.2014.6835938	FULLTEXT_TARGETED	https://mrmgroup.cs.princeton.edu/papers/mrpb.pdf	Sections 2-4; request reordering/bypass; Table 1 and bypass rules visually checked	PAPER_NOTES_ZH.md#p04	CLOSEST_MISS_BLOCKING_COMPARISON
P05	2015	Exploiting Inter-Warp Heterogeneity to Improve GPGPU Performance	PACT	10.1109/PACT.2015.38	FULLTEXT_TARGETED	https://www.pdl.cmu.edu/PDL-FTP/associated/medic-pact15.pdf	Sections 3.2 and 4-5; selected results; memory-priority design visually checked	PAPER_NOTES_ZH.md#p05	MEMORY_HIERARCHY_COORDINATION
P06	2017	SACAT: Streaming-Aware Conflict-Avoiding Thrashing-Resistant GPGPU Cache Management Scheme	IEEE TPDS 28(6)	10.1109/TPDS.2016.2627560	FULLTEXT_TARGETED	https://mkhairy.github.io/Docs/sacat.pdf	Contention taxonomy; three design components; selected comparisons; publication frontmatter checked	PAPER_NOTES_ZH.md#p06	THROTTLING_AND_CONFLICT
P07	2019	Poise: Balancing Thread-Level Parallelism and Memory System Performance in GPUs Using Machine Learning	HPCA	NOT_VERIFIED_THIS_ROUND	FULLTEXT_TARGETED	https://users.cs.utah.edu/~vijay/papers/hpca19.pdf	Overview; features/regression; runtime decisions; evaluation split and methodology	PAPER_NOTES_ZH.md#p07	ADAPTIVE_CONTROL_PRIOR_ART
P08	2025	LLaMCAT: Optimizing Large Language Model Inference with Cache Arbitration and Throttling	ICPP; author manuscript arXiv:2512.00083v1	10.1145/3754598.3754671	FULLTEXT_TARGETED	https://arxiv.org/html/2512.00083v1	Sections 2.4 and 4-6; publication header; arbitration/throttling; model and workload scope	PAPER_NOTES_ZH.md#p08	RECENT_MISS_STATE_AND_CONTROL
P09	2026	RPAWS: A resource-pressure aware warp scheduler for GPGPU	IEICE Electronics Express 23(12), 20260028	10.1587/elex.23.20260028	FULLTEXT_TARGETED	https://www.jstage.jst.go.jp/article/elex/23/12/23_23.20260028/_pdf/-char/en	Mechanism; algorithm; evaluation; Tables 1-2 and block diagram visually checked	PAPER_NOTES_ZH.md#p09	RECENT_SCHEDULING_BOUNDARY
P10	2012	Cache-Conscious Wavefront Scheduling	MICRO	10.1109/MICRO.2012.16	PRIMARY_FRONTMATTER	https://people.ece.ubc.ca/aamodt/papers/tgrogers.micro2012.pdf	Original first page and author publication record only; full design/evaluation not completed	PAPER_NOTES_ZH.md#p10	NEXT_FULLTEXT_READ
P11	2019	Dynamically Linked MSHRs for Adaptive Miss Handling in GPUs	ICS	10.1145/3330345.3330390	METADATA_ONLY	https://web.engr.oregonstate.edu/~chenliz/publications.html	Author publication entry and publisher indexed metadata; PDF retrieval unsuccessful	PAPER_NOTES_ZH.md#p11	HIGHEST_PRIORITY_GAP
P12	2024	MiCache: An MSHR-inclusive Non-blocking Cache Design for FPGAs	ACM/SIGDA FPGA	10.1145/3626202.3637571	METADATA_ONLY	https://doi.org/10.1145/3626202.3637571	Publisher indexed title/DOI; detailed mechanism and experiments unverified	PAPER_NOTES_ZH.md#p12	HIGHEST_PRIORITY_GAP
R01	2026	TTP: A Hardware-Efficient Design for Precise Prefetching in Ray Tracing	arXiv:2605.16253v1 preprint	NOT_APPLICABLE	ABSTRACT_SCREEN	https://arxiv.org/html/2605.16253v1	Abstract-level topical screening only	PAPER_NOTES_ZH.md#recent-screen	PERIPHERAL_GRAPHICS
R02	2026	TileLens: Efficiently Using Large-Granularity Memory Systems with Transparent Two-Dimensional Memory Layout	arXiv:2607.04031v1 preprint	NOT_APPLICABLE	ABSTRACT_SCREEN	https://arxiv.org/html/2607.04031v1	Abstract-level topical screening only	PAPER_NOTES_ZH.md#recent-screen	PERIPHERAL_GRANULARITY
