id	main_control_or_state	verified_relationship	DTC_comparison_question	claim_limit	reading_status
P01	Tag lookup versus nonuniform data placement	Pointers support independent placement/replacement decisions	How does replacement interact with old consumers and pending data?	General mapping decoupling is prior art; transient-state equivalence NOT_ESTABLISHED	FULLTEXT_TARGETED
P02	Tag capacity versus globally replaced data capacity	More tags than data; data allocation not fixed to tag-set ways	Does DTC release a logical mapping while retaining referenced physical storage?	Opposite tag/data ratio alone is not novelty; all miss states NOT_AUDITED	FULLTEXT_TARGETED
P03	GPU L1 locality filtering using decoupled tags	Tag RC tracks reuse; Position tracks data location	Compare locality history to physical-line ownership/lifetime, not just pointer fields	RC is not DTC live-consumer Ref_cnt; GPU Tag/Data decoupling already exists	FULLTEXT_TARGETED
P04	Pre-cache request order and bypass	Requests are reordered/grouped or bypassed before cache access	Compare MRPB location/contents/release with metadata PIB and physical-line protection	Similar buffer name does not imply same mechanism; old benchmark classification not transferable	FULLTEXT_TARGETED
P05	Warp-class-based cache and memory priority	Bypass/insertion/scheduling cooperate across hierarchy	Which requests govern DTC instruction completion, not only average traffic?	Compatibility and additive benefit with DTC UNTESTED	FULLTEXT_TARGETED
P06	Streaming bypass, warp throttling, conflict indexing	Multiple contention sources require different controls	Separate DTC tag conflicts, live physical storage and downstream service	Generic adaptive concurrency balance is not new	FULLTEXT_TARGETED
P07	Active-warps and cache-allocating-warps controls	Regression-guided two-dimensional runtime choice	Is DTC global lower-credit control a different state/action unit?	Learning or adaptive cap alone does not establish novelty	FULLTEXT_TARGETED
P08	LLC arbitration and multi-level throttling	Arrival timing distinguishes cache/MSHR reuse; workload-specific model	How does visible pending-tag merge differ from retained but unsearchable data?	Not an end-to-end production GPU LLM benchmark; no automatic DTC superiority	FULLTEXT_TARGETED
P09	ALU/LSU issue pressure and warp selection	Instruction-type queues guide resource-aware scheduling	Are proposed DTC signals lifetime-specific rather than generic issue pressure?	Not direct L2/DRAM critical-resource measurement	FULLTEXT_TARGETED
P10	Cache-conscious wavefront issue control	Original abstract supports locality-aware load scheduling	Read exact detector and issue restriction before detailed comparison	Detector details and experiment contract NOT_COMPLETED	PRIMARY_FRONTMATTER
P11	Adaptive GPU miss handling	Title and publication metadata verified	Read allocation/merge ownership, timing and cost before novelty assessment	Mechanism details UNKNOWN, not absent	METADATA_ONLY
P12	MSHR-inclusive nonblocking cache	Title and publication metadata verified	Read state placement and resource ownership despite FPGA platform difference	Mechanism details UNKNOWN, not absent	METADATA_ONLY
