scenario	phase	decode_step	global_launch_index	exact_function	grid	block	occurrence	occurrences_at_selector	model_authority	input_authority	driver_sha256	classification	traceg_audit	producer_compatibility
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	1216,1,1	16,4,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	18992,1,1	8,8,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	224,1,1	16,4,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	224,1,1	32,4,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	152,2,1	512,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	32,1,1	32,4,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	1,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	2,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
S2_BASELINE	DECODE	UNKNOWN	UNKNOWN	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	2,1,1	128,1,1	UNKNOWN	UNKNOWN	Qwen/Qwen2.5-0.5B-Instruct@7ae557604adf67be50417f59c2c2f167def9a775	ACCEPTED_S2_TEXT_T2048_SHA256=0ab5bfe82130720edcbeac23c83b44b16cd8d21e4ccd5b4ee41c465c9159b4f9	HISTORICAL_S2_DRIVER_IDENTITY_NOT_RECOVERED_IN_COMPACT_CATALOG	SELECTOR_IDENTITY_BLOCKED	NODE164_TRACEG_NOT_FOUND_BY_READ_ONLY_PATH_AUDIT	NVBIT1771_REQUIRES_EXACT_GLOBAL_INDEX_OR_PHASE_SHAPE_SELECTOR_BINDING
