target	domain	metric	kind	off_total	v2_total	off_mean	v2_mean	off_peak	v2_peak
T0	memory	ldst_resource_stall	event	1666560	1666560	1.0	1.0	39	47
T0	memory	ldst_coal_stall	event	9357062	9560788	1.0	1.0	76	76
T0	memory	ldst_icnt_stall	event	483238	425786	1.0	1.0	47	40
T0	memory	l1_reservation_fail	event	18939	6717	1.0	1.0	8	8
T0	memory	l2_reservation_fail	event	107864	134701	1.0	1.0	8	7
T0	memory	icnt_to_l2_occupancy	gauge	41642817	46074593	4.930281841	5.51079815	61	61
T0	memory	l2_to_dram_occupancy	gauge	45015671	47455389	5.329609312	5.675949648	64	64
T0	memory	dram_queue_occupancy	gauge	60254955	61085026	6.382264061	6.536390403	64	64
T0	scheduler	dependency_scoreboard	event	5188513	5378499	1.0	1.0	304	304
T0	scheduler	eligible_structural	event	79840430	80143426	1.0	1.0	304	304
T0	scheduler	frontend_starvation	event	72965	74417	1.0	1.0	304	304
T1	memory	ldst_resource_stall	event	3716553	3722748	1.0	1.0	20	22
T1	memory	ldst_coal_stall	event	14985629	14328173	1.0	1.0	76	76
T1	memory	ldst_icnt_stall	event	2642710	2042396	1.0	1.0	63	63
T1	memory	l1_reservation_fail	event	3850	55163	1.0	1.0	6	23
T1	memory	l2_reservation_fail	event	267353	159402	1.0	1.0	13	9
T1	memory	icnt_to_l2_occupancy	gauge	28596033	24773064	2.684359708	2.389366253	61	61
T1	memory	l2_to_dram_occupancy	gauge	0	0	0.0	0.0	0	0
T1	memory	dram_queue_occupancy	gauge	9674371	9395482	0.812470942	0.810722456	21	28
T1	scheduler	dependency_scoreboard	event	2330097	2343414	1.0	1.0	304	304
T1	scheduler	eligible_structural	event	173757040	167808290	1.0	1.0	304	304
T1	scheduler	frontend_starvation	event	838217	1258707	1.0	1.0	304	304
T2	memory	ldst_resource_stall	event	306757	257779	1.0	1.0	49	50
T2	memory	ldst_coal_stall	event	3472027	3534394	1.0	1.0	76	76
T2	memory	ldst_icnt_stall	event	0	0	0.0	0.0	0	0
T2	memory	l1_reservation_fail	event	1221939	1064818	1.0	1.0	179	179
T2	memory	l2_reservation_fail	event	89224	98167	1.0	1.0	7	6
T2	memory	icnt_to_l2_occupancy	gauge	57945038	62161485	38.908506484	42.063757958	61	61
T2	memory	l2_to_dram_occupancy	gauge	62917923	66427135	42.247662604	44.950260253	64	64
T2	memory	dram_queue_occupancy	gauge	83085495	84317662	49.91222985	51.045679643	64	64
T2	scheduler	dependency_scoreboard	event	12290469	11810322	1.0	1.0	261	274
T2	scheduler	eligible_structural	event	11576171	11656657	1.0	1.0	304	304
T2	scheduler	frontend_starvation	event	77755	82547	1.0	1.0	152	152
SPLITKV	memory	ldst_resource_stall	event	222264	222264	1.0	1.0	20	17
SPLITKV	memory	ldst_coal_stall	event	802263	813146	1.0	1.0	76	76
SPLITKV	memory	ldst_icnt_stall	event	791368	779753	1.0	1.0	67	67
SPLITKV	memory	l1_reservation_fail	event	0	0	0.0	0.0	0	0
SPLITKV	memory	l2_reservation_fail	event	67753	65247	1.0	1.0	8	8
SPLITKV	memory	icnt_to_l2_occupancy	gauge	22470385	21774652	18.998134038	18.411902185	61	61
SPLITKV	memory	l2_to_dram_occupancy	gauge	28486228	27588593	24.084374958	23.327972164	64	64
SPLITKV	memory	dram_queue_occupancy	gauge	51851521	51517960	39.220841276	38.972778494	64	64
SPLITKV	scheduler	dependency_scoreboard	event	4395989	4453217	1.0	1.0	304	304
SPLITKV	scheduler	eligible_structural	event	5615569	5574799	1.0	1.0	304	304
SPLITKV	scheduler	frontend_starvation	event	81950	79250	1.0	1.0	304	304
COMBINE	memory	ldst_resource_stall	event	24	24	1.0	1.0	2	2
COMBINE	memory	ldst_coal_stall	event	4811	4811	1.0	1.0	2	2
COMBINE	memory	ldst_icnt_stall	event	0	0	0.0	0.0	0	0
COMBINE	memory	l1_reservation_fail	event	0	0	0.0	0.0	0	0
COMBINE	memory	l2_reservation_fail	event	0	0	0.0	0.0	0	0
COMBINE	memory	icnt_to_l2_occupancy	gauge	1105	1105	0.006589933	0.006589933	1	1
COMBINE	memory	l2_to_dram_occupancy	gauge	0	0	0.0	0.0	0	0
COMBINE	memory	dram_queue_occupancy	gauge	8877	8877	0.04736522	0.04736522	14	14
COMBINE	scheduler	dependency_scoreboard	event	34927	34927	1.0	1.0	8	8
COMBINE	scheduler	eligible_structural	event	31	31	1.0	1.0	6	6
COMBINE	scheduler	frontend_starvation	event	430	430	1.0	1.0	8	8
A1	memory	ldst_resource_stall	event	1782451	1716189	1.0	1.0	61	51
A1	memory	ldst_coal_stall	event	3483814	3417536	1.0	1.0	76	76
A1	memory	ldst_icnt_stall	event	0	0	0.0	0.0	0	0
A1	memory	l1_reservation_fail	event	9063894	8459386	1.0	1.0	240	242
A1	memory	l2_reservation_fail	event	65953	54467	1.0	1.0	9	6
A1	memory	icnt_to_l2_occupancy	gauge	27723569	26406823	15.182943513	14.343302431	61	61
A1	memory	l2_to_dram_occupancy	gauge	29248740	28929830	16.018210615	15.713715389	64	64
A1	memory	dram_queue_occupancy	gauge	58903291	56649093	28.86012831	27.528210429	64	64
A1	scheduler	dependency_scoreboard	event	21417704	20959429	1.0	1.0	304	304
A1	scheduler	eligible_structural	event	9222338	9618533	1.0	1.0	304	304
A1	scheduler	frontend_starvation	event	686175	283266	1.0	1.0	152	152
A2	memory	ldst_resource_stall	event	1967363	1635669	1.0	1.0	66	61
A2	memory	ldst_coal_stall	event	3311928	3437428	1.0	1.0	76	76
A2	memory	ldst_icnt_stall	event	0	0	0.0	0.0	0	0
A2	memory	l1_reservation_fail	event	9477276	7890444	1.0	1.0	232	251
A2	memory	l2_reservation_fail	event	30409	91921	1.0	1.0	8	7
A2	memory	icnt_to_l2_occupancy	gauge	25411619	26152655	13.494079657	14.575245776	61	61
A2	memory	l2_to_dram_occupancy	gauge	28140121	28928806	14.942968976	16.122434125	64	64
A2	memory	dram_queue_occupancy	gauge	59227930	58967936	28.137746279	29.401408844	64	64
A2	scheduler	dependency_scoreboard	event	21468147	20225946	1.0	1.0	304	304
A2	scheduler	eligible_structural	event	9730802	9429847	1.0	1.0	304	304
A2	scheduler	frontend_starvation	event	380957	336164	1.0	1.0	152	152
