target	static_index	classification	active_lane_address_events	opcode	sass	is_load	is_store	derived_access_kind	width_classification	width_bytes	start_unique_va	start_4k_pages	start_64k_pages	start_2m_pages	start_128b_lines	exact_width_touched_4k_pages	exact_width_touched_64k_pages	exact_width_touched_2m_pages	exact_width_touched_128b_lines	static_map_sha256
Q05_DECODE_EARLY_HEAVY	7	ZERO_EXECUTION_PROVEN	0	LDG.E	@P0 LDG.E R5, [R6.64] ;	1	0	READ	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	8	ZERO_EXECUTION_PROVEN	0	LDG.E	@P0 LDG.E R4, [R8.64] ;	1	0	READ	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	32	EXECUTED_SHARD	1	LDG.E	LDG.E R8, [R8.64] ;	1	0	READ	WIDTH_UNKNOWN		1	1	1	1	1					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	44	EXECUTED_SHARD	32	LDG.E	LDG.E R8, [R8.64] ;	1	0	READ	WIDTH_UNKNOWN		1	1	1	1	1					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	75	EXECUTED_SHARD	32	STG.E	@!P0 STG.E [R10.64], R9 ;	0	1	WRITE	WIDTH_UNKNOWN		32	1	1	1	1					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	90	ZERO_EXECUTION_PROVEN	0	STG.E	STG.E [R10.64], R13 ;	0	1	WRITE	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	108	ZERO_EXECUTION_PROVEN	0	STG.E	STG.E [R10.64], R13 ;	0	1	WRITE	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	120	ZERO_EXECUTION_PROVEN	0	STG.E	STG.E [R4.64], R7 ;	0	1	WRITE	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	132	ZERO_EXECUTION_PROVEN	0	LDG.E	LDG.E R15, [R14.64] ;	1	0	READ	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	138	ZERO_EXECUTION_PROVEN	0	STG.E	STG.E [R10.64], R9 ;	0	1	WRITE	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	152	ZERO_EXECUTION_PROVEN	0	LDG.E	LDG.E R13, [R12.64] ;	1	0	READ	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	166	ZERO_EXECUTION_PROVEN	0	STG.E	STG.E [R14.64], R9 ;	0	1	WRITE	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	178	ZERO_EXECUTION_PROVEN	0	LDG.E	LDG.E R13, [R12.64] ;	1	0	READ	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	192	ZERO_EXECUTION_PROVEN	0	STG.E	STG.E [R14.64], R9 ;	0	1	WRITE	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	203	ZERO_EXECUTION_PROVEN	0	LDG.E	LDG.E R11, [R10.64] ;	1	0	READ	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_HEAVY	211	ZERO_EXECUTION_PROVEN	0	STG.E	STG.E [R8.64], R5 ;	0	1	WRITE	WIDTH_UNKNOWN		0	0	0	0	0					a761d1e0c0d5dada059e00b76552e9247663178342b667a4afd63fc4cc1505d7
Q05_DECODE_EARLY_KV_ATTN	30	ZERO_EXECUTION_PROVEN	0	LDG.E	@P1 LDG.E R3, [R20.64] ;	1	0	READ	WIDTH_UNKNOWN		0	0	0	0	0					5e0254ebbb9c82e806f78227d9e6b68db2a62f6fa681b6f80bb22464e6169d86
Q05_DECODE_EARLY_KV_ATTN	31	ZERO_EXECUTION_PROVEN	0	LDG.E	@P1 LDG.E R0, [R20.64+0x4] ;	1	0	READ	WIDTH_UNKNOWN		0	0	0	0	0					5e0254ebbb9c82e806f78227d9e6b68db2a62f6fa681b6f80bb22464e6169d86
Q05_DECODE_EARLY_KV_ATTN	35	ZERO_EXECUTION_PROVEN	0	LDG.E	@!P0 LDG.E R9, [R18.64] ;	1	0	READ	WIDTH_UNKNOWN		0	0	0	0	0					5e0254ebbb9c82e806f78227d9e6b68db2a62f6fa681b6f80bb22464e6169d86
Q05_DECODE_EARLY_KV_ATTN	45	ZERO_EXECUTION_PROVEN	0	LDG.E	@P2 LDG.E R0, [R18.64+0x4] ;	1	0	READ	WIDTH_UNKNOWN		0	0	0	0	0					5e0254ebbb9c82e806f78227d9e6b68db2a62f6fa681b6f80bb22464e6169d86
