target	static_index	occurrence	address_space_id	process_pid	gpu_uuid	trace_sha256	address_context_sha256	object_map_sha256	same_process_binding	object_class	object_identity_sha256	runtime_name	active_lane_address_events	start_unique_va	start_4k_pages	start_64k_pages	start_2m_pages	start_128b_lines	exact_width_touched_4k_pages	exact_width_touched_64k_pages	exact_width_touched_2m_pages	exact_width_touched_128b_lines	alias_resolution
Q05_DECODE_EARLY_HEAVY	7	1	1206f5612a01481132afd30929d3d76f26503fbf9ca1beb926a55bc64f756305	204245	GPU-ce6cba36-415b-4e27-40e2-bded6bc1ee59	f051fc7330a3f5705ab5549049ab8ce0fb4981f4fe9fb00b1c4d557e307d685c	12f996b7bebab8d0ae9ad09138bae59957bb9a04165b504da9b13ca2b5b19b4d	f170e934e56cf4c378e20052bd443d85a8ebcc7d0be3ac557c8c8f794d8f5f8f	PASS	NO_ACTIVE_EVENTS			0	0	0	0	0	0					CLASS_PRIORITY_THEN_CANONICAL_SEMANTIC_IDENTITY
Q05_DECODE_EARLY_HEAVY	8	1	da738dcda0ee319d1b1a8a7021c75c929988a5817af66062e560cfe5efe108c3	204303	GPU-ce6cba36-415b-4e27-40e2-bded6bc1ee59	72a7f59c5c2dc8615d2ee68852f3d4264979cd68cc5514d93a7a1cec7e201e2a	a19f340541e4db86a39ca1f74dd410e527d7723d907ea2a24ca2bd1b3e7f15fc	553ea096861378cd5a9f38ba0b710b46fa63f59e8915fc4871f9af62d61fd439	PASS	NO_ACTIVE_EVENTS			0	0	0	0	0	0					CLASS_PRIORITY_THEN_CANONICAL_SEMANTIC_IDENTITY
Q05_DECODE_EARLY_HEAVY	32	1	78074465c2daabcb973e2472ab148d02b14b983ae452557d49a3c449d9c1b439	204366	GPU-ce6cba36-415b-4e27-40e2-bded6bc1ee59	cad4dd07e6ec85839f8f2749be92b4b77d7c7a68e2aa2ceb5cb1fa8ac345cd27	297d70636756f7a13f187e5988b4a4d92dbaf7e3bcb8220eb6898d2662086f73	bbf9ba478045fe2fe0e972b03523de7896f48064f740b8b9177c90b779427021	PASS	UNKNOWN_RUNTIME			1	1	1	1	1	1					CLASS_PRIORITY_THEN_CANONICAL_SEMANTIC_IDENTITY
Q05_DECODE_EARLY_HEAVY	44	1	a24dd4ff67c74aed7ef2d99526a92a7136bb0da14e9410ed07ae1c21a1d943a2	204424	GPU-ce6cba36-415b-4e27-40e2-bded6bc1ee59	f7ee9cd6754d9f743799f9bb8a2a320b6210d48a19c7958806d3e8663cd951e5	d5818b2cc0689655bd623ce251ecb5606bf21684b5a705b2d5fae6ceb406b53f	60d2dc2ec6d285aef2c00dd963281852e69ef75ff680096c266d3925c109ed3d	PASS	UNKNOWN_RUNTIME			32	1	1	1	1	1					CLASS_PRIORITY_THEN_CANONICAL_SEMANTIC_IDENTITY
Q05_DECODE_EARLY_HEAVY	75	1	46b6e96968f5c560c00971e64f7f4ce88361323c96eeee374178a9b54871572a	204482	GPU-ce6cba36-415b-4e27-40e2-bded6bc1ee59	fae702d46325cef214eb06d9ecfb4e2929e13c542c08520ac68eacb3de1f09ff	ff4599a9573640712b1a122ecf516522cb5790887f4c219ea6b7a81f6fc42ebc	c88c8aa304b5ec778ee955d45ce781a86ef985dce42235062d70443327321644	PASS	UNKNOWN_RUNTIME			32	32	1	1	1	1					CLASS_PRIORITY_THEN_CANONICAL_SEMANTIC_IDENTITY
Q05_DECODE_EARLY_HEAVY	90	1	6b2de7a2e6bad88a09af540fabc54cdf0b20f01a1b048d2da99d71a7d103c261	204540	GPU-ce6cba36-415b-4e27-40e2-bded6bc1ee59	691028419209efd624e83eeda8ae8f101af8ffe79a3b8f39e36911f879c401c6	803a813f1077a5b319a05f09b9fe85190c2b1edbac5d38a7283ea85e83bcbdf3	7df8957cb1f788ba909b557dd5a1ebabbc06c31959870dda3aecf9c753b2c6a3	PASS	NO_ACTIVE_EVENTS			0	0	0	0	0	0					CLASS_PRIORITY_THEN_CANONICAL_SEMANTIC_IDENTITY
Q05_DECODE_EARLY_HEAVY	108	1	b249516b1549f314abd41bbe8979ab38c28c218a20a7fbe9856efac585bb710f	204598	GPU-ce6cba36-415b-4e27-40e2-bded6bc1ee59	225be3242425468c853d5b36f56d2e272576630d33e5b44a3b31789f3ae0455d	ed0874daf627e623982127ffebcd01066bbffbfcf61f582415c499a0e9c9436a	98bd551d8ccc0fe37893b46b5dd73937bba6ffa1400b57b826c37efe3e3e889f	PASS	NO_ACTIVE_EVENTS			0	0	0	0	0	0					CLASS_PRIORITY_THEN_CANONICAL_SEMANTIC_IDENTITY
Q05_DECODE_EARLY_HEAVY	120	1	4a980535f4c4106b766aff0bb698c6281335dbd1fac1b93be5419bf563debbcd	204656	GPU-ce6cba36-415b-4e27-40e2-bded6bc1ee59	59145f21e741423ecd1877ec12cbdb38221a3154d3a298cea552293c1f30ab84	748eb4a7773ec61bc7e737ce3ac219e7e380ef5dac8abefa2ca0954c96158ac2	d541acd536f14a97a4d81ade9a296522b9be06a8bc0c32dccb7954716d1cafac	PASS	NO_ACTIVE_EVENTS			0	0	0	0	0	0					CLASS_PRIORITY_THEN_CANONICAL_SEMANTIC_IDENTITY
Q05_DECODE_EARLY_HEAVY	132	1	c4da0ea50ff972b38025407252bd2b6519e1669368fe055c11511e4666eb45ac	204714	GPU-ce6cba36-415b-4e27-40e2-bded6bc1ee59	7fb4fdb97d070927a116465ac647e981a68b46ee7ec1d2c09759e4ea1e5b9a61	d6fb0bc9b9f04198c39d7b54cd051742c18fb72cf24a78b45414fbcb4d4ede24	19f12b910237880a23e8e857f0523e902fc04901a98122a239005f495e50e0a8	PASS	NO_ACTIVE_EVENTS			0	0	0	0	0	0					CLASS_PRIORITY_THEN_CANONICAL_SEMANTIC_IDENTITY
Q05_DECODE_EARLY_HEAVY	138	1	79523561672992297d68cd4dda60063923e822d6ed8e46eed4f68cede8deebc3	204776	GPU-ce6cba36-415b-4e27-40e2-bded6bc1ee59	c200e68dac93e1368008176b7f55e1e4aa240190209f986fe7f9197b7849def0	48bae6f34a34bc547bb85182918dd675e3ce6c9c443fd3f038d4aeb79fa3c5c4	ed97181d5ed69b246329ecab636da4ce908fb306c8053ac35971cb09fc3ae5fc	PASS	NO_ACTIVE_EVENTS			0	0	0	0	0	0					CLASS_PRIORITY_THEN_CANONICAL_SEMANTIC_IDENTITY
