workload,artifact,path,sha256,core_commit,framework_commit,source_log_sha256
dwt2d,B0 target_slice,/workspace/results/ep_l2_streaming_reuse/formal_original_dwt2d_r1/dwt2d/on/b0/target_slice.csv,8652d74e0eaaba48a78790364df88b02fd7d8fb1f9beb681c8684d2c1302b5be,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,261160e54b99a3761cfafc77905bfdcfa65a0627acd121d3f88e5a7bf921d0d5
dwt2d,Motivation blocking,/workspace/results/ep_l2_streaming_reuse/formal_original_dwt2d_r1/dwt2d/on/motivation/blocking_breakdown.csv,f5145c4967f1206d0e93fba66292d0134e29e9b40df7d78327bd7d9873ba21ce,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,261160e54b99a3761cfafc77905bfdcfa65a0627acd121d3f88e5a7bf921d0d5
convolutionSeparable,B0 target_slice,/workspace/results/ep_l2_streaming_reuse/preflight_convolution_r4/convolutionSeparable/on/b0/target_slice.csv,08f8d0ea33e0fee396e7d9d4c79142eede569fa66c472fa8ab20e3a5e5ae5755,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,473415ebbac4f9beabe8f801e06d9deb4bec596722a81a032f9b48bc49dc8b6b
convolutionSeparable,Motivation blocking,/workspace/results/ep_l2_streaming_reuse/preflight_convolution_r4/convolutionSeparable/on/motivation/blocking_breakdown.csv,10d3833cb1eafd39f428d193253e3c63d794630f609a586fc25aad368105ea3a,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,473415ebbac4f9beabe8f801e06d9deb4bec596722a81a032f9b48bc49dc8b6b
spmv,B0 target_slice,/workspace/results/ep_l2_streaming_reuse/formal_original_spmv_r1/spmv/on/b0/target_slice.csv,9ff9c8eba49397bfcfd8b15302e223d1afe8c10e39b265b33146ae5c5339fcf1,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,3567f4ce6776b175267ff792b7a7118f00df5c093d485c1fbcdb01f172c989a4
spmv,Motivation blocking,/workspace/results/ep_l2_streaming_reuse/formal_original_spmv_r1/spmv/on/motivation/blocking_breakdown.csv,25a31b5989251bcd54386ecfb405c53c707cdc5bf2737c24bf0107224ccbf574,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,3567f4ce6776b175267ff792b7a7118f00df5c093d485c1fbcdb01f172c989a4
scan,B0 target_slice,/workspace/results/ep_l2_streaming_reuse/formal_original_scan_r1/scan/on/b0/target_slice.csv,a4b74b7935e4997da22a395ce0195f5397c70eb80970ce87491a114357951145,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,f9c105baf3e59658254142a900ef18e09985c46b90283db54da7056dadc4ae23
scan,Motivation blocking,/workspace/results/ep_l2_streaming_reuse/formal_original_scan_r1/scan/on/motivation/blocking_breakdown.csv,897b8045edc6e75b025f80e4cedbaf5d097cee2a2eba03df797f6f7e422cd22c,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,f9c105baf3e59658254142a900ef18e09985c46b90283db54da7056dadc4ae23
FWT_7_21,B0 target_slice,/workspace/results/ep_l2_streaming_reuse/formal_original_FWT_7_21_r1/FWT_7_21/on/b0/target_slice.csv,a3456be572645f9f884e12d872bf3fc637cb04cf36f8245889f2454826f76fcf,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,b6dfaff5f08edf67da76b72a76581453f7b052cf9a5b4788ac100263819777e6
FWT_7_21,Motivation blocking,/workspace/results/ep_l2_streaming_reuse/formal_original_FWT_7_21_r1/FWT_7_21/on/motivation/blocking_breakdown.csv,ee5b0e458bdd45d09e126388dcc177bcd1b4e47dd4aef3b4260de1f0212460f1,ca3e7bc0b8f61b5d7c052bcda2a91955a1e5c919,db1c90182fad02aacbd282b67ecdc57b8e4cc365,b6dfaff5f08edf67da76b72a76581453f7b052cf9a5b4788ac100263819777e6
