row	status	attempt_uuid_or_reuse	immutable_run_dir	validation_receipt
BICG_IO_Q0M0	EXACT_REUSE	34224e99-a5fc-411d-bae2-7948ce9a7b1b	/workspace/wave-a-sg3-sensitivity-runs/sg3_capacity_base_IO_BICG_34224e99-a5fc-411d-bae2-7948ce9a7b1b	ROW_LOCAL_VALIDATION_V1.json
BICG_OO_Q0M0	EXACT_REUSE	7d3e125c-20d2-4486-a0dd-bc81a488eeca	/workspace/wave-a-sg3-sensitivity-runs/sg3_capacity_base_OO_BICG_7d3e125c-20d2-4486-a0dd-bc81a488eeca	ROW_LOCAL_VALIDATION_V1.json
BICG_IO_Q1M0	EXACT_REUSE	82949efb-c7b6-494a-83e4-f615605bb106	/workspace/wave-a-sg3-headroom-runs/sg3_queue_128_IO_BICG_82949efb-c7b6-494a-83e4-f615605bb106	ROW_LOCAL_VALIDATION_V1.json
BICG_OO_Q1M0	EXACT_REUSE	88908b04-f264-4c32-aaa7-59d7d99831ae	/workspace/wave-a-sg3-headroom-runs/sg3_queue_128_OO_BICG_88908b04-f264-4c32-aaa7-59d7d99831ae	ROW_LOCAL_VALIDATION_V1.json
BICG_IO_Q0M1	PASS	97e0f112-8bfb-4655-9d5b-fe6340c44529	/workspace/wave-a-sg3-buffering-memory-runs/sg3_memservice_buswidth32_IO_BICG_97e0f112-8bfb-4655-9d5b-fe6340c44529	ROW_LOCAL_VALIDATION_V1.json
BICG_OO_Q0M1	PASS	4e56d716-851e-4d51-832d-b710a75c492a	/workspace/wave-a-sg3-buffering-memory-runs/sg3_memservice_buswidth32_OO_BICG_4e56d716-851e-4d51-832d-b710a75c492a	ROW_LOCAL_VALIDATION_V1.json
BICG_IO_Q1M1	PASS	dc8b5987-8364-4943-aada-6fe837c09ab7	/workspace/wave-a-sg3-buffering-memory-runs/sg3_queue_memservice_128_buswidth32_IO_BICG_dc8b5987-8364-4943-aada-6fe837c09ab7	ROW_LOCAL_VALIDATION_V1.json
BICG_OO_Q1M1	PASS	5112bf69-33ad-4da8-9a31-3ce5bb3e4b33	/workspace/wave-a-sg3-buffering-memory-runs/sg3_queue_memservice_128_buswidth32_OO_BICG_5112bf69-33ad-4da8-9a31-3ce5bb3e4b33	ROW_LOCAL_VALIDATION_V1.json
GESUMMV_IO_Q0M0	EXACT_REUSE	91ecb727-5459-4171-969e-540314efff38	/workspace/wave-a-sg3-sensitivity-runs/sg3_capacity_base_IO_GESUMMV_91ecb727-5459-4171-969e-540314efff38	ROW_LOCAL_VALIDATION_V1.json
GESUMMV_OO_Q0M0	EXACT_REUSE	ab3a9dbf-10fb-4c96-b9b7-981b4070207b	/workspace/wave-a-sg3-sensitivity-runs/sg3_capacity_base_OO_GESUMMV_ab3a9dbf-10fb-4c96-b9b7-981b4070207b	ROW_LOCAL_VALIDATION_V1.json
GESUMMV_IO_Q1M0	PASS	e44f570d-16de-4550-bb61-52792caebfb2	/workspace/wave-a-sg3-headroom-runs/sg3_queue_128_IO_GESUMMV_e44f570d-16de-4550-bb61-52792caebfb2	ROW_LOCAL_VALIDATION_V1.json
GESUMMV_OO_Q1M0	PASS	959a227a-8ed5-4b5c-9277-313cd947eabb	/workspace/wave-a-sg3-headroom-runs/sg3_queue_128_OO_GESUMMV_959a227a-8ed5-4b5c-9277-313cd947eabb	ROW_LOCAL_VALIDATION_V1.json
C1_incomplete_host_start	NONSCIENTIFIC_INCOMPLETE	4ce796aa-d99e-487a-86c4-5d14c2fcba11;cbbf81de-c0ec-4331-94f6-6ed7bdf88023;06b3343f-2a84-47ee-b15e-3151dde6c080;388cdece-124d-43c6-9b95-891684c6bc25	/workspace/wave-a-sg3-buffering-memory-runs/	No RUN_TERMINAL.tsv; preserved, not used
