audit_status,class,data_busy_ratio,fill_busy_ratio,input,merge_depth_p95,missq_p95,mshr_entry_p95,reserved_p95,suite,wb_request_fraction,workload
PASS,reference,0.00018704687499999985,0.0,NO_ARGS,0,0,0,0,Accel-Sim ubench,0.6918229557389347,mem_lat
FAIL,primary,0.0,0.0,NO_ARGS,1,0,72,23,CUDA SDK,0.0,BlackScholes
FAIL,primary,0.0,0.0,"logK=11,logD=19",0,0,0,0,CUDA SDK,0.0,fastWalshTransform_11_19
FAIL,primary,0.0,0.0,size=13920,1,0,52,14,CUDA SDK,0.0001214943070236897,scalarProd_13920
FAIL,primary,0.0,0.0,size=8192,1,0,55,14,CUDA SDK,0.00010489317107313343,scalarProd_8192
PASS,primary,0.0,0.0,NO_ARGS,0,0,0,0,CUDA SDK,0.0,sortingNetworks
FAIL,primary,0.0,0.0,512x512,0,0,0,0,CUDA SDK,0.0,transpose
FAIL,primary,0.04008600000000001,0.0,size=4000000,1,32,170,48,CUDA SDK,0.09631068838533312,vectorAdd_4000000
FAIL,primary,0.02257290625,0.0,size=6000000,1,32,165,46,CUDA SDK,0.10132392958693254,vectorAdd_6000000
FAIL,secondary,0.0,0.0,V100 staged,1,0,3,2,ISPASS,0.0,ispass_bfs
FAIL,secondary,0.0026235625000000005,0.0,V100 staged,1,0,12,4,ISPASS,0.10616061606160616,ispass_lps
FAIL,secondary,0.0,0.0,V100 staged,0,0,0,0,ISPASS,NA,ispass_ray
FAIL,secondary,0.0,0.0,V100 staged,0,0,0,0,Pannotia,0.0,fw_block
FAIL,primary,0.0,0.0,NY graph,0,0,0,0,Parboil,0.0,bfs
FAIL,primary,0.0,0.0,32x32x32,0,0,0,0,Parboil,0.0,mri-q
FAIL,primary,0.0087176875,0.0,default,1,0,8,4,Parboil,0.469620667612529,sad
FAIL,primary,0.0,0.0,Dubcova3 large,3,32,182,65,Parboil,0.0,spmv
FAIL,primary,7.1875e-07,0.0,mil+command,3,0,39,12,Rodinia,0.0026349839175859426,btree
FAIL,primary,0.0013481718749999991,0.0,fvcorr_097K,1,31,138,37,Rodinia,0.14326369777333,cfd_097k
FAIL,primary,0.029708828125,0.0,1024x1024,2,22,87,24,Rodinia,0.2609930822804459,dwt2d
FAIL,primary,0.00402415625,0.0,"1024x1024,2iter",4,0,42,18,Rodinia,0.056239683818949046,hotspot1
FAIL,primary,0.0,0.0,matrix-512,0,0,0,0,Rodinia,0.0,lud
FAIL,primary,0.0,0.0,filelist-4,1,0,64,20,Rodinia,0.0,nn
FAIL,secondary,0.0,0.0,"size=1,pass=1",1,0,73,26,SHOC,0.0,fft
FAIL,secondary,0.0,0.0,V100 staged,0,0,0,0,SHOC,0.0,gemm
