audit_status,block_dataport_ratio,block_missq_ratio,block_mshr_merge_ratio,block_mshr_new_ratio,block_respq_ratio,block_set_ratio,class,fill_ratio,input,suite,workload
PASS,0.44890202702702703,0.0,,0.0,0.0,0.0,reference,0.0,NO_ARGS,Accel-Sim ubench,mem_lat
FAIL,,0.0,,0.0,0.0,0.0,primary,0.0,NO_ARGS,CUDA SDK,BlackScholes
FAIL,0.0,0.5601300762805432,,0.0,0.004395308208185397,0.0,primary,0.0,"logK=11,logD=19",CUDA SDK,fastWalshTransform_11_19
FAIL,0.0,0.0,,0.0,0.0,0.0,primary,0.0,size=13920,CUDA SDK,scalarProd_13920
FAIL,0.0,0.0,,0.0,0.0,0.0,primary,0.0,size=8192,CUDA SDK,scalarProd_8192
PASS,0.0,0.0,,0.0,0.0,0.0,primary,0.0,NO_ARGS,CUDA SDK,sortingNetworks
FAIL,0.0,0.18977326113295256,,0.0,0.0,0.0,primary,0.0,512x512,CUDA SDK,transpose
FAIL,0.02688016407741457,0.7279959696833783,,0.0,0.0,0.0,primary,0.0,size=4000000,CUDA SDK,vectorAdd_4000000
FAIL,0.01256418953400022,0.7299175591099831,,0.0,0.0,0.0,primary,0.0,size=6000000,CUDA SDK,vectorAdd_6000000
FAIL,0.0,0.0,0.2967914438502674,0.0,0.001210015780324141,0.0,secondary,0.0,V100 staged,ISPASS,ispass_bfs
FAIL,0.005800667955703991,0.0,0.0,0.0,0.0,0.0,secondary,0.0,V100 staged,ISPASS,ispass_lps
FAIL,0.0,,,,0.0,0.0,secondary,,V100 staged,ISPASS,ispass_ray
FAIL,0.0,0.0,0.8800924179554885,0.0,0.0,0.0,secondary,0.0,V100 staged,Pannotia,fw_block
FAIL,0.0,0.0,0.23438767234387672,0.0,0.0,0.0,primary,0.0,NY graph,Parboil,bfs
FAIL,0.0,0.13839821642942893,,0.0,0.0,0.0,primary,0.0,32x32x32,Parboil,mri-q
FAIL,0.08801699871417437,0.0,0.0,0.0,0.0,0.0,primary,0.0,default,Parboil,sad
FAIL,0.0,0.5288536937422896,0.8756983240223464,0.002687084513303066,0.0,0.0,primary,0.0,Dubcova3 large,Parboil,spmv
FAIL,0.0,0.0025343782725883706,0.8367372603084261,0.0,0.0,0.0,primary,0.0,mil+command,Rodinia,btree
FAIL,0.0013323116243321078,0.5415274285336157,0.0,0.0,0.00333166142294773,0.0,primary,0.0,fvcorr_097K,Rodinia,cfd_097k
FAIL,0.10762987101748017,0.34110823886143893,0.0,0.0,0.0,0.0,primary,0.0,1024x1024,Rodinia,dwt2d
FAIL,0.011222486376749653,0.0,0.0,0.0,0.0,0.0,primary,0.0,"1024x1024,2iter",Rodinia,hotspot1
FAIL,0.0,0.0,,0.0,0.0,0.0,primary,0.0,matrix-512,Rodinia,lud
FAIL,,0.0,,0.0,0.0,0.0,primary,0.0,filelist-4,Rodinia,nn
FAIL,0.0,0.4601869774720975,,0.0,0.0,0.0,secondary,0.0,"size=1,pass=1",SHOC,fft
FAIL,0.0,0.0,0.8242403906562339,0.0,4.223745899446689e-06,0.0,secondary,0.0,V100 staged,SHOC,gemm
