relative_path	size_bytes	sha256
ENGINEERING_FAILURES.tsv	554	eb8fbf53e92e380349d56b968fe4ea66b92f73da0b13edc7fb18a71094cb292a
FINAL_DECISION.md	669	9a29a8ded2fac17d16a527a2c3adb2edce3f703d88aacdd4363a3b3c0c2d2626
FINAL_GATE.json	244	7c72b0f0c9bbe93b0cc1eecdcced699db0e9ef9b4b0a213421d26011bb4ae14f
INPUT_SOURCE_CLOSURE.json	389	532ed7156101c88f93f0cc96de3272c91c0b1ea3486fe79c318d38996646d734
NCU_STATUS.md	138	f6578d88ec01a03ed871d58d9a45b7341734119b5592bdd34eea5a88acb1b657
NSYS_LAUNCH_STRATA.tsv	19161	0a1097d61243fd2e080d734e9b59de3517443a12e6978241d611f458d49aadb2
P1_DECISION.md	1039	d112983a12f05aef28671d77b9794e55ba0b9ac5d3f0f9ce3ff0679671346be3
P1_GATE.json	367	42ee792d7c5c0d8959955cb2960f81518ac2e4ec1094a00bcc878a21225d11fb
P1_NUMERIC_CONTRACT_RESULTS.tsv	490	fbdc9c6ac6c39b031233e3d47b124301a445e58d8be615f0bdb165dd165a0847
P1_P2_DECISION_MATRIX.tsv	807	41ed9715788c0c916c5fa9661990fa0b3c7d0b58cf3442398593a5eea89c36b1
P1_TARGETS.tsv	310	9f0e26adafb52e37f880ddacfde6b69a6f37cabb575a64571f1d1ae9f56330c2
P1_TIMING_RESULTS.tsv	2786	916bbce0ac79c5678295fd9e957bcdc847a6e44d997b138ec6d06544cc8611c5
P2_CAUSAL_ACCOUNTING.tsv	624	6ad42cf673ab5cdb712db31715865bfccb0f061bfcae234bc92ec0a960822d35
P2_DECISION.md	1048	03c5fa9ebb2de79d441629f4e50ffa9b60eebe5d30df345182f682f411a0795a
P2_GATE.json	1213	bd1e954fe325411260103dae0521826b05ee923b4d195ade23bd07a9364248f3
P2_INDEX_EQUALITY.tsv	546	f7ffe12297c024185d443ebe66dfdfc31083f48c73706842cddf0f5b46c07ea9
P2_INPUT_RECEIPT.json	4921	d66f4937f511803cc4b34dd5bc7e1d57ef75cbe0192d327f40a93a6074fa4d1b
P2_SELECTOR_CONTRACT.md	1142	02f8ce1b353889c17e14947ecfc49a0a809ab54d2975e401f5c2294aecec8133
P2_STRONG_LIVENESS_RECEIPT.json	977	85a1157ef4f38dc701de747b3cfd87912c98f4f6022e390bc1df5164dc45a6da
P2_TARGET.tsv	337	8e0e022352819cbf7783e2d729c299484f3289d15c48b0ec47a353fdabcc67ff
P2_TIMING_RESULTS.tsv	3115	871d7519f026cd36b06a7667445a72815b0b12338169ce977ad35f8e16ef7e43
PREREGISTRATION.json	8087	af1895ab209e18ef3cbdf44d7df94127dfa14ab8d86867d7e9d35900e6b40370
PREREGISTRATION_AMENDMENT_1.json	783	2f6ab32bfa4328612229d7bbdd9c99cd1acd4abb94653675d41b6678bf5396f5
PREREGISTRATION_AMENDMENT_2.json	948	45d3f4137e1baaf5f73ca1023c05597d6dd70c577302a9c8973fd87ee97312fb
PREREGISTRATION_AMENDMENT_3.json	1165	33b1919049ed91f03667afa56ef8732815fa14e348d62d8e529eb961c465dad0
PREREGISTRATION_SHA256	87	3559ed22f1fbbd94f3ffe99f4f6f481c6336619acefda4956c685fefd05c9da3
PUBLICATION_HISTORY.md	554	1b016ee09cdbe9a88a960239ec3e3e608db7b53f6e0b9258d3744999d41310cb
README.md	651	e31ce97037538bd43a5ba288a02f5ab5414e132dabd5a2fe70dafddd78a581a7
REPORT.md	728	fc4c121393724f84fbfbc645084db1fe5ba9954bcf8267663ef0536b56073998
RUN_MATRIX.tsv	105721	fbfe12f6f23f0a23eeb954dd2258b5e811f9a3bae1ef63858410b2c2e518d85b
SOURCE_AND_ASSET_AUDIT.md	1677	f0db86faa9a5c71ea33e93f8443bfc14f6e7fd21fb3bef6ebee01e1d1be7549b
THERMAL_VALIDATION.tsv	1044	203361586301aab8b4f0ec0396c2718d365c2e362aabcef71fbb39a749ae46d4
input/P2_INPUT_RECEIPT.json	4921	d66f4937f511803cc4b34dd5bc7e1d57ef75cbe0192d327f40a93a6074fa4d1b
input/QWEN25_0P5B_P1_P2_QKV.pt	8436147	1ceed1e94363d8f459fb19f9e7b0a1196d59702ce43c4a7dcd20203fab38e939
runs/P1_FIXED_SPLIT_TRITON_256_B1/canary.nsys-rep	169372	1d82d603b52ed3e038618ebe413fe747e8d24084a313e2f53008d84624eec4ef
runs/P1_FIXED_SPLIT_TRITON_256_B1/canary.stderr	3694	d48ed1bdfe9678d73e1affd4e057304ba359bb40a252b643909f0d67e713cfa9
runs/P1_FIXED_SPLIT_TRITON_256_B1/canary.stdout	708	5bce82f2dfacddab89045176ed88e102d3a999138dc8b00a6139c6d394236a1d
runs/P1_FIXED_SPLIT_TRITON_256_B1/runner_error.txt	26	8191917556fac672cadbbb2e54fed4ad2a3e2393d391b7fea4ad16e2a3b27735
runs/P1_FIXED_SPLIT_TRITON_256_B1_R1/canary.nsys-rep	223055	cd3241329b51d3d9136137c106296712f61a3ea5ba203d4793d860654edc727c
runs/P1_FIXED_SPLIT_TRITON_256_B1_R1/canary.sqlite	876544	9418615b6cbeeda42342a80f80fe99a128800a80ed5da550821affc9e7364818
runs/P1_FIXED_SPLIT_TRITON_256_B1_R1/canary.stderr	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runs/P1_FIXED_SPLIT_TRITON_256_B1_R1/canary.stdout	2333	f55edec9c8c36bef6d46f98480ddbd5a478bd229d2fb81b7dae5c7653028ce31
runs/P1_FIXED_SPLIT_TRITON_256_B1_R1/export.stderr	8101	f60780c6c30cacea4de545dab43458fdd752e424b7b30f1f5b65e4b84bc133bd
runs/P1_FIXED_SPLIT_TRITON_256_B1_R1/formal.stderr	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runs/P1_FIXED_SPLIT_TRITON_256_B1_R1/formal.stdout	2149	c4b9e03e6e917fa8d8cf9bffda614de8ff1e910186aa6121d7cd59b9023dd5dc
runs/P1_FIXED_SPLIT_TRITON_256_B1_R1/target_output.pt	3002	afbd3731ca7e34e701229c619747599123bda70c4aff128a7089d49288111876
runs/P1_FIXED_SPLIT_TRITON_256_B4/canary.nsys-rep	134782	b21ec24914173cab4fcef16d6a258708308acc92e3f789018b830b5705b0124e
