point_id	candidate	arm	nvtx	function	grid	block	launch_count	gpu_duration_ns	assignment
P1_STOCK_FLASH_SDPA_B1	P1	STOCK_FLASH_SDPA	QUAL=P1;ARM=STOCK_FLASH_SDPA;LOGICAL_B=1;PHYSICAL_B=1;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,9,14	128,1,1	1	13312	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P1_STOCK_FLASH_SDPA_B1	P1	STOCK_FLASH_SDPA	QUAL=P1;ARM=STOCK_FLASH_SDPA;LOGICAL_B=1;PHYSICAL_B=1;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)4, (bool)1>(pytorch_flash::Flash_fwd_params)	2,1,1	128,1,1	1	3072	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P1_STOCK_FLASH_SDPA_B4	P1	STOCK_FLASH_SDPA	QUAL=P1;ARM=STOCK_FLASH_SDPA;LOGICAL_B=4;PHYSICAL_B=4;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,5,56	128,1,1	1	40288	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P1_STOCK_FLASH_SDPA_B4	P1	STOCK_FLASH_SDPA	QUAL=P1;ARM=STOCK_FLASH_SDPA;LOGICAL_B=4;PHYSICAL_B=4;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)3, (bool)1>(pytorch_flash::Flash_fwd_params)	7,1,1	128,1,1	1	2464	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P1_PADDED_B4_FLASH_SDPA_B1_R1	P1	PADDED_B4_FLASH_SDPA	QUAL=P1;ARM=PADDED_B4_FLASH_SDPA;LOGICAL_B=1;PHYSICAL_B=4;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,5,56	128,1,1	1	39968	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P1_PADDED_B4_FLASH_SDPA_B1_R1	P1	PADDED_B4_FLASH_SDPA	QUAL=P1;ARM=PADDED_B4_FLASH_SDPA;LOGICAL_B=1;PHYSICAL_B=4;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)3, (bool)1>(pytorch_flash::Flash_fwd_params)	7,1,1	128,1,1	1	2496	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P1_PADDED_B4_FLASH_SDPA_B4	P1	PADDED_B4_FLASH_SDPA	QUAL=P1;ARM=PADDED_B4_FLASH_SDPA;LOGICAL_B=4;PHYSICAL_B=4;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,5,56	128,1,1	1	40416	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P1_PADDED_B4_FLASH_SDPA_B4	P1	PADDED_B4_FLASH_SDPA	QUAL=P1;ARM=PADDED_B4_FLASH_SDPA;LOGICAL_B=4;PHYSICAL_B=4;PHASE=CANARY	void pytorch_flash::flash_fwd_splitkv_combine_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (int)8, (int)3, (bool)1>(pytorch_flash::Flash_fwd_params)	7,1,1	128,1,1	1	2496	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P1_FIXED_SPLIT_TRITON_256_B1_R1	P1	FIXED_SPLIT_TRITON_256	QUAL=P1;ARM=FIXED_SPLIT_TRITON_256;LOGICAL_B=1;PHYSICAL_B=1;PHASE=CANARY	_split_stage1	126,1,1	256,1,1	1	6048	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
P1_FIXED_SPLIT_TRITON_256_B1_R1	P1	FIXED_SPLIT_TRITON_256	QUAL=P1;ARM=FIXED_SPLIT_TRITON_256;LOGICAL_B=1;PHYSICAL_B=1;PHASE=CANARY	_split_stage2	14,1,1	128,1,1	1	1696	KERNEL_START_WITHIN_EXACT_CANARY_NVTX
