profile_id	input_kind	role	M	implementation	state	metric_name	unit	semantic_module_sum	kernel_count
CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	CODE	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	45932544.0	2
CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	CODE	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	41183616.0	2
CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	CODE	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	35403136.0	2
CODE_down_proj_M1_AWQ_WARM	CODE	down_proj	1	AWQ_FP16_INPUT	WARM	l1tex__t_bytes.sum	byte	45932544.0	2
CODE_down_proj_M1_AWQ_WARM	CODE	down_proj	1	AWQ_FP16_INPUT	WARM	lts__t_bytes.sum	byte	41204928.0	2
CODE_down_proj_M1_AWQ_WARM	CODE	down_proj	1	AWQ_FP16_INPUT	WARM	dram__bytes.sum	byte	26752.0	2
CODE_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	CODE	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	271695872.0	1
CODE_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	CODE	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	141640992.0	1
CODE_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	CODE	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	135859072.0	1
CODE_down_proj_M1_RAW_WARM	CODE	down_proj	1	RAW_FP16	WARM	l1tex__t_bytes.sum	byte	271695872.0	1
CODE_down_proj_M1_RAW_WARM	CODE	down_proj	1	RAW_FP16	WARM	lts__t_bytes.sum	byte	141551712.0	1
CODE_down_proj_M1_RAW_WARM	CODE	down_proj	1	RAW_FP16	WARM	dram__bytes.sum	byte	135911552.0	1
TEXT_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	TEXT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	l1tex__t_bytes.sum	byte	45932544.0	2
TEXT_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	TEXT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	lts__t_bytes.sum	byte	41211072.0	2
TEXT_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	TEXT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	dram__bytes.sum	byte	35415040.0	2
