profile_id	input_kind	role	M	implementation	state	expected_range	kernel_count	replay_pass_count	profiler_command
CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	CODE	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE	2	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/CODE_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind CODE --role down_proj --M 1 --impl AWQ_FP16_INPUT --state DENSE_MEMORY_PRESSURE
CODE_down_proj_M1_AWQ_WARM	CODE	down_proj	1	AWQ_FP16_INPUT	WARM	C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_WARM	2	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_WARM/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/CODE_down_proj_M1_AWQ_WARM /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind CODE --role down_proj --M 1 --impl AWQ_FP16_INPUT --state WARM
CODE_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	CODE	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	C16_E1_RES_CODE_DOWN_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE	1	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_CODE_DOWN_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/CODE_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind CODE --role down_proj --M 1 --impl RAW_FP16 --state DENSE_MEMORY_PRESSURE
CODE_down_proj_M1_RAW_WARM	CODE	down_proj	1	RAW_FP16	WARM	C16_E1_RES_CODE_DOWN_PROJ_M1_RAW_WARM	1	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_CODE_DOWN_PROJ_M1_RAW_WARM/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/CODE_down_proj_M1_RAW_WARM /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind CODE --role down_proj --M 1 --impl RAW_FP16 --state WARM
PRESSURE_QUALIFICATION	PRESSURE	NA	0	NA	SPARSE_AND_DENSE	TWO_RANGES	2	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_PRESSURE_SPARSE_256MIB/ --nvtx-include C16_E1_PRESSURE_DENSE_256MIB/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/PRESSURE_QUALIFICATION /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_pressure_qualification.py
TEXT_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	TEXT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE	2	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_down_proj_M1_AWQ_DENSE_MEMORY_PRESSURE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role down_proj --M 1 --impl AWQ_FP16_INPUT --state DENSE_MEMORY_PRESSURE
TEXT_down_proj_M1_AWQ_SPARSE_PAGE_PRESSURE	TEXT	down_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_SPARSE_PAGE_PRESSURE	2	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_SPARSE_PAGE_PRESSURE/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_down_proj_M1_AWQ_SPARSE_PAGE_PRESSURE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role down_proj --M 1 --impl AWQ_FP16_INPUT --state SPARSE_PAGE_PRESSURE
TEXT_down_proj_M1_AWQ_WARM	TEXT	down_proj	1	AWQ_FP16_INPUT	WARM	C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_WARM	2	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_DOWN_PROJ_M1_AWQ_WARM/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_down_proj_M1_AWQ_WARM /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role down_proj --M 1 --impl AWQ_FP16_INPUT --state WARM
TEXT_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	TEXT	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE	1	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role down_proj --M 1 --impl RAW_FP16 --state DENSE_MEMORY_PRESSURE
TEXT_down_proj_M1_RAW_SPARSE_PAGE_PRESSURE	TEXT	down_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_SPARSE_PAGE_PRESSURE	1	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_SPARSE_PAGE_PRESSURE/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_down_proj_M1_RAW_SPARSE_PAGE_PRESSURE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role down_proj --M 1 --impl RAW_FP16 --state SPARSE_PAGE_PRESSURE
TEXT_down_proj_M1_RAW_WARM	TEXT	down_proj	1	RAW_FP16	WARM	C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_WARM	1	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_WARM/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_down_proj_M1_RAW_WARM /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role down_proj --M 1 --impl RAW_FP16 --state WARM
TEXT_q_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	TEXT	q_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE	3	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_q_proj_M1_AWQ_DENSE_MEMORY_PRESSURE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role q_proj --M 1 --impl AWQ_FP16_INPUT --state DENSE_MEMORY_PRESSURE
TEXT_q_proj_M1_AWQ_SPARSE_PAGE_PRESSURE	TEXT	q_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_SPARSE_PAGE_PRESSURE	3	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_SPARSE_PAGE_PRESSURE/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_q_proj_M1_AWQ_SPARSE_PAGE_PRESSURE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role q_proj --M 1 --impl AWQ_FP16_INPUT --state SPARSE_PAGE_PRESSURE
TEXT_q_proj_M1_AWQ_WARM	TEXT	q_proj	1	AWQ_FP16_INPUT	WARM	C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_WARM	3	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_WARM/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_q_proj_M1_AWQ_WARM /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role q_proj --M 1 --impl AWQ_FP16_INPUT --state WARM
TEXT_q_proj_M1_RAW_DENSE_MEMORY_PRESSURE	TEXT	q_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	C16_E1_RES_TEXT_Q_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE	1	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_Q_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_q_proj_M1_RAW_DENSE_MEMORY_PRESSURE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role q_proj --M 1 --impl RAW_FP16 --state DENSE_MEMORY_PRESSURE
TEXT_q_proj_M1_RAW_SPARSE_PAGE_PRESSURE	TEXT	q_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	C16_E1_RES_TEXT_Q_PROJ_M1_RAW_SPARSE_PAGE_PRESSURE	1	1	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_RES_TEXT_Q_PROJ_M1_RAW_SPARSE_PAGE_PRESSURE/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum --force-overwrite -o /data/c16/e1_residency_intervention_v1/ncu/reports/TEXT_q_proj_M1_RAW_SPARSE_PAGE_PRESSURE /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_residency_ncu_replay.py --input-kind TEXT --role q_proj --M 1 --impl RAW_FP16 --state SPARSE_PAGE_PRESSURE
