role	M	implementation	dose_mib	median_ms	min_ms	max_ms	cv	samples_ms	pressure_median_ms	pressure_samples_ms
up_proj	1	AWQ_FP16_INPUT	0	0.04608000069856644	0.04566400125622749	0.04915200173854828	0.025686269229837057	[0.04608000069856644, 0.04608000069856644, 0.04915200173854828, 0.04566400125622749, 0.04608000069856644, 0.048128001391887665, 0.046720001846551895]	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
up_proj	1	AWQ_FP16_INPUT	16	0.04806400090456009	0.04694399982690811	0.05075199902057648	0.023908232521610014	[0.04822399839758873, 0.04694399982690811, 0.05075199902057648, 0.04806400090456009, 0.04771199822425842, 0.04809600114822388, 0.047231998294591904]	0.01740800030529499	[0.01740800030529499, 0.03481600061058998, 0.015359999611973763, 0.03548799827694893, 0.015359999611973763, 0.03542400151491165, 0.015359999611973763]
up_proj	1	AWQ_FP16_INPUT	32	0.055296000093221664	0.05488000065088272	0.055904000997543335	0.006180458470145181	[0.055904000997543335, 0.055904000997543335, 0.055296000093221664, 0.055296000093221664, 0.055296000093221664, 0.05488000065088272, 0.055296000093221664]	0.04182400181889534	[0.04182400181889534, 0.039903998374938965, 0.04198399931192398, 0.03891199827194214, 0.04195199906826019, 0.03916800022125244, 0.04198399931192398]
up_proj	1	AWQ_FP16_INPUT	64	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.00838417738260836	[0.07475200295448303, 0.07577600330114365, 0.0767040029168129, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07680000364780426]	0.11059200018644333	[0.11161600053310394, 0.09216000139713287, 0.11059200018644333, 0.08899199962615967, 0.11132799834012985, 0.09116800129413605, 0.1111999973654747]
up_proj	1	AWQ_FP16_INPUT	128	0.07542400062084198	0.07475200295448303	0.07680000364780426	0.009367728581352708	[0.07577600330114365, 0.07680000364780426, 0.07542400062084198, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303]	0.213919997215271	[0.213919997215271, 0.21379199624061584, 0.21401600539684296, 0.213919997215271, 0.21385599672794342, 0.21344000101089478, 0.21491199731826782]
up_proj	1	AWQ_FP16_INPUT	256	0.0756480023264885	0.07475200295448303	0.07664000242948532	0.009168769205050801	[0.07475200295448303, 0.07552000135183334, 0.07651200145483017, 0.07664000242948532, 0.07475200295448303, 0.0756480023264885, 0.07577600330114365]	0.41145598888397217	[0.4113599956035614, 0.41145598888397217, 0.41152000427246094, 0.4116480052471161, 0.4116480052471161, 0.41123199462890625, 0.41126400232315063]
up_proj	1	RAW_FP16	0	0.2112320065498352	0.21094399690628052	0.21196800470352173	0.002144480170553183	[0.21196800470352173, 0.21196800470352173, 0.211776003241539, 0.21094399690628052, 0.21094399690628052, 0.2112320065498352, 0.21094399690628052]	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
up_proj	1	RAW_FP16	16	0.21196800470352173	0.21094399690628052	0.21273599565029144	0.0023167285463638236	[0.21209600567817688, 0.21273599565029144, 0.21196800470352173, 0.21196800470352173, 0.21196800470352173, 0.21174399554729462, 0.21094399690628052]	0.03455999866127968	[0.03766399994492531, 0.015359999611973763, 0.035840000957250595, 0.016383999958634377, 0.036479998379945755, 0.015776000916957855, 0.03455999866127968]
up_proj	1	RAW_FP16	32	0.21196800470352173	0.21193599700927734	0.21289600431919098	0.0015223491831713697	[0.21216000616550446, 0.21196800470352173, 0.21193599700927734, 0.21289600431919098, 0.21196800470352173, 0.21196800470352173, 0.21196800470352173]	0.04403200000524521	[0.039903998374938965, 0.044863998889923096, 0.060416001826524734, 0.04403200000524521, 0.04016000032424927, 0.04403200000524521, 0.03923200070858002]
up_proj	1	RAW_FP16	64	0.21289600431919098	0.21254399418830872	0.21299199759960175	0.0009073356553557958	[0.21254399418830872, 0.21299199759960175, 0.21299199759960175, 0.21289600431919098, 0.21264000236988068, 0.21299199759960175, 0.2125760018825531]	0.09494400024414062	[0.09494400024414062, 0.11161600053310394, 0.0942080020904541, 0.11059200018644333, 0.0942080020904541, 0.11161600053310394, 0.09487999975681305]
up_proj	1	RAW_FP16	128	0.2118079960346222	0.21161599457263947	0.21270400285720825	0.0015967974353664125	[0.21270400285720825, 0.2118079960346222, 0.21196800470352173, 0.21196800470352173, 0.21161599457263947, 0.21167999505996704, 0.211776003241539]	0.21401600539684296	[0.21401600539684296, 0.21401600539684296, 0.21401600539684296, 0.21401600539684296, 0.17510400712490082, 0.21376000344753265, 0.21475200355052948]
up_proj	1	RAW_FP16	256	0.21196800470352173	0.21164800226688385	0.2126079946756363	0.0013414616860929884	[0.21196800470352173, 0.21174399554729462, 0.2120639979839325, 0.2126079946756363, 0.21196800470352173, 0.21196800470352173, 0.21164800226688385]	0.411871999502182	[0.4126720130443573, 0.41171199083328247, 0.4126720130443573, 0.4106239974498749, 0.41251200437545776, 0.4116480052471161, 0.411871999502182]
