input_kind	role	M	implementation	state	median_ms	min_ms	max_ms	cv	samples_ms	pressure_median_ms	pressure_min_ms	pressure_max_ms	pressure_cv	pressure_samples_ms
TEXT	down_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	0.08908800035715103	0.0870399996638298	0.09011200070381165	0.010436563443141667	[0.08908800035715103, 0.08908800035715103, 0.0870399996638298, 0.08806400001049042, 0.08806400001049042, 0.09011200070381165, 0.08908800035715103]	0.41017600893974304	0.40959998965263367	0.41145598888397217	0.0013463233183625824	[0.41017600893974304, 0.41145598888397217, 0.40992000699043274, 0.4103359878063202, 0.4105919897556305, 0.4100480079650879, 0.40959998965263367]
TEXT	down_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	0.06348799914121628	0.0626240000128746	0.06419199705123901	0.006660260784449593	[0.06419199705123901, 0.06335999816656113, 0.06351999938488007, 0.0626240000128746, 0.06348799914121628, 0.06348799914121628, 0.06348799914121628]	0.036159999668598175	0.035840000957250595	0.03686400130391121	0.011565740533363164	[0.035840000957250595, 0.03680000081658363, 0.035840000957250595, 0.035840000957250595, 0.03686400130391121, 0.036159999668598175, 0.036448001861572266]
TEXT	down_proj	1	AWQ_FP16_INPUT	WARM_A	0.062463998794555664	0.06143999844789505	0.06451199948787689	0.014278915890825347	[0.06451199948787689, 0.062431998550891876, 0.06143999844789505, 0.062463998794555664, 0.06201599910855293, 0.06304000318050385, 0.062463998794555664]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	down_proj	1	AWQ_FP16_INPUT	WARM_B	0.06143999844789505	0.060416001826524734	0.0644799992442131	0.01997826986838372	[0.06143999844789505, 0.06204799935221672, 0.06304000318050385, 0.0644799992442131, 0.06143999844789505, 0.060416001826524734, 0.06137600168585777]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	down_proj	1	RAW_FP16	DENSE_MEMORY_PRESSURE	0.21372799575328827	0.21299199759960175	0.21401600539684296	0.0020959749267603083	[0.21382400393486023, 0.21372799575328827, 0.21395200490951538, 0.21299199759960175, 0.21299199759960175, 0.21401600539684296, 0.21299199759960175]	0.4104959964752197	0.4100480079650879	0.41152000427246094	0.0010638096996518289	[0.41152000427246094, 0.4106239974498749, 0.4103679955005646, 0.4102399945259094, 0.4104959964752197, 0.4106239974498749, 0.4100480079650879]
TEXT	down_proj	1	RAW_FP16	SPARSE_PAGE_PRESSURE	0.21401600539684296	0.21379199624061584	0.21481600403785706	0.0017311360865269398	[0.2146880030632019, 0.21401600539684296, 0.21379199624061584, 0.21481600403785706, 0.213919997215271, 0.21395200490951538, 0.21427200734615326]	0.03747199848294258	0.036448001861572266	0.038656000047922134	0.017251333932185767	[0.038656000047922134, 0.03759999945759773, 0.036448001861572266, 0.03686400130391121, 0.03711999952793121, 0.03747199848294258, 0.03753599897027016]
TEXT	down_proj	1	RAW_FP16	WARM_A	0.21356800198554993	0.21296000480651855	0.21439999341964722	0.00245692409070024	[0.21395200490951538, 0.21439999341964722, 0.21356800198554993, 0.21299199759960175, 0.21296000480651855, 0.21382400393486023, 0.21299199759960175]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	down_proj	1	RAW_FP16	WARM_B	0.2136320024728775	0.21270400285720825	0.21401600539684296	0.002466633665296916	[0.21398399770259857, 0.2138880044221878, 0.21270400285720825, 0.21279999613761902, 0.21401600539684296, 0.2136320024728775, 0.2130880057811737]	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT	q_proj	1	AWQ_FP16_INPUT	DENSE_MEMORY_PRESSURE	0.035840000957250595	0.03526400029659271	0.04064000025391579	0.04624670220722372	[0.04064000025391579, 0.03686400130391121, 0.03526400029659271, 0.035840000957250595, 0.035840000957250595, 0.036159999668598175, 0.035840000957250595]	0.4097920060157776	0.4094719886779785	0.4371199905872345	0.022886904043533333	[0.4116480052471161, 0.4371199905872345, 0.4094719886779785, 0.4097920060157776, 0.40959998965263367, 0.4106239974498749, 0.40959998965263367]
TEXT	q_proj	1	AWQ_FP16_INPUT	SPARSE_PAGE_PRESSURE	0.03488000109791756	0.03379200026392937	0.03619199991226196	0.02140824919725119	[0.03619199991226196, 0.03488000109791756, 0.035071998834609985, 0.03379200026392937, 0.03488000109791756, 0.03468799963593483, 0.03388800099492073]	0.03686400130391121	0.03561599925160408	0.04608000069856644	0.09029171591539267	[0.03993599861860275, 0.04608000069856644, 0.03686400130391121, 0.03619199991226196, 0.035840000957250595, 0.03747199848294258, 0.03561599925160408]
