track	sample_id	roi	selector_source	selector	window_policy	baseline_geometry	candidate_or_instrumentation	priority	evidence_label	notes
P	P-FFN-L0	prefill	OPERATOR_AWARE_ACCEPTED	direct FFN_MLP layer=0; choose highest-F0-cycle direct kernel	SINGLE_KERNEL_COLD	F7-like exact320 SegmentN8 Lseg10	P-race-instrumentation	P0	EXPLORATORY_MICRODIAGNOSTIC	resolve exact compute_index before launch
P	P-FFN-L7	prefill	OPERATOR_AWARE_ACCEPTED	direct FFN_MLP layer=7; choose highest-F0-cycle direct kernel	SINGLE_KERNEL_COLD	F7-like exact320 SegmentN8 Lseg10	P-race-instrumentation	P0	EXPLORATORY_MICRODIAGNOSTIC	resolve exact compute_index before launch
P	P-FFN-L15	prefill	OPERATOR_AWARE_ACCEPTED	direct FFN_MLP layer=15; choose highest-F0-cycle direct kernel	SINGLE_KERNEL_COLD	F7-like exact320 SegmentN8 Lseg10	P-race-instrumentation	P0	EXPLORATORY_MICRODIAGNOSTIC	resolve exact compute_index before launch
P	P-AP-L0	prefill	OPERATOR_AWARE_ACCEPTED	direct ATTENTION_PROJECTION layer=0; choose highest-F0-cycle direct kernel	SINGLE_KERNEL_COLD	F7-like exact320 SegmentN8 Lseg10	P-race-instrumentation	P0	EXPLORATORY_MICRODIAGNOSTIC	resolve exact compute_index before launch
P	P-AP-L7	prefill	OPERATOR_AWARE_ACCEPTED	direct ATTENTION_PROJECTION layer=7; choose highest-F0-cycle direct kernel	SINGLE_KERNEL_COLD	F7-like exact320 SegmentN8 Lseg10	P-race-instrumentation	P0	EXPLORATORY_MICRODIAGNOSTIC	resolve exact compute_index before launch
P	P-AP-L15	prefill	OPERATOR_AWARE_ACCEPTED	direct ATTENTION_PROJECTION layer=15; choose highest-F0-cycle direct kernel	SINGLE_KERNEL_COLD	F7-like exact320 SegmentN8 Lseg10	P-race-instrumentation	P0	EXPLORATORY_MICRODIAGNOSTIC	resolve exact compute_index before launch
P	P-EO-691	prefill	OPERATOR_AWARE_ACCEPTED	compute_index=691 Embedding/Output	SINGLE_KERNEL_COLD	F7-like exact320 SegmentN8 Lseg10	P-race-instrumentation	P0	EXPLORATORY_MICRODIAGNOSTIC	known hotspot; cold-state limitation explicit
P	P-OTHER-TOP	prefill	OPERATOR_AWARE_ACCEPTED	OTHER_COMPUTE; choose highest-F0-cycle direct/semantic kernel	SINGLE_KERNEL_COLD	F7-like exact320 SegmentN8 Lseg10	P-race-instrumentation	P1	EXPLORATORY_MICRODIAGNOSTIC	control category
N	N-FFN-L7	prefill	OPERATOR_AWARE_ACCEPTED	direct FFN_MLP layer=7; choose highest-F0-cycle direct kernel	SINGLE_KERNEL_COLD	F0-like exact768 no Segment	N-criticality-instrumentation	N0	EXPLORATORY_MICRODIAGNOSTIC	compare requester latency vs exposed stall
N	N-AP-L7	prefill	OPERATOR_AWARE_ACCEPTED	direct ATTENTION_PROJECTION layer=7; choose highest-F0-cycle direct kernel	SINGLE_KERNEL_COLD	F0-like exact768 no Segment	N-criticality-instrumentation	N0	EXPLORATORY_MICRODIAGNOSTIC	compare requester latency vs exposed stall
N	N-EO-691	prefill	OPERATOR_AWARE_ACCEPTED	compute_index=691 Embedding/Output	SINGLE_KERNEL_COLD	F0-like exact768 no Segment	N-criticality-instrumentation	N0	EXPLORATORY_MICRODIAGNOSTIC	test whether high total latency is truly exposed
N	N-DECODE-FFN	decode1	OPERATOR_AWARE_ACCEPTED	direct FFN_MLP; choose highest-F0-cycle direct kernel	SINGLE_KERNEL_COLD	F0-like exact768 no Segment	N-criticality-instrumentation	N0	EXPLORATORY_MICRODIAGNOSTIC	phase contrast
N	N-DECODE-AP	decode1	OPERATOR_AWARE_ACCEPTED	direct ATTENTION_PROJECTION; choose highest-F0-cycle direct kernel	SINGLE_KERNEL_COLD	F0-like exact768 no Segment	N-criticality-instrumentation	N0	EXPLORATORY_MICRODIAGNOSTIC	phase contrast
N	N-DECODE-EO	decode1	OPERATOR_AWARE_ACCEPTED	EMBEDDING_OUTPUT; choose highest-F0-cycle kernel	SINGLE_KERNEL_COLD	F0-like exact768 no Segment	N-criticality-instrumentation	N0	EXPLORATORY_MICRODIAGNOSTIC	phase contrast
N	N-LOW-DELTA	decode1	DEEP_DIVE_ACCEPTED	choose kernel with large translation-event suppression but near-zero F7-L5/F0 cycle delta	SINGLE_KERNEL_COLD	F0-like exact768 vs F7-like exact320 SegmentN8 L5	N-criticality-instrumentation	N1	EXPLORATORY_MICRODIAGNOSTIC	resolve selector from accepted deep-dive ranking
N	N-HIGH-DELTA	decode1	DEEP_DIVE_ACCEPTED	choose kernel with large translation-event suppression and large beneficial F7-L5/F0 cycle delta	SINGLE_KERNEL_COLD	F0-like exact768 vs F7-like exact320 SegmentN8 L5	N-criticality-instrumentation	N1	EXPLORATORY_MICRODIAGNOSTIC	contrast exposed vs hidden translation
