decoder_layer_id	attention_bytes	mlp_bytes	norm_other_bytes	total_decoder_layer_bytes	source_shard_count	source_shards
0	58729472	407371776	14336	466115584	1	model-00001-of-00004.safetensors
1	58729472	407371776	14336	466115584	1	model-00001-of-00004.safetensors
2	58729472	407371776	14336	466115584	1	model-00001-of-00004.safetensors
3	58729472	407371776	14336	466115584	1	model-00001-of-00004.safetensors
4	58729472	407371776	14336	466115584	1	model-00001-of-00004.safetensors
5	58729472	407371776	14336	466115584	1	model-00001-of-00004.safetensors
6	58729472	407371776	14336	466115584	2	model-00001-of-00004.safetensors;model-00002-of-00004.safetensors
7	58729472	407371776	14336	466115584	1	model-00002-of-00004.safetensors
8	58729472	407371776	14336	466115584	1	model-00002-of-00004.safetensors
9	58729472	407371776	14336	466115584	1	model-00002-of-00004.safetensors
10	58729472	407371776	14336	466115584	1	model-00002-of-00004.safetensors
11	58729472	407371776	14336	466115584	1	model-00002-of-00004.safetensors
12	58729472	407371776	14336	466115584	1	model-00002-of-00004.safetensors
13	58729472	407371776	14336	466115584	1	model-00002-of-00004.safetensors
14	58729472	407371776	14336	466115584	2	model-00002-of-00004.safetensors;model-00003-of-00004.safetensors
15	58729472	407371776	14336	466115584	1	model-00003-of-00004.safetensors
16	58729472	407371776	14336	466115584	1	model-00003-of-00004.safetensors
17	58729472	407371776	14336	466115584	1	model-00003-of-00004.safetensors
18	58729472	407371776	14336	466115584	1	model-00003-of-00004.safetensors
19	58729472	407371776	14336	466115584	1	model-00003-of-00004.safetensors
20	58729472	407371776	14336	466115584	1	model-00003-of-00004.safetensors
21	58729472	407371776	14336	466115584	1	model-00003-of-00004.safetensors
22	58729472	407371776	14336	466115584	2	model-00003-of-00004.safetensors;model-00004-of-00004.safetensors
23	58729472	407371776	14336	466115584	1	model-00004-of-00004.safetensors
24	58729472	407371776	14336	466115584	1	model-00004-of-00004.safetensors
25	58729472	407371776	14336	466115584	1	model-00004-of-00004.safetensors
26	58729472	407371776	14336	466115584	1	model-00004-of-00004.safetensors
27	58729472	407371776	14336	466115584	1	model-00004-of-00004.safetensors
