cold_new_line_sector_fraction,excluded_writeback_requests,far_sector_reuse_share_gt1024,far_sector_reuse_share_gt4096,new_sector_on_new_line_events,new_sector_on_seen_line_events,one_touch_sector_fraction,one_touch_unique_sectors,sector_reuse_1025_2048,sector_reuse_129_256,sector_reuse_17_32,sector_reuse_2049_4096,sector_reuse_257_512,sector_reuse_33_64,sector_reuse_513_1024,sector_reuse_65_128,sector_reuse_9_16,sector_reuse_gt4096,sector_reuse_le8,sector_temporal_reuse_fraction,spatial_new_sector_fraction,temporal_sector_reuse_instances,total_sector_reference_events,unique_sector_identities,unique_sectors_reused_at_least_once,workload
0.25,0,NA,NA,375000,1125000,1.0,1500000,0,0,0,0,0,0,0,0,0,0,0,0.0,0.75,0,1500000,1500000,0,vectorAdd_4M
0.22619003791922837,0,0.3927449748743719,0.00010066357428166474,1179648,3538944,0.8947347005208334,4221888,147685,43772,7626,47343,77300,14377,124839,24649,4157,50,4906,0.09523984832308655,0.6785701137576851,496704,5215296,4718592,496704,convolutionSeparable
0.22028403074984032,0,0.03201913294900855,0.0,103817,311441,0.8755544745676183,363581,13,19999,901,1781,8711,4508,536,9219,1803,0,8558,0.1188850954938286,0.6608308737563311,56029,471287,415258,51677,sad
0.21735994729603217,0,0.09541217008028265,0.0,94031,281401,0.9735451426623197,365500,4919,8229,4508,536,9567,5408,9145,6896,3272,0,4693,0.13215982247084523,0.6504802302331226,57173,432605,375432,9932,spmv
0.1282051282051282,0,0.6144499527780634,0.0,1310720,3932160,0.05,262144,3059233,185333,689,1180,206524,4880,1466949,55684,168,0,96,0.48717948717948717,0.38461538461538464,4980736,10223616,5242880,4980736,FWT_7_21
0.1092948797274828,0,0.1800715584960723,0.0,145728,437184,0.8959619976943346,522267,134382,148910,27647,750,153362,54032,103218,98289,14065,0,15780,0.5628204810900689,0.32788463918244837,750435,1333347,582912,60645,cfd_097k
0.23199449441829023,0,0.23250012684131305,0.0,380928,1142784,0.9305085212953629,1417827,9713,18782,6696,17782,17448,8790,20710,11945,3489,0,2903,0.0720220223268391,0.6959834832548707,118258,1641970,1523712,105885,dwt2d
0.09411536535654087,0,0.190253827152452,0.0,133449,301962,0.46882830245446255,204133,119159,60322,119935,67769,74787,144374,81410,98839,79505,0,136419,0.6929248975619389,0.21295973708152025,982519,1417930,435411,231278,btree
0.0013349169538907212,0,0.001772460753512893,0.0,24576,73728,0.0,0,32457,9338559,161667,0,6852401,340455,2840,1402474,85560,0,95417,0.9946603321844372,0.004004750861672164,18311830,18410134,98304,98304,gemm
0.25,0,NA,NA,15625,46875,1.0,62500,0,0,0,0,0,0,0,0,0,0,0,0.0,0.75,0,62500,62500,0,BlackScholes
0.2426272778031572,0,0.0,0.0,4780,12853,0.9026824703680599,15917,0,0,219,0,0,0,0,0,397,0,1452,0.10496929089893914,0.6524034312979037,2068,19701,17633,1716,mergeSort
0.21052631578947367,0,0.0,0.0,393216,1179648,0.9375,1474560,0,13251,145999,0,4774,42662,0,23353,60765,0,4108,0.15789473684210525,0.631578947368421,294912,1867776,1572864,98304,transpose
