workload,status,total_sector_references,spatial_new_fraction,temporal_sector_reuse_fraction,one_touch_sector_fraction,far_gt1024_fraction,far_gt4096_fraction,disposition
vectorAdd_6M,COMPLETE_VALID,2250000,0.750000,0.000000,1.000000,NA,NA,valid_not_selected
BlackScholes,COMPLETE_VALID,62500,0.750000,0.000000,1.000000,NA,NA,selected
histogram,COMPLETE_VALID,147792,0.198687,0.735087,0.603600,0.000000,0.000000,valid_not_selected
mergeSort,COMPLETE_VALID,19701,0.652403,0.104969,0.902682,0.000000,0.000000,selected
sortingNetworks,COMPLETE_VALID,2560,0.750000,0.000000,1.000000,NA,NA,valid_not_selected
transpose,COMPLETE_VALID,1867776,0.631579,0.157895,0.937500,0.000000,0.000000,selected
bfs_65536,COMPLETE_VALID,983879,0.156573,0.757627,0.525000,0.001674,0.000000,valid_not_selected_no_strong_far
nn,COMPLETE_VALID,16037,0.749953,0.000000,1.000000,NA,NA,valid_not_selected
hotspot,FAILED_SIMULATOR,NA,NA,NA,NA,NA,NA,existing_gpu-cache_assertion_preserved_not_eligible
hybridsort,STOPPED_NONFORMAL_RESOURCE_CLOSEOUT,NA,NA,NA,NA,NA,NA,preserved_partial_log_not_eligible

