workload,cohort,status,in_current_aggregates,provenance
vectorAdd_4M,original_motivation,COMPLETE_VALID,yes,preflight_vectoradd_r4
convolutionSeparable,original_motivation,COMPLETE_VALID,yes,preflight_convolution_r4
sad,original_motivation,COMPLETE_VALID,yes,preflight_sad_r4
spmv,original_motivation,COMPLETE_VALID,yes,formal_original_spmv_r1
FWT_7_21,original_motivation,COMPLETE_VALID,yes,formal_original_FWT_7_21_r1
cfd_097k,original_motivation,COMPLETE_VALID,yes,formal_original_cfd_097k_r1
dwt2d,original_motivation,COMPLETE_VALID,yes,formal_original_dwt2d_r1
btree,original_motivation,COMPLETE_VALID,yes,formal_original_btree_r1
gemm,original_motivation,COMPLETE_VALID,yes,formal_original_gemm_r1
scan,original_motivation,RUNNING_PENDING_FINAL_DELTA,no,formal_original_scan_r1
BlackScholes,additional_selected,COMPLETE_VALID,yes,screening_r1_BlackScholes
mergeSort,additional_selected,COMPLETE_VALID,yes,screening_r1_mergeSort
transpose,additional_selected,COMPLETE_VALID,yes,screening_r1_transpose
