target_id	static_index	opcode	memory_space	has_mref	classification	sass	static_map_sha256
Q05_PREFILL_GEMM	29	LDG.E.64	GLOBAL	1	DIRECT_GLOBAL_MREF_CAPTURED	LDG.E.64 R4, [R4] ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	30	LDG.E.64	GLOBAL	1	DIRECT_GLOBAL_MREF_CAPTURED	LDG.E.64 R2, [R2] ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	216	LDGSTS.E.BYPASS.LTC128B.128	GLOBAL_TO_SHARED	1	SPECIAL_GLOBAL_PATH_PRESENT	LDGSTS.E.BYPASS.LTC128B.128 [R204], [R4.64], P0 ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	240	LDGSTS.E.BYPASS.LTC128B.128	GLOBAL_TO_SHARED	1	SPECIAL_GLOBAL_PATH_PRESENT	LDGSTS.E.BYPASS.LTC128B.128 [R203], [R4.64+UR4], P1 ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	252	LDGSTS.E.BYPASS.LTC128B.128	GLOBAL_TO_SHARED	1	SPECIAL_GLOBAL_PATH_PRESENT	LDGSTS.E.BYPASS.LTC128B.128 [R201+0x6000], [R18.64], P1 ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	272	LDGSTS.E.BYPASS.LTC128B.128	GLOBAL_TO_SHARED	1	SPECIAL_GLOBAL_PATH_PRESENT	LDGSTS.E.BYPASS.LTC128B.128 [R201+0x6c00], [R12.64+UR4], P3 ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	277	LDGSTS.E.BYPASS.LTC128B.128	GLOBAL_TO_SHARED	1	SPECIAL_GLOBAL_PATH_PRESENT	LDGSTS.E.BYPASS.LTC128B.128 [R202+0x6000], [R2.64], P0 ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	279	LDGSTS.E.BYPASS.LTC128B.128	GLOBAL_TO_SHARED	1	SPECIAL_GLOBAL_PATH_PRESENT	LDGSTS.E.BYPASS.LTC128B.128 [R202+0x6c00], [R14.64], P2 ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	282	LDGDEPBAR	NONE	0	SPECIAL_GLOBAL_PATH_PRESENT	LDGDEPBAR ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	329	LDGSTS.E.BYPASS.LTC128B.128	GLOBAL_TO_SHARED	1	SPECIAL_GLOBAL_PATH_PRESENT	LDGSTS.E.BYPASS.LTC128B.128 [R204+0x80], [R14.64], P0 ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	334	LDGSTS.E.BYPASS.LTC128B.128	GLOBAL_TO_SHARED	1	SPECIAL_GLOBAL_PATH_PRESENT	LDGSTS.E.BYPASS.LTC128B.128 [R203+0x80], [R166.64], P1 ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	346	LDGSTS.E.BYPASS.LTC128B.128	GLOBAL_TO_SHARED	1	SPECIAL_GLOBAL_PATH_PRESENT	LDGSTS.E.BYPASS.LTC128B.128 [R202+0x6080], [R8.64], P0 ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
Q05_PREFILL_GEMM	350	LDGSTS.E.BYPASS.LTC128B.128	GLOBAL_TO_SHARED	1	SPECIAL_GLOBAL_PATH_PRESENT	LDGSTS.E.BYPASS.LTC128B.128 [R201+0x6080], [R6.64], P1 ;	7fd8e51b9bb02d27095100ec06b173219af354610e551664037e260998f1edb9
