# C16-G raw artifacts are deliberately outside Git.  This index contains only immutable identity,
# size, and digest metadata; a `LOCAL_SHA256_VERIFIED` row has been independently checked after
# transfer.  `remote_retention` is a point-in-time inventory, not authorization to delete a raw
# artifact before this checkpoint is published.
artifact_id	deployment_id	scenario_id	run_id	artifact_kind	remote_path	local_path	size_bytes	sha256	local_transfer_state	remote_retention
C16_G_QWEN05_S1_NSYS_2ec7d963	c16_qwen25_05b_native_reference	S1	2ec7d963-228d-4c8a-bcfa-60c895f13b88	nsys_rep	/root/autodl-tmp/c16/runs/qwen05_s1_code_g1_2ec7d963-228d-4c8a-bcfa-60c895f13b88/CENSUS_QWEN05_S1.nsys-rep	/workspace/c16_exchange/autodl_wave1/returned/qwen05_g1/CENSUS_QWEN05_S1.nsys-rep	12021164	ee4ef6c4554a20b3e25f6943f9f8de444939c829994ebc98a3f8f52a809e1b9c	LOCAL_SHA256_VERIFIED	REMOTE_PRESENT_AT_CHECKPOINT
C16_G_QWEN05_S2_NSYS_bbe3ef73	c16_qwen25_05b_native_reference	S2	bbe3ef73-bdca-443d-8fa6-58b59a35ca4c	nsys_rep	/root/autodl-tmp/c16/runs/qwen05_s2_text_g1_bbe3ef73-bdca-443d-8fa6-58b59a35ca4c/CENSUS_QWEN05_S2.nsys-rep	/workspace/c16_exchange/autodl_wave1/returned/qwen05_s2_g1/CENSUS_QWEN05_S2.nsys-rep	22006932	8427589c93f1821094c0698a0d4668e5e9bd751c3eb40c62ac6e67068419d19a	LOCAL_SHA256_VERIFIED	REMOTE_PRESENT_AT_CHECKPOINT
C16_G_LLAMA_S3_NSYS_b1addf2c	c16_llama32_1b_native_reference	S3	b1addf2c-091f-435f-b249-1a1c41338894	nsys_rep	/root/autodl-tmp/c16/runs/llama_s3_text_g1_b1addf2c-091f-435f-b249-1a1c41338894/CENSUS_LLAMA_S3.nsys-rep	/workspace/c16_exchange/autodl_wave1/returned/llama_s3_g1/CENSUS_LLAMA_S3.nsys-rep	8618157	e04624226815904639391e0f6b7fa5be2d8314c01edd1803c87b85639b842b56	LOCAL_SHA256_VERIFIED	REMOTE_PRESENT_AT_CHECKPOINT
C16_G_LLAMA_S4_NSYS_da75b6e2	c16_llama32_1b_native_reference	S4	da75b6e2-5f58-4f6c-9cc8-131180013dfa	nsys_rep	/root/autodl-tmp/c16/runs/llama_s4_structured_g1_da75b6e2-5f58-4f6c-9cc8-131180013dfa/CENSUS_LLAMA_S4.nsys-rep	/workspace/c16_exchange/autodl_wave1/returned/llama_s4_g1/CENSUS_LLAMA_S4.nsys-rep	8920722	75439f7496302b13a1a99561eca12698e1ab6c7e4aad813b82afcc977eac60e3	LOCAL_SHA256_VERIFIED	REMOTE_PRESENT_AT_CHECKPOINT
C16_G_LLAMA_S2_SEMANTIC_FAILED_7c9d0ba8	c16_llama32_1b_frozen_compatible	S2	7c9d0ba8-2376-46f9-9791-2c3b8c8fb260	nsys_rep	/root/autodl-tmp/c16/runs/llama_s2_direct_semantic_7c9d0ba8-2376-46f9-9791-2c3b8c8fb260/DIRECT_SEMANTIC.nsys-rep	/workspace/c16_exchange/autodl_wave1/returned/llama_s2_direct_semantic_7c9d0ba8-2376-46f9-9791-2c3b8c8fb260/DIRECT_SEMANTIC.nsys-rep	4457297	41da01e7f013b61dfe1ea23d739306ba8a6114e7a70d7e223f6d0bc65ed2e338	LOCAL_SHA256_VERIFIED_NONSCIENTIFIC_DIAGNOSTIC	REMOTE_DELETED_AFTER_LOCAL_SHA
C16_G_LLAMA_S2_SEMANTIC_cd3e40be	c16_llama32_1b_frozen_compatible	S2	cd3e40be-a7d5-43e5-9030-d84dc158f406	nsys_rep	/root/autodl-tmp/c16/runs/llama_s2_direct_semantic_cd3e40be-a7d5-43e5-9030-d84dc158f406/DIRECT_SEMANTIC.nsys-rep	/workspace/c16_exchange/autodl_wave1/returned/llama_s2_direct_semantic_cd3e40be-a7d5-43e5-9030-d84dc158f406/DIRECT_SEMANTIC.nsys-rep	7504357	c96dacbeff499a59cb81a8ccf2f7344ee6701453069275c6b3b19b4861025eb3	LOCAL_SHA256_VERIFIED_SEMANTIC_DIAGNOSTIC_ONLY	REMOTE_DELETED_AFTER_LOCAL_SHA
C16_G_QWEN05_S2_SEMANTIC_1a748d40	c16_qwen25_05b_native_reference	S2	1a748d40-8144-47f3-93f6-4b8e75be4e65	nsys_rep	/root/autodl-tmp/c16/runs/qwen05_s2_direct_semantic_1a748d40-8144-47f3-93f6-4b8e75be4e65/DIRECT_SEMANTIC.nsys-rep	/workspace/c16_exchange/autodl_wave1/returned/qwen05_s2_direct_semantic_1a748d40-8144-47f3-93f6-4b8e75be4e65/DIRECT_SEMANTIC.nsys-rep	10403807	24fc2bd8d0c3ca1f50c166f4b91e46693dac289467ad6857cc0d1dcd4fb39ef3	LOCAL_SHA256_VERIFIED_SEMANTIC_DIAGNOSTIC_ONLY	REMOTE_PRESENT_AT_CHECKPOINT
C16_G_P3_AWQ_S1_NSYS_56a853d1	c16_qwen25_7b_awq	S1	56a853d1-ef7f-4653-8cd8-cc7defde5689	nsys_rep	/root/autodl-tmp/c16/runs/p3_awq_s1_code_g1_56a853d1-ef7f-4653-8cd8-cc7defde5689/P3_AWQ_S1_CENSUS.nsys-rep	/workspace/c16_exchange/autodl_wave1/returned/P3/p3_awq_s1_code_g1_56a853d1-ef7f-4653-8cd8-cc7defde5689/P3_AWQ_S1_CENSUS.nsys-rep	19108559	2fdd40f719f04e781724fb2238f390ae4e681ec12471c90fefc12b49ec5b9c46	LOCAL_SHA256_VERIFIED	REMOTE_PRESENT_AT_CHECKPOINT
C16_G_P3_AWQ_S2_TEXT_NSYS_ee52fecb	c16_qwen25_7b_awq	S2	ee52fecb-7bff-4918-bfa4-f0c65838ed5f	nsys_rep	/root/autodl-tmp/c16/runs/p3_awq_s2_text_g1_ee52fecb-7bff-4918-bfa4-f0c65838ed5f/P3_AWQ_S2_TEXT_CENSUS.nsys-rep	/workspace/c16_exchange/autodl_wave1/returned/P3/p3_awq_s2_text_g1_ee52fecb-7bff-4918-bfa4-f0c65838ed5f/P3_AWQ_S2_TEXT_CENSUS.nsys-rep	34990575	ceec04743c69abb908dac797f81e2708e3f6004baf78c3f060f88fdc02e53d84	LOCAL_SHA256_VERIFIED	REMOTE_PRESENT_AT_CHECKPOINT
C16_G_P3_AWQ_S2_CODE_NSYS_bedbd6bd	c16_qwen25_7b_awq	S2	bedbd6bd-f51e-4246-89e9-c0e59c74e0e7	nsys_rep	/root/autodl-tmp/c16/runs/p3_awq_s2_code_g1_bedbd6bd-f51e-4246-89e9-c0e59c74e0e7/P3_AWQ_S2_CODE_CENSUS.nsys-rep	/workspace/c16_exchange/autodl_wave1/returned/P3/p3_awq_s2_code_g1_bedbd6bd-f51e-4246-89e9-c0e59c74e0e7/P3_AWQ_S2_CODE_CENSUS.nsys-rep	35029495	3864fa793afc019e595074d84e238465af588fb78cffb961045b77088b58c184	LOCAL_SHA256_VERIFIED	REMOTE_PRESENT_AT_CHECKPOINT
