field	value
execution_branch	hrl/c16-qwen3-30b-asset-archive-exec-v2
framework_git_sha_at_execution_start	8b55aa49e9056c8cbc24777e2d334b89bbab1dea
initial_git_status	clean
hostname	huangrulin-sshfs-174
execution_preflight_recorded_at_utc	2026-09-15T12:10:16Z
source_filesystem_path	/root/share/huangrulin/c16_qwen3_30b_a3b/
destination_filesystem_path	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/
destination_filesystem_mount	admin-wcx@10.208.130.164:/home/shared
destination_available_bytes_preflight	71806740048
canonical_final_directory_preflight	ABSENT
canonical_partial_directory_preflight	ABSENT
provenance_final_directory_preflight	ABSENT
provenance_partial_directory_preflight	ABSENT
