source_relative_path	canonical_path	canonical_archive_receipt_sha256	payload_sha256	status
model-00001-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00001-of-00016.safetensors	NOT_CREATED	3999417504	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00002-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00002-of-00016.safetensors	NOT_CREATED	3999974192	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00003-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00003-of-00016.safetensors	NOT_CREATED	3997360832	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00004-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00004-of-00016.safetensors	NOT_CREATED	3999975056	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00005-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00005-of-00016.safetensors	NOT_CREATED	3999975400	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00006-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00006-of-00016.safetensors	NOT_CREATED	3999975400	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00007-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00007-of-00016.safetensors	NOT_CREATED	3999975472	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00008-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00008-of-00016.safetensors	NOT_CREATED	3997362064	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00009-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00009-of-00016.safetensors	NOT_CREATED	3999975408	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00010-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00010-of-00016.safetensors	NOT_CREATED	3999975400	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00011-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00011-of-00016.safetensors	NOT_CREATED	3999975408	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00012-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00012-of-00016.safetensors	NOT_CREATED	3987400496	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00013-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00013-of-00016.safetensors	NOT_CREATED	3997353632	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00014-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00014-of-00016.safetensors	NOT_CREATED	3999975400	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00015-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00015-of-00016.safetensors	NOT_CREATED	3999975400	UNRESOLVED_CANONICAL_NOT_PROMOTED
model-00016-of-00016.safetensors	/root/share/mnt164/huangrulin/c16_ai_workload/assets/models/qwen3-30b-a3b/ad44e777bcd18fa416d9da3bd8f70d33ebb85d39/model-00016-of-00016.safetensors	NOT_CREATED	1087928584	UNRESOLVED_CANONICAL_NOT_PROMOTED
