relative_position_to_Q05	global_launch_navigation	phase	exact_kernel_function	normalized_family	grid	block	duration_ns	identity_basis
-34	0	PREFILL	void at::native::<unnamed>::indexSelectLargeIndex<c10::Half, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, T3, long)	OTHER_EXACT_IMPLEMENTATION	608,1,1	128,1,1	17312	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-33	1	PREFILL	void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)	AT_NATIVE_ELEMENTWISE	32,1,1	64,1,1	1152	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-32	2	PREFILL	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	AT_NATIVE_UNROLLED_ELEMENTWISE	4,1,1	128,1,1	2048	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-31	3	PREFILL	void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)	CUBLAS_GEMM	64,1,1	256,1,1	1312	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-30	4	PREFILL	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)3, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	COPY_KERNEL	152,2,1	512,1,1	3168	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-29	5	PREFILL	void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	AT_NATIVE_VECTORIZED_ELEMENTWISE	256,1,1	128,1,1	1664	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-28	6	PREFILL	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	AT_NATIVE_VECTORIZED_ELEMENTWISE	256,1,1	128,1,1	1440	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-27	7	PREFILL	void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)	AT_NATIVE_VECTORIZED_ELEMENTWISE	256,1,1	128,1,1	1248	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-26	8	PREFILL	void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)	AT_NATIVE_VECTORIZED_ELEMENTWISE	256,1,1	128,1,1	1248	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-25	9	PREFILL	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	AT_NATIVE_UNROLLED_ELEMENTWISE	256,1,1	128,1,1	2176	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-24	10	PREFILL	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	AT_NATIVE_UNROLLED_ELEMENTWISE	256,1,1	128,1,1	2016	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-23	11	PREFILL	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	AT_NATIVE_UNROLLED_ELEMENTWISE	3584,1,1	128,1,1	7744	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-22	12	PREFILL	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	AT_NATIVE_VECTORIZED_ELEMENTWISE	3584,1,1	128,1,1	5280	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-21	13	PREFILL	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	AT_NATIVE_REDUCE	128,1,1	32,16,1	4512	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-20	14	PREFILL	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at::detail::Array<char *, (int)2>>(int, T2, T3)	AT_NATIVE_VECTORIZED_ELEMENTWISE	4,1,1	128,1,1	992	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-19	15	PREFILL	void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	AT_NATIVE_VECTORIZED_ELEMENTWISE	4,1,1	128,1,1	1024	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-18	16	PREFILL	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	7168,1,1	128,1,1	7424	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-17	17	PREFILL	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	AT_NATIVE_UNROLLED_ELEMENTWISE	3584,1,1	128,1,1	7264	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-16	18	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	3584,1,1	128,1,1	7040	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-15	19	PREFILL	ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_stages_32x1_tn	CUBLAS_GEMM	7,16,1	128,1,1	52928	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-14	20	PREFILL	ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn	CUBLAS_GEMM	2,32,1	128,1,1	9408	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-13	21	PREFILL	ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn	CUBLAS_GEMM	2,32,1	128,1,1	9504	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-12	22	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	3584,1,1	128,1,1	7616	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-11	23	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	1792,1,1	128,1,1	4160	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-10	24	PREFILL	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	COPY_KERNEL	152,2,1	512,1,1	13056	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-9	25	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	3584,1,1	128,1,1	6944	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-8	26	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	3584,1,1	128,1,1	7776	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-7	27	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	512,1,1	128,1,1	2336	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-6	28	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	256,1,1	128,1,1	2016	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-5	29	PREFILL	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	COPY_KERNEL	152,2,1	512,1,1	4320	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-4	30	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	512,1,1	128,1,1	2304	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-3	31	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	512,1,1	128,1,1	2336	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-2	32	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	3584,1,1	128,1,1	7776	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
-1	33	PREFILL	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	AT_NATIVE_ELEMENTWISE	3584,1,1	128,1,1	7648	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
0	34	PREFILL	void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)128, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)128, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	PYTORCH_FLASH_FWD	16,1,14	128,1,1	159969	accepted NSYS census; Q05 binding is exact family+first PREFILL same-shape occurrence, global launch navigation only
