schema	classification	mechanism_arrow	verdict	evidence_scope	evidence_or_source	interpretation_boundary
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	physical_pool_size -> end_to_end_measured_behavior	MEASURED_CORRELATION	CONTROLLED_ONE_FACTOR_D4_CAPACITY_SWEEP_24_32_48_KIB	Capacity is deliberately varied with frozen workload/trace/unrelated configuration. BICG IO cycles=42351523 -> 45668204 -> 77916699; GESUMMV IO cycles=78710188 -> 105662735 -> 148257172; Btree IO cycles=244231 -> 244231 -> 244231.	This establishes workload-dependent end-to-end sensitivity to the controlled capacity change; it does not identify internal mediators.
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	physical_pool_size -> pool_full_time_exposure	MEASURED_CORRELATION	CONTROLLED_ONE_FACTOR_D4_CAPACITY_SWEEP_24_32_48_KIB	physical_full_sample_fraction 24->32->48: BICG IO=0.927254 -> 0.930394 -> 0.595079, OO=0.923532 -> 0.927231 -> 0.00896656; GESUMMV IO=0.967385 -> 0.973196 -> 0.599628, OO=0.962273 -> 0.966046 -> 0.00796831.	At 48 KiB pool-full time exposure falls substantially for BICG/GESUMMV, especially in OO; Btree remains a zero-full control. This is distinct from accumulated retry burden per instruction.
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	physical_pool_size -> IO_no_free_events_per_active_SM_cycle	MEASURED_CORRELATION	CONTROLLED_ONE_FACTOR_D4_CAPACITY_SWEEP_IO_ONLY	IO no-free events/active-SM-cycle 24->32->48: BICG=0.925948 -> 0.929407 -> 0.594385; GESUMMV=0.965778 -> 0.972275 -> 0.595874.	IO time-exposure rate falls at 48 KiB. Whole-line OO has no emitted compact no-free counter and is not imputed.
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	larger_pool -> cumulative_no_free_burden_per_instruction	NOT_SUPPORTED	CONTROLLED_ONE_FACTOR_D4_CAPACITY_SWEEP_IO_ONLY	IO no-free events/instruction 24->32->48: BICG=3.78061 -> 3.97659 -> 4.61715; GESUMMV=5.47487 -> 7.05882 -> 6.67719.	The claim that a larger pool lowers accumulated no-free burden per completed instruction is not supported. Program-work burden need not follow time exposure because runtime changes.
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	physical_occupancy_or_pool_full_exposure -> lower_inflight_concurrency	MEASURED_CORRELATION	D4_INTERNAL_MEDIATORS	Average allocated lines/inflight co-vary over local BICG/GESUMMV capacity points; Btree is invariant.	Capacity is controlled, but neither mediator is independently intervened on; direction is not identified.
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	lower_inflight_concurrency -> L2_miss_or_reservation_pressure	MEASURED_CORRELATION	D4_INTERNAL_MEDIATORS	BICG/GESUMMV local larger-pool points jointly change inflight exposure and L2 miss/reservation-fail rates.	No mediator-only intervention establishes direction or relative contribution.
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	L2_miss_or_reservation_pressure -> alloc_to_ready_pending_lifetime	MEASURED_CORRELATION	D4_INTERNAL_MEDIATORS	BICG IO misses/lower and alloc-to-ready cycles: 1.4289 -> 1.61179 -> 2.82187 / 2018.09 -> 2801.8 -> 9400.09; GESUMMV IO: 1.48289 -> 1.93837 -> 2.64567 / 1123.1 -> 2276.06 -> 5430.78.	The controlled sweep supports co-variation, not L2 pressure as the independently proven cause of lifetime.
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	alloc_to_ready_pending_lifetime -> pending_tag_eviction	INSUFFICIENT	D4_INTERNAL_MEDIATORS	Pending-Tag-evictions per lower are not uniformly monotonic with lifetime, including BICG OO at 48 KiB.	No per-allocation causal linkage or mediator intervention is measured.
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	pending_tag_eviction -> duplicate_lower_request_traffic	SOURCE_PROVEN	LANE_C_IO_SOURCE_AUDIT_AND_OO_DUPLICATE_COUNTER_SEMANTICS	Pending Tag eviction of a not-ready logical line is recorded; successful same-line reallocation erases that record, increments the exact duplicate counter, and creates the lower request.	Exact transition semantics; it neither establishes frequency nor attributes performance.
POST_FAST64_D6_ARROW_V1	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	duplicate_lower_request_traffic -> performance	NOT_SUPPORTED	D4_D5_AND_ACCEPTED_FAST64_SPEEDUPS	Duplicates co-vary with occupancy, inflight work, L2 pressure, reservation failures, and lifetimes; no duplicate-only intervention exists.	No recoverable-performance estimate or primary-limiter attribution is made.
