test_id	workload_level	nvbit_tool	baseline_status	nvbit_status	exit_code	signal	trace_generated	trace_bytes	failure_stage	diagnostic_class	scientific_eligible
Q2_A_BASELINE	direct CUDA vector-add	NONE	PASS	NOT_APPLICABLE	0	NONE	FALSE	0	NORMAL_EXIT	DIRECT_CUDA_BASELINE_PASS	FALSE
Q2_A_OFFICIAL	direct CUDA vector-add	OFFICIAL_INSTR_COUNT	PASS	PASS	0	NONE	FALSE	0	KERNEL_OBSERVED	DIRECT_CUDA_NVBIT_PASS	FALSE
Q2_A_C16_TRACER	direct CUDA vector-add	C16_MEMORY_TRACER	PASS	PASS	0	NONE	TRUE	5372	KERNEL_OBSERVED	DIRECT_CUDA_NVBIT_PASS	FALSE
Q2_B_BASELINE	PyTorch CUDA elementwise	NONE	PASS	NOT_APPLICABLE	0	NONE	FALSE	0	NORMAL_EXIT	PYTORCH_BASELINE_PASS	FALSE
Q2_B_OFFICIAL	PyTorch CUDA elementwise	OFFICIAL_INSTR_COUNT	PASS	FAIL	124	TIMEOUT_WRAPPER_NO_PROCESS_SIGNAL_REPORTED	FALSE	0	ELEMENTWISE_PREPARE_BEFORE_WORKLOAD_KERNEL	NVBIT_PYTORCH_RUNTIME_OR_DRIVER_COMPATIBILITY_NOT_RESOLVED	FALSE
Q2_B_C16_TRACER	PyTorch CUDA elementwise	C16_MEMORY_TRACER	PASS	FAIL	124	TIMEOUT_WRAPPER_NO_PROCESS_SIGNAL_REPORTED	FALSE	0	ELEMENTWISE_PREPARE_BEFORE_WORKLOAD_KERNEL	NVBIT_PYTORCH_RUNTIME_OR_DRIVER_COMPATIBILITY_NOT_RESOLVED	FALSE
Q2_C_BASELINE	PyTorch CUDA GEMM	NONE	INCOMPLETE	ABORTED_AFTER_Q2_B_FAIL	NA	NONE	FALSE	0	NORMAL_EXIT_WITHOUT_TERMINAL_RECEIPT	NOT_A_GATE_RESULT	FALSE
Q2_C_OFFICIAL	PyTorch CUDA GEMM	OFFICIAL_INSTR_COUNT	NOT_STARTED	NOT_STARTED	NA	NA	FALSE	0	Q2_B_FAIL_CLOSED	NOT_STARTED	FALSE
Q2_C_C16_TRACER	PyTorch CUDA GEMM	C16_MEMORY_TRACER	NOT_STARTED	NOT_STARTED	NA	NA	FALSE	0	Q2_B_FAIL_CLOSED	NOT_STARTED	FALSE
Q3	model canaries	NOT_STARTED	NOT_STARTED	NOT_STARTED	NA	NA	FALSE	0	Q2_B_FAIL_CLOSED_NO_MODEL_TRANSFER	NOT_STARTED	FALSE
Q4	frozen C targets	NOT_STARTED	NOT_STARTED	NOT_STARTED	NA	NA	FALSE	0	Q2_B_FAIL_CLOSED_AND_REMOTE_STORAGE_GATE	NOT_STARTED	FALSE
