layer_id	semantic_role	raw_bf16_shape	raw_bf16_bytes	awq_qweight_shape	awq_qzero_scale_shape	one_to_one
0	q_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
0	k_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
0	v_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
0	o_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
0	gate_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
0	up_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
0	down_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
1	q_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
1	k_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
1	v_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
1	o_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
1	gate_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
1	up_proj	PENDING_CANONICAL_RAW_METADATA	PENDING	PENDING_CANONICAL_AWQ_METADATA	PENDING_CANONICAL_AWQ_METADATA	UNRESOLVED_UNTIL_AWQ_ANCHOR_PROVEN
