candidate_id	path	directly_inspected	bytes	object_count	scientific_status	classification	action	notes
PPI-001	/workspace/vm-m4b-speculative/c5-results/C11_AUTHORIZED_NOT_RUN	yes	2013822224	15906	FORMAL	PRIVATE_ONLY_SCIENTIFIC_MUST_EXPORT	exported	C12 22-arm raw tree; 22 Git raw-log SHA matches.
PPI-002	/workspace/vm-m4b-c13-diagnostics	yes	1775513085	14286	DIAGNOSTIC	PRIVATE_ONLY_SCIENTIFIC_MUST_EXPORT	exported	C13 repaired/raw result receipts; 10 repaired Git raw-log SHA matches.
PPI-003	/workspace/c14-dual-path-micro-runs	yes	9064042	151	DIAGNOSTIC	PRIVATE_ONLY_SCIENTIFIC_MUST_EXPORT	exported	C14 state context is not full-ROI equivalent.
PPI-004	/workspace/m4c-c3-formal-20260905-v1	yes	1539894983	5778	FORMAL	PRIVATE_ONLY_SCIENTIFIC_MUST_EXPORT	exported	C12/C13/C14 trace/control input and C3 run evidence.
PPI-005	/workspace/vm-m4b-stage-f96b7ea9-5bdd4b55	yes	201917767	1522	FORMAL	PRIVATE_DUPLICATE_SHARED	not exported	All 1432 unique C3 trace referents match shared M4I counterpart SHA.
PPI-006	/workspace/vm-m4b-runs-f96b7ea9-5bdd4b55	yes	164782	NA	DIAGNOSTIC	PRIVATE_RELEVANCE_UNKNOWN	not exported	Pilot-only scope outside recovered C12--C15 formal/diagnostic lineage; no bulk inference.
PPI-007	/tmp/c12_operator_aware_partial_scan_20260910	yes	52651	3	PRE_FIX	PRIVATE_ONLY_SCIENTIFIC_MUST_EXPORT	exported	Non-Git partial operator/trace scan; preserved without conclusion promotion.
PPI-008	/tmp/c13-validator-NC5gLL; /tmp/c13-validator-s1bsVO	yes	9474	2	DIAGNOSTIC	PRIVATE_DUPLICATE_GIT_DERIVED	not exported	Scratch validator outputs; C13 result receipts are exported and Git provenance is authority.
PPI-009	/tmp/c14-n-build; /tmp/c14-p-build	yes	1194320	2	DIAGNOSTIC	PRIVATE_OBSOLETE_OR_TEMPORARY	not exported	Compiled directed-test binaries; Git source is authority, no raw run payload.
PPI-010	/root outside /root/share and /root/data	yes	NA	NA	UNKNOWN	PRIVATE_OBSOLETE_OR_TEMPORARY	not exported	Narrow marker search found no C12--C15 scientific data.
