topic	current_C12_observable	C12_scope_or_semantics	missing_or_unsafe_inference	C14_action	owner_path	evidence
segment_race_attempts	segment_lookup_attempts/accepts/launches/completions/hits/misses	aggregate controller counters; attempt is enabled+active admission, not Weight label	no per-request winner and no exact-stage state at Segment hit	add default-off winner and exact-state-at-Segment-hit counters	P	SOURCE_VERIFIED_FACT
exact_L2_at_Segment_hit	segment_l2_suppressed	model accounting increment on Segment winner	cannot be described as cancellation of an already issued L2; no status counter	instrument explicit NOT_ISSUED assertion/counter if useful; source gate already proves it	P	SOURCE_VERIFIED_FACT
L2_port_before_Segment_hit	l2_lookup_launches and l2 port-stalls	aggregate exact-path counters	no causal race attribution; source state gate says it is zero for same lookup	record zero-by-design and do not claim port cancellation	P	SOURCE_VERIFIED_FACT
MSHR_before_Segment_hit	mshr_allocations/merges/full and segment_mshr_suppressed	aggregate MSHR plus model suppression counter	no request-level causal association; no prior allocation possible on this state path	record zero-by-design; expose only conservation-friendly race counters	P	SOURCE_VERIFIED_FACT
PTW_PTE_before_Segment_hit	walk_starts/pte_requests and segment_*_suppressed	aggregate controller counters	no request-level causal association; no prior start/issue possible on this state path	record zero-by-design; no unsafe cancel prototype	P	SOURCE_VERIFIED_FACT
late_loser	segment_late_result_discards	aggregate logical discard counter	no winner/loser breakdown and no cost measure	add winner/l1-completion-state accounting	P	SOURCE_VERIFIED_FACT
fallback_cost	segment_miss_join_wait_cycles	aggregate difference between first and last L1/Segment completion	no per requester/source/operator end-to-end fallback decomposition	add gated default-off requester race latency bins	P	SOURCE_VERIFIED_FACT
requester_latency	requester_latency_cycles_total/max and L1/L2/MSHR components	entry-to-ready/retry lifecycle latency, including merged wait	must not be equated with global exposed GPU stall	retain metric and compare with local head-blocked proxy	N	SOURCE_VERIFIED_FACT
translation_pending_head	vm_translation_stall_cycles	increments when the current LD/ST memory-stage access returns translation PENDING	aggregate; no explicit proxy name, source/object/kernel or per-outcome attribution	implement TRANSLATION_HEAD_BLOCKED_CYCLE as a defined local proxy	N	SOURCE_VERIFIED_FACT
completion_to_data_issue	no dedicated field	READY falls through to data-path code in same memory_cycle	cannot measure actual lower-memory admission/backpressure gap	instrument ready-to-normal-data-admission outcome/cycle conservatively	N	SOURCE_VERIFIED_FACT
translation_blocked_issue_opportunity	no dedicated field	LD/ST memory-cycle head is visible	cannot assert GPU-wide issue-slot idleness or global critical path	count only current local LD/ST head blocked cycle; label proxy	N	SOURCE_VERIFIED_FACT
pending_requester_occupancy	MSHR occupancy/high watermark	unique page-walk entries, not requesters/lookups	cannot infer number of translation-pending access objects	add lookup/pending-requester gauge/high-watermark under default-off telemetry	N	SOURCE_VERIFIED_FACT
per_kernel_object_exposure	object translation stats	object lookup/hit/miss/MTW/PTE and requester latency when attribution enabled	no head-blocked or completion-to-issue per-kernel/object attribution	add continuous per-kernel/object proxy buckets only if stable kernel identity exists	N	SOURCE_VERIFIED_FACT
global_critical_path	no valid C12 field	n/a	request latency and local LD/ST stalls cannot prove it	never use critical_path_cycles name or claim	N	SOURCE_VERIFIED_FACT
