sample_id	track	roi	compute_index	trace_filename	operator_class	layer_id	evidence_kind	selection_basis	accepted_source
P-FFN-L0	P	prefill	49	kernel-785-ctx_0x55f2413c4de0.traceg.xz	FFN_MLP	0	DIRECT_PARAMETER_RANGE	highest F0 cycle (432215) among direct FFN_MLP layer 0	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L10_vs_F0
P-FFN-L7	P	prefill	343	kernel-1093-ctx_0x55f2413c4de0.traceg.xz	FFN_MLP	7	DIRECT_PARAMETER_RANGE	highest F0 cycle (429665) among direct FFN_MLP layer 7	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L10_vs_F0
P-FFN-L15	P	prefill	679	kernel-1445-ctx_0x55f2413c4de0.traceg.xz	FFN_MLP	15	DIRECT_PARAMETER_RANGE	highest F0 cycle (430270) among direct FFN_MLP layer 15	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L10_vs_F0
P-AP-L0	P	prefill	37	kernel-772-ctx_0x55f2413c4de0.traceg.xz	ATTENTION_PROJECTION	0	DIRECT_PARAMETER_RANGE	highest F0 cycle (142686) among direct ATTENTION_PROJECTION layer 0	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L10_vs_F0
P-AP-L7	P	prefill	331	kernel-1080-ctx_0x55f2413c4de0.traceg.xz	ATTENTION_PROJECTION	7	DIRECT_PARAMETER_RANGE	highest F0 cycle (143154) among direct ATTENTION_PROJECTION layer 7	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L10_vs_F0
P-AP-L15	P	prefill	667	kernel-1432-ctx_0x55f2413c4de0.traceg.xz	ATTENTION_PROJECTION	15	DIRECT_PARAMETER_RANGE	highest F0 cycle (142523) among direct ATTENTION_PROJECTION layer 15	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L10_vs_F0
P-EO-691	P	prefill	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	NA	DIRECT_PARAMETER_RANGE	matrix-fixed hotspot	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv
P-OTHER-TOP	P	prefill	460	kernel-1216-ctx_0x55f2413c4de0.traceg.xz	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	highest F0 cycle (68070) among direct/semantic OTHER_COMPUTE	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L10_vs_F0
N-FFN-L7	N	prefill	343	kernel-1093-ctx_0x55f2413c4de0.traceg.xz	FFN_MLP	7	DIRECT_PARAMETER_RANGE	highest F0 cycle (429665) among direct FFN_MLP layer 7	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L10_vs_F0
N-AP-L7	N	prefill	331	kernel-1080-ctx_0x55f2413c4de0.traceg.xz	ATTENTION_PROJECTION	7	DIRECT_PARAMETER_RANGE	highest F0 cycle (143154) among direct ATTENTION_PROJECTION layer 7	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L10_vs_F0
N-EO-691	N	prefill	691	kernel-1458-ctx_0x55f2413c4de0.traceg.xz	EMBEDDING_OUTPUT	NA	DIRECT_PARAMETER_RANGE	matrix-fixed hotspot	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv
N-DECODE-FFN	N	decode1	592	kernel-2081-ctx_0x55d98da1ddf0.traceg.xz	FFN_MLP	12	DIRECT_PARAMETER_RANGE	highest F0 cycle (451763) among direct Decode FFN_MLP	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L5_vs_F0
N-DECODE-AP	N	decode1	625	kernel-2115-ctx_0x55d98da1ddf0.traceg.xz	ATTENTION_PROJECTION	13	DIRECT_PARAMETER_RANGE	highest F0 cycle (129541) among direct Decode ATTENTION_PROJECTION	C12_OPERATOR_AWARE_CHARACTERIZATION/KERNEL_OPERATOR_MAP.tsv + C12_OPERATOR_AWARE_MECHANISM_DEEP_DIVE/KERNEL_DELTA_RANKING.tsv:F7-L5_vs_F0
