ordinal	path	classification
1	util/tracer_nvbit/tracer_tool/tracer_tool.cu	tracked Route-A history preserved
2	util/tracer_nvbit/route_b_1771/common.h	Route-B packet schema
3	util/tracer_nvbit/route_b_1771/accelsim_instrument_inst.cu	Route-B device packet producer
4	util/tracer_nvbit/route_b_1771/route_b_raw_formatter.hpp	shared pure raw formatter
5	util/tracer_nvbit/route_b_1771/route_b_formatter_selftest.cc	formatter regression
6	util/tracer_nvbit/route_b_1771/route_b_writer_state.hpp	writer state machine
7	util/tracer_nvbit/route_b_1771/route_b_tracer.cu	official lifecycle scaffold integration
8	util/tracer_nvbit/route_b_1771/tool_func/flush_channel.c	official explicit flush module payload
9	util/tracer_nvbit/route_b_1771/tool_func/flush_channel.cu	flush module source
10	util/tracer_nvbit/route_b_1771/route_b_terminal_receipt_verify.sh	terminal receipt verifier
11	util/tracer_nvbit/route_b_1771/verify_route_b_b2.sh	B2 consistency verifier
12	util/tracer_nvbit/route_b_1771/route_b_negative_regression.sh	B2 fail-closed negative regression
