exp_id	logical_role	status	raw_log_sha256	config_sha256	effective_l2_mode	gate_dependency	reuse_as
C13-EQ-P320S10-C12BIN-EXACTMODE	EQ1_C12BIN_PROFILE_EQUIVALENCE	RUNNING_SPECULATIVE_REPAIRED_EXECUTION_PENDING_EQ_GATE	NONTERMINAL	c601265445ae2a56122883bb94d774fbaf93a36ff980f51274f02a9d49d31b94	0	EQ1_THEN_EQ2	NONE
C13-EQ-P320S10-NEWBIN-EXACTMODE	EQ2_NEWBIN_DEFAULT_OFF_AND_H1_PREFILL_CONTROL_REUSE	RUNNING_SPECULATIVE_REPAIRED_EXECUTION_PENDING_EQ_GATE	NONTERMINAL	c601265445ae2a56122883bb94d774fbaf93a36ff980f51274f02a9d49d31b94	0	EQ1_THEN_EQ2	C13-SEL-P10-CTRL-NEWBIN
C13-LAT-P8-REPAIRED-EXACTMODE-A1	H3_PREFILL_L8	RUNNING_SPECULATIVE_REPAIRED_EXECUTION_PENDING_EQ_GATE	NONTERMINAL	174d08c2a4eac0439e9bc33588097c80441190ab3a919a26bebd0e9ea8f98554	0	EQ1_THEN_EQ2	NONE
C13-LAT-P9-REPAIRED-EXACTMODE-A1	H3_PREFILL_L9	RUNNING_SPECULATIVE_REPAIRED_EXECUTION_PENDING_EQ_GATE	NONTERMINAL	bc75516e3ffca3f1d06b7efb677abf6c2633a7565eecfd6dedb691061f842244	0	EQ1_THEN_EQ2	NONE
C13-LAT-D11-REPAIRED-EXACTMODE-A1	H3_DECODE_L11	PASS_PENDING_EQ_GATE	52cbf87c2aa56c6968da427cf6cb0c4ba37904a38f4ce289d49242f7dde4bcb9	82d283014b6075bea3213651b55b0f88003c989c91493f267d8a0a2bfcb8569e	0	EQ1_THEN_EQ2	NONE
C13-CAP-P320-REPAIRED-EXACTMODE-A1	H2_EXACT320_NO_SEGMENT	RUNNING_SPECULATIVE_REPAIRED_EXECUTION_PENDING_EQ_GATE	NONTERMINAL	6daa4a74e6801c1a165c59c27361234662367c9736f6d9320d83b72f54310b5b	0	EQ1_THEN_EQ2	NONE
C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	H2_EXACT768_SEGMENT_L10	RUNNING_SPECULATIVE_REPAIRED_EXECUTION_PENDING_EQ_GATE	NONTERMINAL	c5add7abfbf6fb18766324f251fa54550223f50178d13b5eb3b83165c47204a2	0	EQ1_THEN_EQ2	NONE
C13-SEL-P10-REPAIRED-EXACTMODE-A1	H1_PREFILL_SELECTIVE_CANDIDATE	RUNNING_SPECULATIVE_REPAIRED_EXECUTION_PENDING_EQ_GATE	NONTERMINAL	18633fee4cf3fa40566a156ae3468ba123cacb0b8009f1f7eb09c0e5f2661efd	0	EQ1_THEN_EQ2	NONE
C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	H1_DECODE_CONTROL	PASS_PENDING_EQ_GATE	d1333e869911484504495ab27d51314e88fe06360f652e8fefdb8ad933980378	35199041a545b71a128a5b44fe1fed2e724d9f557da2d8ace95aff6f1f2d35b2	0	EQ1_THEN_EQ2	NONE
C13-SEL-D10-REPAIRED-EXACTMODE-A1	H1_DECODE_SELECTIVE_CANDIDATE	PASS_PENDING_EQ_GATE	0124fc3b43f358a52f2c967f2788dc21b1603d503716c3d770f17817c561d5ad	7fd679a1a7772d58a22964fb63631679e3ecb10f705df2b4433c67ecabe5eb58	0	EQ1_THEN_EQ2	NONE
