exp_id	logical_role	roi	scientific_status	gate_status	l2_mode	exact_l2_tlb_entries	l2_assoc	l2_sets	segment_enable	segment_n	lseg	eligibility_policy	reuse_as	raw_log_sha256	config_sha256	binary_sha256	core_head	kernel_markers	per_kernel_cycle_sum	gpu_tot_sim_cycle	vm_l1_tlb_misses	vm_l2_tlb_misses	vm_translation_walk_starts	vm_pte_requests	vm_pte_dram_responses	vm_translation_requester_latency_cycles_total	vm_weight_segment_lookup_attempts	vm_weight_segment_hits	vm_weight_segment_l2_suppressed
C13-CAP-P320-REPAIRED-EXACTMODE-A1	H2_EXACT320_NO_SEGMENT	prefill	ACCEPTED_AFTER_PATH_A_REPAIR	EQ1_THEN_EQ2_PASS	0	320	16	20	0	0	NONE	ALL_C5_ELIGIBLE_WEIGHT	NONE	f5c4146886b6ddf9baf2ae2e0c6e34d84834adbd68a9ac2d35dd85fce5bbc97b	6daa4a74e6801c1a165c59c27361234662367c9736f6d9320d83b72f54310b5b	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	692	63893042	63893042	1117373	197764	54798	54918	35404	1127696383	0	0	0
C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	H2_EXACT768_SEGMENT_L10	prefill	ACCEPTED_AFTER_PATH_A_REPAIR	EQ1_THEN_EQ2_PASS	0	768	16	48	1	8	10	ALL_C5_ELIGIBLE_WEIGHT	NONE	2c1ce74e99b5f71c13798019ca5e56fe26d41b7d0b17d5a84fdfa385af1a3532	c5add7abfbf6fb18766324f251fa54550223f50178d13b5eb3b83165c47204a2	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	692	62066974	62066974	49099414	8191	2848	2870	2541	1027624749	94182038	48086161	48086161
C13-EQ-P320S10-C12BIN-EXACTMODE	EQ1_C12BIN_PROFILE_EQUIVALENCE	prefill	ACCEPTED_AFTER_PATH_A_REPAIR	EQ1_THEN_EQ2_PASS	0	320	16	20	1	8	10	ALL_C5_ELIGIBLE_WEIGHT	NONE	d6392f353b088aee9c0af33f82e5348bbceb82148d78bbcde7ff16319e80041d	c601265445ae2a56122883bb94d774fbaf93a36ff980f51274f02a9d49d31b94	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	692	63370888	63370888	49106086	120919	33749	33772	29715	1073767415	94194188	48092734	48092734
C13-EQ-P320S10-NEWBIN-EXACTMODE	EQ2_NEWBIN_DEFAULT_OFF_AND_H1_PREFILL_CONTROL_REUSE	prefill	ACCEPTED_AFTER_PATH_A_REPAIR	EQ1_THEN_EQ2_PASS	0	320	16	20	1	8	10	ALL_C5_ELIGIBLE_WEIGHT	C13-SEL-P10-CTRL-NEWBIN	9909edab804c8dd81b36ff289001c63d1c6f2eeb921dd2f7fcdf91b662f92c0f	c601265445ae2a56122883bb94d774fbaf93a36ff980f51274f02a9d49d31b94	63c6011f20a22ff37afe0cef2958b67b32a9a6dcf0132d92ff28f62a8395cec4	4f5f2a2583d71e5aee0e5ff59b67e5e6cd7d5be0	692	63370888	63370888	49106086	120919	33749	33772	29715	1073767415	94194188	48092734	48092734
C13-LAT-D11-REPAIRED-EXACTMODE-A1	H3_DECODE_L11	decode1	ACCEPTED_AFTER_PATH_A_REPAIR	EQ1_THEN_EQ2_PASS	0	320	16	20	1	8	11	ALL_C5_ELIGIBLE_WEIGHT	NONE	52cbf87c2aa56c6968da427cf6cb0c4ba37904a38f4ce289d49242f7dde4bcb9	82d283014b6075bea3213651b55b0f88003c989c91493f267d8a0a2bfcb8569e	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	740	34539934	34539934	8051954	2532	170	182	104	771049341	75983130	8024070	8024070
C13-LAT-P8-REPAIRED-EXACTMODE-A1	H3_PREFILL_L8	prefill	ACCEPTED_AFTER_PATH_A_REPAIR	EQ1_THEN_EQ2_PASS	0	320	16	20	1	8	8	ALL_C5_ELIGIBLE_WEIGHT	NONE	b1472f9d8ddd58c8f2ced51fdd2a966e8affabddbfefd1e8af0f2759d97db72c	174d08c2a4eac0439e9bc33588097c80441190ab3a919a26bebd0e9ea8f98554	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	692	61301122	61301122	1013948	120500	33749	33771	29715	979612815	94435143	48272197	48272197
C13-LAT-P9-REPAIRED-EXACTMODE-A1	H3_PREFILL_L9	prefill	ACCEPTED_AFTER_PATH_A_REPAIR	EQ1_THEN_EQ2_PASS	0	320	16	20	1	8	9	ALL_C5_ELIGIBLE_WEIGHT	NONE	ed80813991a662ad99bdee68da09cf96c944f61b4f7b1b4c79b111ff6d2a8df7	bc75516e3ffca3f1d06b7efb677abf6c2633a7565eecfd6dedb691061f842244	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	692	62284120	62284120	1013412	119704	33750	33771	29715	1026024879	94293883	48163492	48163492
C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	H1_DECODE_CONTROL	decode1	ACCEPTED_AFTER_PATH_A_REPAIR	EQ1_THEN_EQ2_PASS	0	320	16	20	1	8	10	ALL_C5_ELIGIBLE_WEIGHT	NONE	d1333e869911484504495ab27d51314e88fe06360f652e8fefdb8ad933980378	35199041a545b71a128a5b44fe1fed2e724d9f557da2d8ace95aff6f1f2d35b2	63c6011f20a22ff37afe0cef2958b67b32a9a6dcf0132d92ff28f62a8395cec4	4f5f2a2583d71e5aee0e5ff59b67e5e6cd7d5be0	740	34432059	34432059	8081592	2405	170	183	104	763442534	76027483	8053776	8053776
C13-SEL-D10-REPAIRED-EXACTMODE-A1	H1_DECODE_SELECTIVE_CANDIDATE	decode1	ACCEPTED_AFTER_PATH_A_REPAIR	EQ1_THEN_EQ2_PASS	0	320	16	20	1	8	10	EXCLUDE_EMBEDDING_OUTPUT_WEIGHT_RANGE	NONE	0124fc3b43f358a52f2c967f2788dc21b1603d503716c3d770f17817c561d5ad	7fd679a1a7772d58a22964fb63631679e3ecb10f705df2b4433c67ecabe5eb58	63c6011f20a22ff37afe0cef2958b67b32a9a6dcf0132d92ff28f62a8395cec4	4f5f2a2583d71e5aee0e5ff59b67e5e6cd7d5be0	740	34483640	34483640	3862943	10445	8193	8247	2161	768846117	76005876	3827027	3827027
C13-SEL-P10-REPAIRED-EXACTMODE-A1	H1_PREFILL_SELECTIVE_CANDIDATE	prefill	ACCEPTED_AFTER_PATH_A_REPAIR	EQ1_THEN_EQ2_PASS	0	320	16	20	1	8	10	EXCLUDE_EMBEDDING_OUTPUT_WEIGHT_RANGE	NONE	09266489e647ffde321917091c013a09144d4cc31fc30a67d077a980e8a491f1	18633fee4cf3fa40566a156ae3468ba123cacb0b8009f1f7eb09c0e5f2661efd	63c6011f20a22ff37afe0cef2958b67b32a9a6dcf0132d92ff28f62a8395cec4	4f5f2a2583d71e5aee0e5ff59b67e5e6cd7d5be0	692	63557663	63557663	32690008	133195	42474	42575	31923	1080837423	94190360	31643596	31643596
