comparison	roi	operator_class	baseline_id	candidate_id	baseline_cycles	candidate_cycles	cycle_delta_candidate_minus_baseline	vm_l1_tlb_misses_delta	vm_l2_tlb_misses_delta	vm_translation_walk_starts_delta	vm_pte_requests_delta	vm_pte_dram_responses_delta	vm_translation_requester_latency_cycles_total_delta	vm_weight_segment_hits_delta	vm_weight_segment_l2_suppressed_delta	evidence_boundary
H3_PREFILL_L8_vs_F0	prefill	ATTENTION_CORE	C12-PREFILL-F0-LNONE	C13-LAT-P8-REPAIRED-EXACTMODE-A1	623662	624037	375	10	-613	-100	-100	-45	-256651	0	0	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L8_vs_F0	prefill	ATTENTION_PROJECTION	C12-PREFILL-F0-LNONE	C13-LAT-P8-REPAIRED-EXACTMODE-A1	6676148	6367911	-308237	-12922	-3901	-1310	-1319	-385	-12080744	5383371	5383371	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L8_vs_F0	prefill	EMBEDDING_OUTPUT	C12-PREFILL-F0-LNONE	C13-LAT-P8-REPAIRED-EXACTMODE-A1	17652323	18458387	806064	-32560	95410	20771	20733	23219	3188416	16464194	16464194	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L8_vs_F0	prefill	FFN_MLP	C12-PREFILL-F0-LNONE	C13-LAT-P8-REPAIRED-EXACTMODE-A1	20573515	18972747	-1600768	-56006	-11626	-6130	-6130	-1574	-56868784	25376056	25376056	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L8_vs_F0	prefill	NORM	C12-PREFILL-F0-LNONE	C13-LAT-P8-REPAIRED-EXACTMODE-A1	1458060	1386331	-71729	-1233	-560	-16	-30	-30	-2650897	1048576	1048576	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L8_vs_F0	prefill	OTHER_COMPUTE	C12-PREFILL-F0-LNONE	C13-LAT-P8-REPAIRED-EXACTMODE-A1	15500080	15485298	-14782	-2868	-3437	-282	-282	-99	-2152755	0	0	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L8_vs_F0	prefill	UNRESOLVED	C12-PREFILL-F0-LNONE	C13-LAT-P8-REPAIRED-EXACTMODE-A1	6450	6411	-39	0	0	0	0	0	0	0	0	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L9_vs_F0	prefill	ATTENTION_CORE	C12-PREFILL-F0-LNONE	C13-LAT-P9-REPAIRED-EXACTMODE-A1	623662	620562	-3100	76	-618	-100	-100	-45	-247273	0	0	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L9_vs_F0	prefill	ATTENTION_PROJECTION	C12-PREFILL-F0-LNONE	C13-LAT-P9-REPAIRED-EXACTMODE-A1	6676148	6481694	-194454	-12887	-3932	-1310	-1319	-385	-7237293	5339463	5339463	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L9_vs_F0	prefill	EMBEDDING_OUTPUT	C12-PREFILL-F0-LNONE	C13-LAT-P9-REPAIRED-EXACTMODE-A1	17652323	18536106	883783	-32555	94513	20771	20733	23219	19111038	16455305	16455305	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L9_vs_F0	prefill	FFN_MLP	C12-PREFILL-F0-LNONE	C13-LAT-P9-REPAIRED-EXACTMODE-A1	20573515	19735666	-837849	-56086	-11626	-6130	-6130	-1574	-32148058	25320148	25320148	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L9_vs_F0	prefill	NORM	C12-PREFILL-F0-LNONE	C13-LAT-P9-REPAIRED-EXACTMODE-A1	1458060	1414332	-43728	-1376	-560	-16	-30	-30	-1614259	1048576	1048576	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L9_vs_F0	prefill	OTHER_COMPUTE	C12-PREFILL-F0-LNONE	C13-LAT-P9-REPAIRED-EXACTMODE-A1	15500080	15489345	-10735	-3287	-3300	-281	-282	-99	-2273506	0	0	ASSOCIATION_NOT_CAUSALITY
H3_PREFILL_L9_vs_F0	prefill	UNRESOLVED	C12-PREFILL-F0-LNONE	C13-LAT-P9-REPAIRED-EXACTMODE-A1	6450	6415	-35	0	0	0	0	0	0	0	0	ASSOCIATION_NOT_CAUSALITY
H3_DECODE_L11_vs_F0	decode1	ATTENTION_CORE	C12-DECODE1-F0-LNONE	C13-LAT-D11-REPAIRED-EXACTMODE-A1	505269	504982	-287	-32	-2	0	0	0	5118	0	0	ASSOCIATION_NOT_CAUSALITY
H3_DECODE_L11_vs_F0	decode1	ATTENTION_PROJECTION	C12-DECODE1-F0-LNONE	C13-LAT-D11-REPAIRED-EXACTMODE-A1	3824007	3799568	-24439	651160	-3916	-1307	-1323	-359	-1534278	662687	662687	ASSOCIATION_NOT_CAUSALITY
H3_DECODE_L11_vs_F0	decode1	EMBEDDING_OUTPUT	C12-DECODE1-F0-LNONE	C13-LAT-D11-REPAIRED-EXACTMODE-A1	3781703	3745818	-35885	4191239	-8103	-8028	-8092	-2051	-1647802	4199271	4199271	ASSOCIATION_NOT_CAUSALITY
H3_DECODE_L11_vs_F0	decode1	FFN_MLP	C12-DECODE1-F0-LNONE	C13-LAT-D11-REPAIRED-EXACTMODE-A1	21665136	21722365	57229	3136886	-6389	-6130	-6130	-1571	-138168	3145728	3145728	ASSOCIATION_NOT_CAUSALITY
H3_DECODE_L11_vs_F0	decode1	NORM	C12-DECODE1-F0-LNONE	C13-LAT-D11-REPAIRED-EXACTMODE-A1	301294	284839	-16455	15349	-512	-16	-30	-30	-540639	16384	16384	ASSOCIATION_NOT_CAUSALITY
H3_DECODE_L11_vs_F0	decode1	OTHER_COMPUTE	C12-DECODE1-F0-LNONE	C13-LAT-D11-REPAIRED-EXACTMODE-A1	4481119	4476269	-4850	-595	-766	-40	-39	-19	-251141	0	0	ASSOCIATION_NOT_CAUSALITY
H3_DECODE_L11_vs_F0	decode1	UNRESOLVED	C12-DECODE1-F0-LNONE	C13-LAT-D11-REPAIRED-EXACTMODE-A1	6098	6093	-5	0	0	0	0	0	1	0	0	ASSOCIATION_NOT_CAUSALITY
H2_B_vs_A	prefill	ATTENTION_CORE	C12-PREFILL-F0-LNONE	C13-CAP-P320-REPAIRED-EXACTMODE-A1	623662	629681	6019	20	923	160	160	25	348747	0	0	ASSOCIATION_NOT_CAUSALITY
H2_B_vs_A	prefill	ATTENTION_PROJECTION	C12-PREFILL-F0-LNONE	C13-CAP-P320-REPAIRED-EXACTMODE-A1	6676148	6680324	4176	-127	340	163	163	73	91946	0	0	ASSOCIATION_NOT_CAUSALITY
