record_kind	exp_id	config_path	config_sha256	raw_log_sha256	effective_l2_mode	status
ORIGINAL_SUPERSEDED	C13-LAT-P8	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/C13-LAT-P8.config	9b58163cce098993640dc0f6569e43f5e0fbb192e73149369f90cd64f09caad5	7aa5e069fbab1942897034705775e1505e6f8465f5b1de7b5a55f970fcecb3e6	1	SUPERSEDED_WRONG_L2_MODE_SUBENTRY16
ORIGINAL_SUPERSEDED	C13-LAT-P9	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/C13-LAT-P9.config	98ce60e4e54e76555dfdea59f262e7355db38cdea9ef284327a95abde2f75324	9e2a857a18b7bc9ed31b3d187ad66528fa51d33de9277d32e32e6bf2cce7d34c	1	SUPERSEDED_WRONG_L2_MODE_SUBENTRY16
ORIGINAL_SUPERSEDED	C13-LAT-D11	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/C13-LAT-D11.config	81b897199f418503134696be64c6e79d5c3cbfcf941e712ce099485d9ebcfe9e	31fca1d860deafe0a53364da6d322e3a20bec3acfe558442ae6a08d77ae95294	1	SUPERSEDED_WRONG_L2_MODE_SUBENTRY16
ORIGINAL_SUPERSEDED	C13-CAP-P320	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/C13-CAP-P320.config	1619e10994ffee381ec052e842587339352efbcf41c4f3be1b50e62a6096d944	34efd6337843065195b0f76bb6d9100e02a202e66a4c084aff5e7e9601d358eb	1	SUPERSEDED_WRONG_L2_MODE_SUBENTRY16
ORIGINAL_SUPERSEDED	C13-CAP-P768S10	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/C13-CAP-P768S10.config	78caffc7a33e7170d4114785c38eea4d70d6eea93c5b47825255b6300c8ae187	8d500b21549e735b3e3b2de7e1e49e683c6cd3843da155e14430e3409bb3d27d	1	SUPERSEDED_WRONG_L2_MODE_SUBENTRY16
ORIGINAL_SUPERSEDED	C13-SEL-P10-CTRL-NEWBIN	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/C13-SEL-P10-CTRL-NEWBIN.config	511da74598c7ec5967134416eef3a1bdf03c48e32f18a512c5708076ab02efd0	12165ad43b153d30727de8646bcbd54a6c558b7a0cb6085e0e490fdd0c001dbe	1	SUPERSEDED_WRONG_L2_MODE_SUBENTRY16
ORIGINAL_SUPERSEDED	C13-SEL-D10-CTRL-NEWBIN	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/C13-SEL-D10-CTRL-NEWBIN.config	3976c2e202cc5de65e30cb8528856b4c4846fb65624e01582a7abc6f0e7cd3f3	511aa4b21fb39b804792eeeca38e861f0a3a105c45ad3f8a1ea3f05aceed4551	1	SUPERSEDED_WRONG_L2_MODE_SUBENTRY16
ORIGINAL_SUPERSEDED	C13-SEL-P10	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/C13-SEL-P10.config	97163d6c79c269acdf8220d7ced34e8a7bfa79322f8260603a1d7cfeecdb76fc	f4e1707fbab5718bd567dce5c98373cdaa449d8aa571ff16e80d1bb9269f2f19	1	SUPERSEDED_WRONG_L2_MODE_SUBENTRY16
ORIGINAL_SUPERSEDED	C13-SEL-D10	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/C13-SEL-D10.config	e0926fd0c0e2ce639a138540196e3e086b00c9de9cc0aa8a7df4127eeaeec6d0	cb380b1288587ba5064b3b59e8ba949230e44ea860c309127f115f2c8750a426	1	SUPERSEDED_WRONG_L2_MODE_SUBENTRY16
REPAIRED_STATIC	C13-EQ-P320S10-C12BIN-EXACTMODE	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/effective_config_audit/C13-EQ-P320S10-C12BIN-EXACTMODE.config	c601265445ae2a56122883bb94d774fbaf93a36ff980f51274f02a9d49d31b94	NOT_RUN	0	STATIC_EFFECTIVE_CONFIG_PASS
