exp_id	logical_role	static_status	config_sha256	effective_fair_arm	effective_l2_mode	effective_entries	effective_assoc	derived_sets	segment_enable	segment_n	lseg	exclusion_map	binary_sha256	core_head	errors
C13-EQ-P320S10-C12BIN-EXACTMODE	EQ1_C12BIN_PROFILE_EQUIVALENCE	PASS	c601265445ae2a56122883bb94d774fbaf93a36ff980f51274f02a9d49d31b94	0	0	320	16	20	1	8	10	NONE	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	NONE
C13-EQ-P320S10-NEWBIN-EXACTMODE	EQ2_NEWBIN_DEFAULT_OFF_AND_H1_PREFILL_CONTROL_REUSE	PASS	c601265445ae2a56122883bb94d774fbaf93a36ff980f51274f02a9d49d31b94	0	0	320	16	20	1	8	10	NONE	63c6011f20a22ff37afe0cef2958b67b32a9a6dcf0132d92ff28f62a8395cec4	4f5f2a2583d71e5aee0e5ff59b67e5e6cd7d5be0	NONE
C13-LAT-P8-REPAIRED-EXACTMODE-A1	H3_PREFILL_L8	PASS	174d08c2a4eac0439e9bc33588097c80441190ab3a919a26bebd0e9ea8f98554	0	0	320	16	20	1	8	8	NONE	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	NONE
C13-LAT-P9-REPAIRED-EXACTMODE-A1	H3_PREFILL_L9	PASS	bc75516e3ffca3f1d06b7efb677abf6c2633a7565eecfd6dedb691061f842244	0	0	320	16	20	1	8	9	NONE	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	NONE
C13-LAT-D11-REPAIRED-EXACTMODE-A1	H3_DECODE_L11	PASS	82d283014b6075bea3213651b55b0f88003c989c91493f267d8a0a2bfcb8569e	0	0	320	16	20	1	8	11	NONE	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	NONE
C13-CAP-P320-REPAIRED-EXACTMODE-A1	H2_EXACT320_NO_SEGMENT	PASS	6daa4a74e6801c1a165c59c27361234662367c9736f6d9320d83b72f54310b5b	0	0	320	16	20	0	0	0	NONE	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	NONE
C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	H2_EXACT768_SEGMENT_L10	PASS	c5add7abfbf6fb18766324f251fa54550223f50178d13b5eb3b83165c47204a2	0	0	768	16	48	1	8	10	NONE	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	NONE
C13-SEL-P10-REPAIRED-EXACTMODE-A1	H1_PREFILL_SELECTIVE_CANDIDATE	PASS	18633fee4cf3fa40566a156ae3468ba123cacb0b8009f1f7eb09c0e5f2661efd	0	0	320	16	20	1	8	10	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/selective/C13_PREFILL_EXCLUDE_EMBEDDING_OUTPUT_WEIGHT.tsv	63c6011f20a22ff37afe0cef2958b67b32a9a6dcf0132d92ff28f62a8395cec4	4f5f2a2583d71e5aee0e5ff59b67e5e6cd7d5be0	NONE
C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	H1_DECODE_CONTROL	PASS	35199041a545b71a128a5b44fe1fed2e724d9f557da2d8ace95aff6f1f2d35b2	0	0	320	16	20	1	8	10	NONE	63c6011f20a22ff37afe0cef2958b67b32a9a6dcf0132d92ff28f62a8395cec4	4f5f2a2583d71e5aee0e5ff59b67e5e6cd7d5be0	NONE
C13-SEL-D10-REPAIRED-EXACTMODE-A1	H1_DECODE_SELECTIVE_CANDIDATE	PASS	7fd679a1a7772d58a22964fb63631679e3ecb10f705df2b4433c67ecabe5eb58	0	0	320	16	20	1	8	10	/workspace/worktrees/accel-sim-vm-m4b-c13-diagnostics/configs/vm_tlb/c13_diagnostics/selective/C13_DECODE1_EXCLUDE_EMBEDDING_OUTPUT_WEIGHT.tsv	63c6011f20a22ff37afe0cef2958b67b32a9a6dcf0132d92ff28f62a8395cec4	4f5f2a2583d71e5aee0e5ff59b67e5e6cd7d5be0	NONE
