old_mode1_id	repaired_mode0_id	metric	old_mode1_value	repaired_mode0_value	repaired_minus_old	boundary
C13-LAT-P8	C13-LAT-P8-REPAIRED-EXACTMODE-A1	gpu_tot_sim_cycle	59939210	61301122	1361912	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-P8	C13-LAT-P8-REPAIRED-EXACTMODE-A1	vm_l2_tlb_misses	7466	120500	113034	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-P8	C13-LAT-P8-REPAIRED-EXACTMODE-A1	vm_translation_walk_starts	2233	33749	31516	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-P8	C13-LAT-P8-REPAIRED-EXACTMODE-A1	vm_pte_dram_responses	1926	29715	27789	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-P9	C13-LAT-P9-REPAIRED-EXACTMODE-A1	gpu_tot_sim_cycle	60906959	62284120	1377161	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-P9	C13-LAT-P9-REPAIRED-EXACTMODE-A1	vm_l2_tlb_misses	7495	119704	112209	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-P9	C13-LAT-P9-REPAIRED-EXACTMODE-A1	vm_translation_walk_starts	2233	33750	31517	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-P9	C13-LAT-P9-REPAIRED-EXACTMODE-A1	vm_pte_dram_responses	1926	29715	27789	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-D11	C13-LAT-D11-REPAIRED-EXACTMODE-A1	gpu_tot_sim_cycle	34539934	34539934	0	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-D11	C13-LAT-D11-REPAIRED-EXACTMODE-A1	vm_l2_tlb_misses	2532	2532	0	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-D11	C13-LAT-D11-REPAIRED-EXACTMODE-A1	vm_translation_walk_starts	170	170	0	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-LAT-D11	C13-LAT-D11-REPAIRED-EXACTMODE-A1	vm_pte_dram_responses	104	104	0	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-CAP-P320	C13-CAP-P320-REPAIRED-EXACTMODE-A1	gpu_tot_sim_cycle	62377411	63893042	1515631	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-CAP-P320	C13-CAP-P320-REPAIRED-EXACTMODE-A1	vm_l2_tlb_misses	33391	197764	164373	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-CAP-P320	C13-CAP-P320-REPAIRED-EXACTMODE-A1	vm_translation_walk_starts	17680	54798	37118	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-CAP-P320	C13-CAP-P320-REPAIRED-EXACTMODE-A1	vm_pte_dram_responses	5921	35404	29483	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-CAP-P768S10	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	gpu_tot_sim_cycle	62058600	62066974	8374	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-CAP-P768S10	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	vm_l2_tlb_misses	7583	8191	608	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-CAP-P768S10	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	vm_translation_walk_starts	2233	2848	615	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-CAP-P768S10	C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	vm_pte_dram_responses	1926	2541	615	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-P10-CTRL-NEWBIN	C13-EQ-P320S10-NEWBIN-EXACTMODE	gpu_tot_sim_cycle	62058600	63370888	1312288	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-P10-CTRL-NEWBIN	C13-EQ-P320S10-NEWBIN-EXACTMODE	vm_l2_tlb_misses	7583	120919	113336	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-P10-CTRL-NEWBIN	C13-EQ-P320S10-NEWBIN-EXACTMODE	vm_translation_walk_starts	2233	33749	31516	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-P10-CTRL-NEWBIN	C13-EQ-P320S10-NEWBIN-EXACTMODE	vm_pte_dram_responses	1926	29715	27789	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-P10	C13-SEL-P10-REPAIRED-EXACTMODE-A1	gpu_tot_sim_cycle	62202481	63557663	1355182	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-P10	C13-SEL-P10-REPAIRED-EXACTMODE-A1	vm_l2_tlb_misses	17251	133195	115944	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-P10	C13-SEL-P10-REPAIRED-EXACTMODE-A1	vm_translation_walk_starts	10249	42474	32225	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-P10	C13-SEL-P10-REPAIRED-EXACTMODE-A1	vm_pte_dram_responses	3947	31923	27976	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	gpu_tot_sim_cycle	34432059	34432059	0	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	vm_l2_tlb_misses	2405	2405	0	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	vm_translation_walk_starts	170	170	0	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-D10-CTRL-NEWBIN	C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	vm_pte_dram_responses	104	104	0	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-D10	C13-SEL-D10-REPAIRED-EXACTMODE-A1	gpu_tot_sim_cycle	34470902	34483640	12738	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-D10	C13-SEL-D10-REPAIRED-EXACTMODE-A1	vm_l2_tlb_misses	10436	10445	9	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-D10	C13-SEL-D10-REPAIRED-EXACTMODE-A1	vm_translation_walk_starts	8186	8193	7	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
C13-SEL-D10	C13-SEL-D10-REPAIRED-EXACTMODE-A1	vm_pte_dram_responses	2159	2161	2	ENGINEERING_POSTMORTEM_ONLY_NOT_SUBENTRY_SCIENCE
