exp_id	logical_role	roi	terminal_status	scientific_status	run_dir	raw_log_sha256	effective_l2_mode	eq_gate
C13-CAP-P320-REPAIRED-EXACTMODE-A1	H2_EXACT320_NO_SEGMENT	prefill	PASS	ACCEPTED_AFTER_PATH_A_REPAIR	/workspace/vm-m4b-c13-diagnostics/results/C13-CAP-P320-REPAIRED-EXACTMODE-A1	f5c4146886b6ddf9baf2ae2e0c6e34d84834adbd68a9ac2d35dd85fce5bbc97b	0	EQ1_THEN_EQ2_PASS
C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	H2_EXACT768_SEGMENT_L10	prefill	PASS	ACCEPTED_AFTER_PATH_A_REPAIR	/workspace/vm-m4b-c13-diagnostics/results/C13-CAP-P768S10-REPAIRED-EXACTMODE-A1	2c1ce74e99b5f71c13798019ca5e56fe26d41b7d0b17d5a84fdfa385af1a3532	0	EQ1_THEN_EQ2_PASS
C13-EQ-P320S10-C12BIN-EXACTMODE	EQ1_C12BIN_PROFILE_EQUIVALENCE	prefill	PASS	ACCEPTED_AFTER_PATH_A_REPAIR	/workspace/vm-m4b-c13-diagnostics/results/C13-EQ-P320S10-C12BIN-EXACTMODE	d6392f353b088aee9c0af33f82e5348bbceb82148d78bbcde7ff16319e80041d	0	EQ1_THEN_EQ2_PASS
C13-EQ-P320S10-NEWBIN-EXACTMODE	EQ2_NEWBIN_DEFAULT_OFF_AND_H1_PREFILL_CONTROL_REUSE	prefill	PASS	ACCEPTED_AFTER_PATH_A_REPAIR	/workspace/vm-m4b-c13-diagnostics/results/C13-EQ-P320S10-NEWBIN-EXACTMODE	9909edab804c8dd81b36ff289001c63d1c6f2eeb921dd2f7fcdf91b662f92c0f	0	EQ1_THEN_EQ2_PASS
C13-LAT-D11-REPAIRED-EXACTMODE-A1	H3_DECODE_L11	decode1	PASS	ACCEPTED_AFTER_PATH_A_REPAIR	/workspace/vm-m4b-c13-diagnostics/results/C13-LAT-D11-REPAIRED-EXACTMODE-A1	52cbf87c2aa56c6968da427cf6cb0c4ba37904a38f4ce289d49242f7dde4bcb9	0	EQ1_THEN_EQ2_PASS
C13-LAT-P8-REPAIRED-EXACTMODE-A1	H3_PREFILL_L8	prefill	PASS	ACCEPTED_AFTER_PATH_A_REPAIR	/workspace/vm-m4b-c13-diagnostics/results/C13-LAT-P8-REPAIRED-EXACTMODE-A1	b1472f9d8ddd58c8f2ced51fdd2a966e8affabddbfefd1e8af0f2759d97db72c	0	EQ1_THEN_EQ2_PASS
C13-LAT-P9-REPAIRED-EXACTMODE-A1	H3_PREFILL_L9	prefill	PASS	ACCEPTED_AFTER_PATH_A_REPAIR	/workspace/vm-m4b-c13-diagnostics/results/C13-LAT-P9-REPAIRED-EXACTMODE-A1	ed80813991a662ad99bdee68da09cf96c944f61b4f7b1b4c79b111ff6d2a8df7	0	EQ1_THEN_EQ2_PASS
C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	H1_DECODE_CONTROL	decode1	PASS	ACCEPTED_AFTER_PATH_A_REPAIR	/workspace/vm-m4b-c13-diagnostics/results/C13-SEL-D10-CTRL-NEWBIN-REPAIRED-EXACTMODE-A1	d1333e869911484504495ab27d51314e88fe06360f652e8fefdb8ad933980378	0	EQ1_THEN_EQ2_PASS
C13-SEL-D10-REPAIRED-EXACTMODE-A1	H1_DECODE_SELECTIVE_CANDIDATE	decode1	PASS	ACCEPTED_AFTER_PATH_A_REPAIR	/workspace/vm-m4b-c13-diagnostics/results/C13-SEL-D10-REPAIRED-EXACTMODE-A1	0124fc3b43f358a52f2c967f2788dc21b1603d503716c3d770f17817c561d5ad	0	EQ1_THEN_EQ2_PASS
C13-SEL-P10-REPAIRED-EXACTMODE-A1	H1_PREFILL_SELECTIVE_CANDIDATE	prefill	PASS	ACCEPTED_AFTER_PATH_A_REPAIR	/workspace/vm-m4b-c13-diagnostics/results/C13-SEL-P10-REPAIRED-EXACTMODE-A1	09266489e647ffde321917091c013a09144d4cc31fc30a67d077a980e8a491f1	0	EQ1_THEN_EQ2_PASS
