Generating SQLite file /data/c16/v6_awq/nsys_awq_s2.sqlite from /data/c16/v6_awq/nsys_awq_s2.nsys-rep
Processing [/data/c16/v6_awq/nsys_awq_s2.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     30.9      242,874,582      6,076      39,972.8      15,073.0      10,336      83,745     31,580.0  gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half…
     22.7      178,360,478        112   1,592,504.3   1,586,680.0     503,939   2,691,694  1,090,809.2  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_nn_align8>(T1::Param…
      9.3       73,355,469         28   2,619,838.2   2,621,725.5   2,608,333   2,630,381      7,611.2  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_nn_align8>(T1::Param…
      6.4       50,239,866         31   1,620,640.8   1,620,616.0   1,620,104   1,621,160        220.2  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (b…
      5.7       44,964,153        196     229,408.9      89,137.0       9,024     479,906    210,864.7  dequantize_weights(int *, __half *, int *, __half *, int, int, int)                                 
      4.6       35,911,274      1,792      20,039.8      19,904.0      19,425      27,105        874.5  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      3.4       27,126,288        868      31,251.5      31,264.0      31,009      31,873         75.0  void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)128, (int)…
      2.7       21,038,537          1  21,038,537.0  21,038,537.0  21,038,537  21,038,537          0.0  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Param…
      1.8       14,287,462      6,076       2,351.5       2,016.0       1,856       3,520        489.5  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::Half, at::native::func_w…
