target	run_id	static_index	occurrence	execution_status	warp_records	active_lane_address_events	access_kind	width_classification	start_unique_exact_va	start_unique_4k_pages	start_unique_128b_lines	width_exact_event_count	width_unknown_event_count	exact_width_subset_touched_4k_pages	exact_width_subset_touched_128b_lines	object_attribution	footprint_semantics
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	8	0	ZERO_EXECUTION_PROVEN	0	0	READ	WIDTH_UNKNOWN	0	0	0	0	0	0	0	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4110	0	EXECUTED_SHARD	896	7168	WRITE	WIDTH_UNKNOWN	7168	28	448	0	7168	0	0	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4112	0	EXECUTED_SHARD	896	7168	WRITE	WIDTH_UNKNOWN	7168	28	448	0	7168	0	0	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4113	0	EXECUTED_SHARD	896	7168	WRITE	WIDTH_UNKNOWN	7168	28	448	0	7168	0	0	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4114	0	EXECUTED_SHARD	896	7168	WRITE	WIDTH_UNKNOWN	7168	28	448	0	7168	0	0	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4125	0	EXECUTED_SHARD	896	28672	WRITE	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	28672	112	3584	28672	0	112	3584	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4128	0	EXECUTED_SHARD	896	28672	WRITE	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	28672	112	3584	28672	0	112	3584	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4131	0	EXECUTED_SHARD	896	28672	WRITE	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	28672	112	3584	28672	0	112	3584	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4134	0	EXECUTED_SHARD	896	28672	WRITE	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	28672	112	3584	28672	0	112	3584	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4137	0	EXECUTED_SHARD	896	28672	WRITE	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	28672	112	3584	28672	0	112	3584	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4140	0	EXECUTED_SHARD	896	28672	WRITE	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	28672	112	3584	28672	0	112	3584	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4143	0	EXECUTED_SHARD	896	28672	WRITE	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	28672	112	3584	28672	0	112	3584	UNKNOWN_RUNTIME	FORMAL_PER_SHARD_START_ADDRESS_BUCKETS;EXACT_WIDTH_SUBSET_TOUCHED_BUCKETS_ONLY
