test_id	coverage	expected	observed	result	source_sha256
RTX3090_Q2_PREFILL	lane_events	786432	786432	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	READ	524288	524288	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	WRITE	262144	262144	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	width_2B	524288	524288	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	width_4B	262144	262144	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_exact_va	333952	333952	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_128b_lines	5224	5224	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_4k_pages	164	164	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_PREFILL	unique_2m_pages	20	20	PASS	cf60a7e063524c080593cef9aea409da0af3e8cad9020a28ed3e416f88725667
RTX3090_Q2_DECODE	lane_events	18432	18432	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	READ	12288	12288	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	WRITE	6144	6144	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	width_2B	12288	12288	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	width_4B	6144	6144	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_exact_va	12291	12291	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_128b_lines	195	195	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_4k_pages	9	9	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
RTX3090_Q2_DECODE	unique_2m_pages	7	7	PASS	9ff9ad5481d08d1d88653697fa6086b94965344ffd38feb7169e6c6801d20b8c
Q05_ATTN	C16WARP1_DECODER_AND_TERMINAL_CLOSURE	29	29	PASS	40d80a3b7fb46d398e4b3ff34878d813ea66a1830ffa9e1c95b5c805b516cbf3
Q05_ATTN	EXACT_EXECUTED_ZERO_STATIC_MREF_CLOSURE	29	29	PASS	9f82df6f77893a4f9c5e3c8d1d1ee44a63c1421d5676cef7dab21f562eff7857
Q05_GEMM	C16WARP1_DECODER_AND_TERMINAL_CLOSURE	141	141	PASS	8b853b8633d0bfcd086c490572386bca6af5e6b3a7c7466050fbeed44f5889ba
Q05_GEMM	EXACT_EXECUTED_ZERO_STATIC_MREF_CLOSURE	141	141	PASS	5a3958e94b8161b4ec67a406baf60641e8284664cdb9a6cb930ed4ed4fe93264
