target	run_id	static_index	execution_status	active_lane_address_events	static_map_sha256	static_row_sha256	opcode	sass	width_classification	width_bytes	evidence
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	8	ZERO_EXECUTION_PROVEN	0	3e8ed36aa257ceb0c0eafe6e78ca6877ab1e4ba08e359269e1e03e3f30a1d47b	86b9fbcb812106be11402548567b0f8d729856af8978afcc54f61b3c66a20943	LDG.E	@P2 LDG.E R209, [R4.64] ;	WIDTH_UNKNOWN		C16WARP1_HAS_NO_WIDTH_AND_STATIC_SASS_HAS_NO_VALIDATED_EXPLICIT_WIDTH
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4110	EXECUTED_SHARD	7168	3e8ed36aa257ceb0c0eafe6e78ca6877ab1e4ba08e359269e1e03e3f30a1d47b	1b8e9fae1536473bc4ee8bb420537ee78e6dc32bf0c626789a81108c4afe9f48	STG.E	@!P5 STG.E [R42.64], R36 ;	WIDTH_UNKNOWN		C16WARP1_HAS_NO_WIDTH_AND_STATIC_SASS_HAS_NO_VALIDATED_EXPLICIT_WIDTH
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4112	EXECUTED_SHARD	7168	3e8ed36aa257ceb0c0eafe6e78ca6877ab1e4ba08e359269e1e03e3f30a1d47b	451fdf50451086b3bf7df8e3d07e2d0e79dd0c0f81bffec3654c686d9e5ac8ba	STG.E	@!P4 STG.E [R42.64+0x20], R37 ;	WIDTH_UNKNOWN		C16WARP1_HAS_NO_WIDTH_AND_STATIC_SASS_HAS_NO_VALIDATED_EXPLICIT_WIDTH
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4113	EXECUTED_SHARD	7168	3e8ed36aa257ceb0c0eafe6e78ca6877ab1e4ba08e359269e1e03e3f30a1d47b	24aedeaf91fb04a61a9c2d327f087e0c4fc382ed71065ed059cc3e61b9fb1b36	STG.E	@!P3 STG.E [R42.64+0x100], R38 ;	WIDTH_UNKNOWN		C16WARP1_HAS_NO_WIDTH_AND_STATIC_SASS_HAS_NO_VALIDATED_EXPLICIT_WIDTH
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4114	EXECUTED_SHARD	7168	3e8ed36aa257ceb0c0eafe6e78ca6877ab1e4ba08e359269e1e03e3f30a1d47b	41bee966e9f36914e77f0757acd3b7e947760acc5f6196c992a52dbc6a5c2a81	STG.E	@!P2 STG.E [R2.64], R39 ;	WIDTH_UNKNOWN		C16WARP1_HAS_NO_WIDTH_AND_STATIC_SASS_HAS_NO_VALIDATED_EXPLICIT_WIDTH
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4125	EXECUTED_SHARD	28672	3e8ed36aa257ceb0c0eafe6e78ca6877ab1e4ba08e359269e1e03e3f30a1d47b	1c60bf359392f56db319f6b93bf4047049f6f6002bc6a3f48572f4e9b66e51ad	STG.E.128	STG.E.128 [R36.64], R32 ;	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	16	EXACT_SASS_MNEMONIC_EQUALS_STATIC_OPCODE
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4128	EXECUTED_SHARD	28672	3e8ed36aa257ceb0c0eafe6e78ca6877ab1e4ba08e359269e1e03e3f30a1d47b	dec7c652d675abe50dc09a012aae5e6e76d2000148f23c5e42f7a6d32912fd0f	STG.E.128	STG.E.128 [R44.64], R28 ;	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	16	EXACT_SASS_MNEMONIC_EQUALS_STATIC_OPCODE
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4131	EXECUTED_SHARD	28672	3e8ed36aa257ceb0c0eafe6e78ca6877ab1e4ba08e359269e1e03e3f30a1d47b	d682748d6452be3f104145b34c0135a8a0dc7734ee6f36365e4ba3aa8d045177	STG.E.128	STG.E.128 [R42.64], R24 ;	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	16	EXACT_SASS_MNEMONIC_EQUALS_STATIC_OPCODE
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4134	EXECUTED_SHARD	28672	3e8ed36aa257ceb0c0eafe6e78ca6877ab1e4ba08e359269e1e03e3f30a1d47b	653166fd9d34ec40d2def59aaf4f2efa60b2e834709bb6d11445a59219fa02a1	STG.E.128	STG.E.128 [R40.64], R20 ;	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	16	EXACT_SASS_MNEMONIC_EQUALS_STATIC_OPCODE
Q05_ATTN	C16R_qwen25-05b_s2-text_prefill_nvbit-warp-mref-shard_attention-core-v2_20260915T013537Z_820eda91c057	4137	EXECUTED_SHARD	28672	3e8ed36aa257ceb0c0eafe6e78ca6877ab1e4ba08e359269e1e03e3f30a1d47b	93ce39057901e41970c41aeec18c312ecd58f000bff7cabd5fe93955fe2259d5	STG.E.128	STG.E.128 [R38.64], R16 ;	WIDTH_EXACT_FROM_VALIDATED_STATIC_DECODER	16	EXACT_SASS_MNEMONIC_EQUALS_STATIC_OPCODE
