run	artifact	path	sha256
FORMAL_ISOLATED_REPAIRED_R0	run.log	/root/share/mnt164/huangrulin/awma_repaired_vm_requalification_20h_v1/runs/FORMAL_ISOLATED_REPAIRED_R0/run.log	f61e0539b9c7593c05b9f3d7b2e0c58d9ac6bd470eb27044c8c25f4b81fb0700
FORMAL_ISOLATED_REPAIRED_R0	RUN_RECEIPT.tsv	/root/share/mnt164/huangrulin/awma_repaired_vm_requalification_20h_v1/runs/FORMAL_ISOLATED_REPAIRED_R0/RUN_RECEIPT.tsv	8e95db2d7770576d63fb44263ff065449dd1249aa29916883c5ccc2e737d4325
FORMAL_ISOLATED_REPAIRED_I0	run.log	/root/share/mnt164/huangrulin/awma_repaired_vm_requalification_20h_v1/runs/FORMAL_ISOLATED_REPAIRED_I0/run.log	e1ccdf5f17a121533e98c91b99ab106d82b2fdc5b3adc34d2f149e83de10caad
FORMAL_ISOLATED_REPAIRED_I0	RUN_RECEIPT.tsv	/root/share/mnt164/huangrulin/awma_repaired_vm_requalification_20h_v1/runs/FORMAL_ISOLATED_REPAIRED_I0/RUN_RECEIPT.tsv	65da71aaa5d2f7226c4dcb437c79ad777be23a76cc311511d3aa6cfcb7a66b00
M0_P34_REPAIRED_SANITY_R1	run.log	/root/share/mnt164/huangrulin/awma_repaired_vm_requalification_20h_v1/runs/M0_P34_REPAIRED_SANITY_R1/run.log	264b30e99b49b45d0a2af00c6ae6e2fbabbdb7db558efba51e52f56b386aff2b
M0_P34_REPAIRED_SANITY_R1	RUN_RECEIPT.tsv	/root/share/mnt164/huangrulin/awma_repaired_vm_requalification_20h_v1/runs/M0_P34_REPAIRED_SANITY_R1/RUN_RECEIPT.tsv	bfa5ffce78a104b68d4796bdfa6250320d9402dee46929a5c74f2582a391b340
P34_REPAIRED_Q05_ONLY_I0	run.log	/root/share/mnt164/huangrulin/awma_repaired_vm_requalification_20h_v1/runs/P34_REPAIRED_Q05_ONLY_I0/run.log	952d1902283bc467b23ef7efb592c22ff021b029fd66114c554083cef8f420a7
P34_REPAIRED_Q05_ONLY_I0	RUN_RECEIPT.tsv	/root/share/mnt164/huangrulin/awma_repaired_vm_requalification_20h_v1/runs/P34_REPAIRED_Q05_ONLY_I0/RUN_RECEIPT.tsv	ff673dd05c4f44dd73cc3d8651e85fe3c694e0a8702f4397d0767b274b6fb0a0
P8_REPAIRED_R0	run.log	/root/share/mnt164/huangrulin/awma_repaired_vm_requalification_20h_v1/runs/P8_REPAIRED_R0/run.log	e3dbfd4b9b6f601619c46e9a157ade312180c19b81368c0666ab9b3cb9c7e3f5
P8_REPAIRED_R0	RUN_RECEIPT.tsv	/root/share/mnt164/huangrulin/awma_repaired_vm_requalification_20h_v1/runs/P8_REPAIRED_R0/RUN_RECEIPT.tsv	1f36c05a6534ba53ba93d8b483030e89397e2f1502e29a0e9f0f12fcd62c5195
