role	M	implementation	module_class	path	input_sha	output_sha
q_proj	1	RAW_BF16	Linear	TORCH_DENSE_LINEAR	7a4f42d0847e02a5536ce58f658c65f1c7ec80e167019d81731b22083c51c7ce	b573d074433dd5fb43314fc82a43697ea93c6c7f0016df7faaa32522bf11ddb4
q_proj	1	RAW_FP16	Linear	TORCH_DENSE_LINEAR	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	44b6639ba96f86fc125bdef574cd4d734b854dc0268bfa11ba9d89aaa4c1857a
q_proj	1	AWQ_FP16_INPUT	WQLinear_GEMM	GEMM_QUANTIZED	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	c28496ca7553e9708f87f196539b0d45f8f0a1ae532deddb97458d439403990c
q_proj	256	RAW_BF16	Linear	TORCH_DENSE_LINEAR	69acdf751ef18d7b350c93f6b5e29b0b79eb4af6961ee57aad64572d0f466482	6c662b748af24fd67f1871b1a71c7ef134e5b7dd3e7b6d043b0ee32780873c21
q_proj	256	RAW_FP16	Linear	TORCH_DENSE_LINEAR	7a83574f8c638dd21b9aafd27556885f0e0d5cd8e034c545b9a566174a148c28	9e58e0b424efd113245f87204485cf498d3fc3d62e1f47f4870bb3910a76a6cb
q_proj	256	AWQ_FP16_INPUT	WQLinear_GEMM	GEMM_QUANTIZED	7a83574f8c638dd21b9aafd27556885f0e0d5cd8e034c545b9a566174a148c28	06cc8ccfb6e46798132dc1f9aa1294d55bd98650a24a7b5d3db56bf29ca5a264
down_proj	1	RAW_BF16	Linear	TORCH_DENSE_LINEAR	b83d71ff8a85ed7cd228842798804f0a13f72fd654f9686942007367588b0b4f	37bdf14ba62405a9902d53eef0c6b4dc33607fac7c2ec4cb2c17f95a25545ee1
down_proj	1	RAW_FP16	Linear	TORCH_DENSE_LINEAR	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	d99ca2792b2e83587c6f2331e0754c6cba27c6998e0026308bafb546a10d942b
down_proj	1	AWQ_FP16_INPUT	WQLinear_GEMM	GEMM_QUANTIZED	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	256	RAW_BF16	Linear	TORCH_DENSE_LINEAR	aefb46300345a1624cac5e9adab8ba38cb3fb72fb87ba47dd4dfdf1f3ccbfa76	ad90099858ad86e8b81d52835d5548e0f41c244feda30371a8e107814a371fa8
down_proj	256	RAW_FP16	Linear	TORCH_DENSE_LINEAR	a1f158a113f56314f4ee5f4a5f10ee41ac9afe732a4f1735b88a1c01b25b9aff	f570caf15a4e9974eb58dffd56b222f093214c78f1b027e9c17ebde688b6eea9
down_proj	256	AWQ_FP16_INPUT	WQLinear_GEMM	GEMM_QUANTIZED	a1f158a113f56314f4ee5f4a5f10ee41ac9afe732a4f1735b88a1c01b25b9aff	34dfa2432bd3598dcbd694b576d52b74f08b43e38f231d44f6a10a949f0de477
up_proj	1	RAW_BF16	Linear	TORCH_DENSE_LINEAR	94c211e463713888919902d1259c8db6aa67bb59f17296c3603c2e3f746e1926	9eb7f6601c8aa580a6f6f64b21ad3ae290208377f667dfb6c952072d3fd8b520
up_proj	1	RAW_FP16	Linear	TORCH_DENSE_LINEAR	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	50d389317ff126f2aa1e18dbf36bbf17bd66ddac2753552fc73517c1b7c3d394
up_proj	1	AWQ_FP16_INPUT	WQLinear_GEMM	GEMM_QUANTIZED	b3999f6fe161d47efdff4c7d88aa044e2cec3396f9c69fde63c53f2ba208f82e	5618125fc9563f42860d5df37ae9b4b6569dfc4af1d995eeb7922d9f60b31d99
up_proj	256	RAW_BF16	Linear	TORCH_DENSE_LINEAR	be4dd8888c94b8a1fa05ff47933303b57c07ab326a83536cfc5da77e346f6086	d0f362c1ab6961dad3e26b9a4cbe9339afe4dfbcb5ab71e0e81ede85f6326528
up_proj	256	RAW_FP16	Linear	TORCH_DENSE_LINEAR	eeae491edfdbee761de47aa6c4ea35b293bb2796227927778fa51c9e58ef1b41	01dbbf90e7d43b86ba49ce61805f11717b7ec9f28e67d7da0ff5f73065757413
up_proj	256	AWQ_FP16_INPUT	WQLinear_GEMM	GEMM_QUANTIZED	eeae491edfdbee761de47aa6c4ea35b293bb2796227927778fa51c9e58ef1b41	59b56af85d0480542fa396a655f23179f879eccaa9ab32a7b98ba88e8cb33d50
