profile_id	condition	role	kernel_index	kernel_role	kernel_name	metric_name	unit	value	replay_pass_count
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	l1tex__t_bytes.sum	byte	45846528.0	3
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	l1tex__t_bytes.sum	byte	86016.0	3
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	lts__t_bytes.sum	byte	40584896.0	3
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	lts__t_bytes.sum	byte	601344.0	3
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	dram__bytes.sum	byte	35422976.0	3
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	dram__bytes.sum	byte	70272.0	3
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	gpu__time_duration.sum	ns	82304.0	3
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	gpu__time_duration.sum	ns	4992.0	3
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	0	GEMM	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	sector	155750.0	3
L0_DOWN_PROJ_D3_CONTROL_DOWN28	CONTROL_DOWN28	down_proj	1	REDUCTION	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	sector	1792.0	3
