condition	set_name	decode_index	median_ms	min_ms	max_ms	cv	samples_ms
CONTROL_GATE28	GATE28	0	29.243392944335938	29.110271453857422	29.5184326171875	0.004655071052296264	[29.5184326171875, 29.334495544433594, 29.313472747802734, 29.110271453857422, 29.15635108947754, 29.113983154296875, 29.243392944335938]
CONTROL_GATE28	GATE28	1	14.442496299743652	14.338047981262207	14.684160232543945	0.0075539228130653314	[14.684160232543945, 14.338047981262207, 14.503935813903809, 14.358528137207031, 14.491647720336914, 14.39027214050293, 14.442496299743652]
CONTROL_GATE28	GATE28	2	13.983743667602539	13.85097599029541	14.127103805541992	0.006664949971728654	[14.100480079650879, 13.85097599029541, 14.01756763458252, 13.919232368469238, 13.983743667602539, 13.921279907226562, 14.127103805541992]
CONTROL_GATE28	GATE28	3	13.9683837890625	13.850624084472656	14.19001579284668	0.007967548899743661	[14.19001579284668, 13.850624084472656, 14.006272315979004, 13.865983963012695, 13.989888191223145, 13.86086368560791, 13.9683837890625]
FAIR_GATE28	GATE28	0	29.330432891845703	29.155263900756836	29.37548828125	0.0028206926992156833	[29.337600708007812, 29.16307258605957, 29.37548828125, 29.155263900756836, 29.330432891845703, 29.258752822875977, 29.335552215576172]
FAIR_GATE28	GATE28	1	14.476287841796875	14.396415710449219	14.568448066711426	0.003576364078698464	[14.450688362121582, 14.47321605682373, 14.396415710449219, 14.476287841796875, 14.535679817199707, 14.568448066711426, 14.478336334228516]
FAIR_GATE28	GATE28	2	14.023807525634766	13.911040306091309	14.097536087036133	0.004069472963626679	[13.974528312683105, 13.97657585144043, 14.023807525634766, 13.911040306091309, 14.035967826843262, 14.097536087036133, 14.055423736572266]
FAIR_GATE28	GATE28	3	14.018976211547852	13.858816146850586	14.117088317871094	0.006323068885427053	[13.858816146850586, 13.996031761169434, 13.865376472473145, 14.018976211547852, 14.042112350463867, 14.038016319274902, 14.117088317871094]
CONTROL_UP28	UP28	0	29.280256271362305	29.11846351623535	29.458431243896484	0.004024019712871167	[29.361600875854492, 29.280256271362305, 29.11846351623535, 29.147136688232422, 29.15225601196289, 29.310752868652344, 29.458431243896484]
CONTROL_UP28	UP28	1	14.47116756439209	14.37286376953125	14.582783699035645	0.004780551023753982	[14.498815536499023, 14.37286376953125, 14.469120025634766, 14.47116756439209, 14.445568084716797, 14.58176040649414, 14.582783699035645]
CONTROL_UP28	UP28	2	14.042112350463867	13.87110424041748	14.226880073547363	0.008228787899570425	[14.042112350463867, 14.024703979492188, 13.987839698791504, 13.87110424041748, 14.226880073547363, 14.140416145324707, 14.192959785461426]
CONTROL_UP28	UP28	3	13.97657585144043	13.85267162322998	14.117888450622559	0.006375208611511756	[13.97657585144043, 13.940735816955566, 13.949151992797852, 13.85267162322998, 14.014464378356934, 14.117888450622559, 14.115839958190918]
FAIR_UP28	UP28	0	29.289472579956055	29.105152130126953	29.418495178222656	0.0032349005464365516	[29.288063049316406, 29.418495178222656, 29.3621768951416, 29.105152130126953, 29.289472579956055, 29.222272872924805, 29.338623046875]
FAIR_UP28	UP28	1	14.551039695739746	14.2489595413208	14.660608291625977	0.0094503803582885	[14.551039695739746, 14.660608291625977, 14.38310432434082, 14.461952209472656, 14.600192070007324, 14.2489595413208, 14.622719764709473]
FAIR_UP28	UP28	2	14.06771183013916	13.888863563537598	14.120960235595703	0.006013619679797951	[14.06771183013916, 14.120960235595703, 13.888863563537598, 14.054400444030762, 14.08409595489502, 13.91312026977539, 14.08512020111084]
FAIR_UP28	UP28	3	14.054400444030762	13.868032455444336	14.099455833435059	0.005331061587771081	[14.054400444030762, 14.059647560119629, 13.97043228149414, 13.981696128845215, 14.099455833435059, 13.868032455444336, 14.07590389251709]
CONTROL_DOWN28	DOWN28	0	29.247488021850586	29.17580795288086	29.361759185791016	0.002035729064285285	[29.17580795288086, 29.361759185791016, 29.297664642333984, 29.247488021850586, 29.190143585205078, 29.21881675720215, 29.249536514282227]
CONTROL_DOWN28	DOWN28	1	14.526464462280273	14.457856178283691	14.628864288330078	0.003880267350373085	[14.50598430633545, 14.57254409790039, 14.526464462280273, 14.457856178283691, 14.461952209472656, 14.628864288330078, 14.545920372009277]
CONTROL_DOWN28	DOWN28	2	14.049407958984375	13.963264465332031	14.217280387878418	0.005413368138470977	[14.049407958984375, 14.051775932312012, 14.217280387878418, 13.963264465332031, 13.979647636413574, 14.057472229003906, 14.045503616333008]
CONTROL_DOWN28	DOWN28	3	14.031871795654297	13.893631935119629	14.17523193359375	0.006735764534482431	[13.893631935119629, 14.09331226348877, 14.118144035339355, 13.965312004089355, 13.946880340576172, 14.031871795654297, 14.17523193359375]
FAIR_DOWN28	DOWN28	0	29.325279235839844	29.114015579223633	29.522560119628906	0.005229065853508357	[29.40006446838379, 29.507455825805664, 29.325279235839844, 29.258047103881836, 29.114015579223633, 29.130943298339844, 29.522560119628906]
FAIR_DOWN28	DOWN28	1	14.494720458984375	14.320639610290527	14.68006420135498	0.008511474058398633	[14.320639610290527, 14.68006420135498, 14.35647964477539, 14.566399574279785, 14.598143577575684, 14.410752296447754, 14.494720458984375]
FAIR_DOWN28	DOWN28	2	14.035967826843262	13.809663772583008	14.151679992675781	0.009301828626152277	[13.89568042755127, 14.127103805541992, 13.809663772583008, 14.151679992675781, 14.035967826843262, 13.870495796203613, 14.120063781738281]
