repository	git_path	commit_sha	role	scientific_status	classification	notes
accel-sim-framework	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_C5_FULL_ROI_FAIR_PERFORMANCE/	103641562b6474e22192c19d1bd81dd12d88ce61	C12 review pack/provenance	FORMAL baseline + per-arm labels	GIT_AUTHORITY_ONLY	raw logs external/private export
accel-sim-framework	util/vm_tlb/c12_c5_replay.py	a268aba0d01310294074ded5bb8017e2092394c0	C12 replay validator	UNKNOWN/REVALIDATE	GIT_AUTHORITY_ONLY	old SHA/path constants
accel-sim-framework	util/vm_tlb/run_m4c_replay.sh	5dd4501a51720a959129860b72988a6961b07477	modern replay wrapper	UNKNOWN/REUSE	GIT_AUTHORITY_ONLY	requires traceg + binary
accel-sim-framework	util/vm_tlb/export_m4c_telemetry.py	a7c0759be7f293ed0d5e2179c62094b6de49c1e8	telemetry extraction	UNKNOWN/REUSE	GIT_AUTHORITY_ONLY	post-processing
accel-sim-framework	configs/vm_tlb/M4C_CONFIG_LEDGER.tsv	103641562b6474e22192c19d1bd81dd12d88ce61	M4C config authority	MODELING_DECISION/PAPER_SPEC	GIT_AUTHORITY_ONLY	49-bit VM baseline
accel-sim-framework	configs/vm_tlb/c5_configs/C11_C5_*	103641562b6474e22192c19d1bd81dd12d88ce61	C11/C12 configs	UNKNOWN/REFERENCE_ONLY	GIT_AUTHORITY_ONLY	old workspace roots
accel-sim-framework	configs/vm_tlb/c5_trace_manifests/*	103641562b6474e22192c19d1bd81dd12d88ce61	trace identities	FORMAL provenance	GIT_AUTHORITY_ONLY	SHA-bound lists
accel-sim-framework	configs/vm_tlb/c5_registrations/*	103641562b6474e22192c19d1bd81dd12d88ce61	Segment registration	UNKNOWN/REVALIDATE	GIT_AUTHORITY_ONLY	modeled PA
accel-sim-framework	docs/vm_tlb/review_packs/C15_LOWCOST_MULTIMODEL/	103641562b6474e22192c19d1bd81dd12d88ce61	C15 static authority	DIAGNOSTIC	GIT_AUTHORITY_ONLY	no dynamic simulator claim
accel-sim-framework	docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C11_C5_PREFILL_PROVENANCE_CLOSURE/	103641562b6474e22192c19d1bd81dd12d88ce61	C11 provenance	UNKNOWN	GIT_AUTHORITY_ONLY	legacy source paths
gpgpu-sim	branch hrl/vm-core-v0	7be87f53bf9942a8f404780d15e825f83fd2ba09	available compatibility core	UNKNOWN	GIT_AUTHORITY_ONLY	exact historical 57bb71 unavailable
