roi	family	lseg	operator_class	metric	metric_scope	baseline_f0_value	candidate_value	delta_vs_f0	segment_hits	segment_l2_suppressed	finite_difference_from_prior	note
prefill	F7	5	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	62490238	59834219	-2656019	49633881	49633881	NA_AT_L5	measured point only; no extrapolation
prefill	F7	5	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	20573515	17845382	-2728133	49633881	49633881	NA_AT_L5	measured point only; no extrapolation
prefill	F7	5	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	6676148	6092758	-583390	49633881	49633881	NA_AT_L5	measured point only; no extrapolation
prefill	F7	5	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	17652323	18473554	821231	49633881	49633881	NA_AT_L5	measured point only; no extrapolation
prefill	F7	5	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	1458060	1306950	-151110	49633881	49633881	NA_AT_L5	measured point only; no extrapolation
prefill	F7	10	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	62490238	63370888	880650	48092734	48092734	707333.8	measured point only; no extrapolation
prefill	F7	10	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	20573515	20478345	-95170	48092734	48092734	526592.6	measured point only; no extrapolation
prefill	F7	10	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	6676148	6601177	-74971	48092734	48092734	101683.8	measured point only; no extrapolation
prefill	F7	10	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	17652323	18754068	1101745	48092734	48092734	56102.8	measured point only; no extrapolation
prefill	F7	10	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	1458060	1441714	-16346	48092734	48092734	26952.8	measured point only; no extrapolation
prefill	F7	20	FULL_ROI	gpu_sim_cycle	FULL_ROI_ONLY	62490238	76131192	13640954	47926636	47926636	1276030.4	measured point only; no extrapolation
prefill	F7	20	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	20573515	28017863	7444348	47926636	47926636	753951.8	measured point only; no extrapolation
prefill	F7	20	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	6676148	8392922	1716774	47926636	47926636	179174.5	measured point only; no extrapolation
prefill	F7	20	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	17652323	21810020	4157697	47926636	47926636	305595.2	measured point only; no extrapolation
prefill	F7	20	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	1458060	1756333	298273	47926636	47926636	31461.9	measured point only; no extrapolation
