row_kind	roi	comparison	rank	compute_index	operator_class	layer_id	metric	baseline_value	candidate_value	delta	note
OPERATOR	prefill	F1_vs_F2			ATTENTION_CORE		gpu_sim_cycle	629886	620785	-9101	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_CORE		subentry_hits	UNATTRIBUTED	8081	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_CORE		subentry_misses	UNATTRIBUTED	47	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_CORE		l2_tlb_misses	1609	120	-1489	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_CORE		translation_walk_starts	240	18	-222	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_CORE		pte_dram_responses	78	8	-70	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_CORE		requester_translation_latency_cycles	4785556	4279276	-506280	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_PROJECTION		gpu_sim_cycle	6688998	6680062	-8936	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_PROJECTION		subentry_hits	UNATTRIBUTED	22208	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_PROJECTION		subentry_misses	UNATTRIBUTED	3136	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_PROJECTION		l2_tlb_misses	4283	3896	-387	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_PROJECTION		translation_walk_starts	1462	1293	-169	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_PROJECTION		pte_dram_responses	458	376	-82	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			ATTENTION_PROJECTION		requester_translation_latency_cycles	102678214	102526850	-151364	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			EMBEDDING_OUTPUT		gpu_sim_cycle	18441999	18925962	483963	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			EMBEDDING_OUTPUT		subentry_hits	UNATTRIBUTED	177177	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			EMBEDDING_OUTPUT		subentry_misses	UNATTRIBUTED	100327	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			EMBEDDING_OUTPUT		l2_tlb_misses	87884	128973	41089	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			EMBEDDING_OUTPUT		translation_walk_starts	32711	41995	9284	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			EMBEDDING_OUTPUT		pte_dram_responses	24769	31750	6981	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			EMBEDDING_OUTPUT		requester_translation_latency_cycles	316194806	332794535	16599729	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			FFN_MLP		gpu_sim_cycle	20573136	20582508	9372	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			FFN_MLP		subentry_hits	UNATTRIBUTED	87893	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			FFN_MLP		subentry_misses	UNATTRIBUTED	10115	UNATTRIBUTED	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			FFN_MLP		l2_tlb_misses	11708	11585	-123	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			FFN_MLP		translation_walk_starts	6130	6130	0	exact marker checkpoints; activity is not critical-path proof
OPERATOR	prefill	F1_vs_F2			FFN_MLP		pte_dram_responses	1574	1574	0	exact marker checkpoints; activity is not critical-path proof
