roi	comparison	row_kind	operator_class	metric	metric_scope	baseline_value	candidate_value	delta	note
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	gpu_sim_cycle	EXACT_PER_KERNEL	629886	620785	-9101	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	gpu_sim_cycle	EXACT_PER_KERNEL	6688998	6680062	-8936	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	gpu_sim_cycle	EXACT_PER_KERNEL	18441999	18925962	483963	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	gpu_sim_cycle	EXACT_PER_KERNEL	20573136	20582508	9372	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	gpu_sim_cycle	EXACT_PER_KERNEL	1457652	1457544	-108	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	OTHER_COMPUTE	gpu_sim_cycle	EXACT_PER_KERNEL	15504765	15485190	-19575	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	UNRESOLVED	gpu_sim_cycle	EXACT_PER_KERNEL	6450	6450	0	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_CORE	l1_tlb_accesses	EXACT_PER_KERNEL	353704	352215	-1489	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	ATTENTION_PROJECTION	l1_tlb_accesses	EXACT_PER_KERNEL	9910188	9905904	-4284	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	EMBEDDING_OUTPUT	l1_tlb_accesses	EXACT_PER_KERNEL	25837388	25878477	41089	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	FFN_MLP	l1_tlb_accesses	EXACT_PER_KERNEL	38691575	38694018	2443	exact marker checkpoint delta; association only
prefill	F1_vs_F2	OPERATOR	NORM	l1_tlb_accesses	EXACT_PER_KERNEL	3244627	3244627	0	exact marker checkpoint delta; association only
