roi	comparison	ranking_mode	rank	compute_index	trace_filename	semantic_kernel_name	operator_class	layer_id	evidence_kind	baseline_cycle	candidate_cycle	cycle_delta	baseline_cycle_share	l1_tlb_miss_delta	l2_tlb_miss_delta	translation_walk_delta	pte_request_delta	pte_dram_response_delta	requester_translation_latency_delta	segment_hit_delta	segment_l2_suppressed_delta	subentry_hit_delta	subentry_miss_delta	l1d_cache_tx_delta	l2_cache_tx_delta	l1d_reservation_fail_delta	l2_reservation_fail_delta	kernel_cache_outcome_delta
prefill	F1_vs_F2	IMPROVEMENT	1	330	kernel-1079-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22gpu_kernel_impl_nocastIZZZNS0_23direct_copy_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE1_clEvENKUlvE10_clEvEUlN3c108BFloat16EE_EEvS4_RKT_EUliE_EEviT1_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	18069	15080	-2989	0.00028543722319389987	-2	-131	-8	-8	-2	-24065	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-8	0	0	m4c_telemetry_l2:PTE_L3:HIT=-4;m4c_telemetry_l2:PTE_L3:MISS=-4
prefill	F1_vs_F2	IMPROVEMENT	2	494	kernel-1251-ctx_0x55f2413c4de0.traceg.xz	_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22gpu_kernel_impl_nocastIZZZNS0_23direct_copy_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE1_clEvENKUlvE10_clEvEUlN3c108BFloat16EE_EEvS4_RKT_EUliE_EEviT1_	OTHER_COMPUTE	NA	DIRECT_SEMANTIC_NAME	18053	15185	-2868	0.00028518447010457	-3	0	0	0	0	-241	0	0	UNATTRIBUTED	UNATTRIBUTED	0	96	0	0	m4c_telemetry:DATA_KV_CACHE:HIT=-29;m4c_telemetry:DATA_KV_CACHE:MISS=29;m4c_telemetry:DATA_UNKNOWN:HIT=-29;m4c_telemetry:DATA_UNKNOWN:MISS=29;m4c_telemetry_l2:DATA_KV_CACHE:HIT=70;m4c_telemetry_l2:DATA_KV_CACHE:MISS=-22;m4c_telemetry_l2:DATA_UNKNOWN:HIT=70;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-22
prefill	F1_vs_F2	IMPROVEMENT	3	385	kernel-1137-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	FFN_MLP	8	DIRECT_PARAMETER_RANGE	430558	428190	-2368	0.0068015540397320905	24	-4	0	0	0	-1303	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-71731	0	-71731	m4c_telemetry_l2:DATA_UNKNOWN:HIT=-334;m4c_telemetry_l2:DATA_UNKNOWN:MISS=601;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=-70435;m4c_telemetry_l2:DATA_WEIGHT:HIT=-4739;m4c_telemetry_l2:DATA_WEIGHT:MISS=4472;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=-1296;m4c_telemetry_l2:PTE_L3:HIT=2;m4c_telemetry_l2:PTE_L3:MISS=-2
prefill	F1_vs_F2	IMPROVEMENT	4	499	kernel-1256-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	ATTENTION_PROJECTION	11	DIRECT_PARAMETER_RANGE	153553	151395	-2158	0.0024256871953673644	2	3	0	0	0	-5179	0	0	UNATTRIBUTED	UNATTRIBUTED	0	24412	0	24412	m4c_telemetry_l2:DATA_UNKNOWN:HIT=6498;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-6245;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=20770;m4c_telemetry_l2:DATA_WEIGHT:HIT=1659;m4c_telemetry_l2:DATA_WEIGHT:MISS=-1912;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=3642
prefill	F1_vs_F2	IMPROVEMENT	5	595	kernel-1357-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	FFN_MLP	13	DIRECT_PARAMETER_RANGE	431068	428923	-2145	0.006809610544454482	-5	-6	0	0	0	-8670	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-87606	0	-87606	m4c_telemetry_l2:DATA_UNKNOWN:HIT=9728;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-9857;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=-87021;m4c_telemetry_l2:DATA_WEIGHT:HIT=3547;m4c_telemetry_l2:DATA_WEIGHT:MISS=-3418;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=-585;m4c_telemetry_l2:PTE_L3:HIT=2;m4c_telemetry_l2:PTE_L3:MISS=-2
prefill	F1_vs_F2	IMPROVEMENT	6	677	kernel-1443-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	FFN_MLP	15	DIRECT_PARAMETER_RANGE	429960	427859	-2101	0.006792107393018385	8	-15	0	0	0	294	0	0	UNATTRIBUTED	UNATTRIBUTED	0	7538	0	7538	m4c_telemetry_l2:DATA_UNKNOWN:HIT=-37591;m4c_telemetry_l2:DATA_UNKNOWN:MISS=37590;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=8772;m4c_telemetry_l2:DATA_WEIGHT:HIT=-12568;m4c_telemetry_l2:DATA_WEIGHT:MISS=12569;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=-1234
prefill	F1_vs_F2	IMPROVEMENT	7	135	kernel-875-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	FFN_MLP	2	DIRECT_PARAMETER_RANGE	428463	426394	-2069	0.006768459182097954	-29	-2	0	0	0	-4961	0	0	UNATTRIBUTED	UNATTRIBUTED	0	10646	0	10646	m4c_telemetry_l2:DATA_UNKNOWN:HIT=-36764;m4c_telemetry_l2:DATA_UNKNOWN:MISS=36865;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=10340;m4c_telemetry_l2:DATA_WEIGHT:HIT=-11467;m4c_telemetry_l2:DATA_WEIGHT:MISS=11366;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=306
prefill	F1_vs_F2	IMPROVEMENT	8	187	kernel-930-ctx_0x55f2413c4de0.traceg.xz	_ZN7cutlass7Kernel2I67cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8EEvNT_6ParamsE	ATTENTION_PROJECTION	4	DIRECT_PARAMETER_RANGE	135122	133195	-1927	0.002134531433527375	0	-11	-2	-2	-2	-1090	0	0	UNATTRIBUTED	UNATTRIBUTED	0	104761	0	104763	m4c_telemetry_l2:DATA_UNKNOWN:HIT=19208;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-19211;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=97825;m4c_telemetry_l2:DATA_WEIGHT:HIT=3218;m4c_telemetry_l2:DATA_WEIGHT:MISS=-3215;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=6938;m4c_telemetry_l2:PTE_L3:HIT=-3;m4c_telemetry_l2:PTE_L3:MISS=1
prefill	F1_vs_F2	IMPROVEMENT	9	299	kernel-1047-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	FFN_MLP	6	DIRECT_PARAMETER_RANGE	430107	428218	-1889	0.0067944295620266035	28	2	0	0	0	1490	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-38525	0	-38525	m4c_telemetry_l2:DATA_UNKNOWN:HIT=13067;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-12948;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=-39007;m4c_telemetry_l2:DATA_WEIGHT:HIT=2349;m4c_telemetry_l2:DATA_WEIGHT:MISS=-2468;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=482;m4c_telemetry_l2:PTE_L3:HIT=-1;m4c_telemetry_l2:PTE_L3:MISS=1
prefill	F1_vs_F2	IMPROVEMENT	10	103	kernel-842-ctx_0x55f2413c4de0.traceg.xz	_ZN7cutlass7Kernel2I67cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8EEvNT_6ParamsE	ATTENTION_PROJECTION	2	DIRECT_PARAMETER_RANGE	135256	133379	-1877	0.002136648240650513	-17	-39	-9	-9	-4	-18919	0	0	UNATTRIBUTED	UNATTRIBUTED	0	29327	0	29336	m4c_telemetry_l2:DATA_UNKNOWN:HIT=21740;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-21702;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=52696;m4c_telemetry_l2:DATA_WEIGHT:HIT=8770;m4c_telemetry_l2:DATA_WEIGHT:MISS=-8808;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=-23360;m4c_telemetry_l2:PTE_L3:HIT=-7;m4c_telemetry_l2:PTE_L3:MISS=-2
prefill	F1_vs_F2	IMPROVEMENT	11	91	kernel-829-ctx_0x55f2413c4de0.traceg.xz	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn	FFN_MLP	1	DIRECT_PARAMETER_RANGE	429776	428061	-1715	0.006789200732491091	-16	5	0	0	0	-1518	0	0	UNATTRIBUTED	UNATTRIBUTED	0	-43592	0	-43592	m4c_telemetry_l2:DATA_UNKNOWN:HIT=52874;m4c_telemetry_l2:DATA_UNKNOWN:MISS=-52503;m4c_telemetry_l2:DATA_UNKNOWN:RESERVATION_FAIL=-44214;m4c_telemetry_l2:DATA_WEIGHT:HIT=6962;m4c_telemetry_l2:DATA_WEIGHT:MISS=-7333;m4c_telemetry_l2:DATA_WEIGHT:RESERVATION_FAIL=622
