row_kind	roi	operator_class	rank	compute_index	metric	baseline_f0	candidate_f5	delta_f5_minus_f0	note
OPERATOR	prefill	ATTENTION_CORE			gpu_sim_cycle	623662	629945	6283	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_CORE			l2_tlb_misses	738	1547	809	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_CORE			translation_walk_starts	128	275	147	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_CORE			pte_requests	131	278	147	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_CORE			pte_dram_responses	58	83	25	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_CORE			pwc_accesses	384	825	441	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_CORE			pwc_hits	381	822	441	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_CORE			pwc_misses	3	3	0	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_CORE			requester_translation_latency_cycles	4536220	4748428	212208	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_PROJECTION			gpu_sim_cycle	6676148	6674888	-1260	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_PROJECTION			l2_tlb_misses	3971	4300	329	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_PROJECTION			translation_walk_starts	1327	1459	132	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_PROJECTION			pte_requests	1338	1470	132	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_PROJECTION			pte_dram_responses	393	452	59	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_PROJECTION			pwc_accesses	3981	4377	396	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_PROJECTION			pwc_hits	3970	4366	396	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_PROJECTION			pwc_misses	11	11	0	exact per-kernel checkpoint delta
OPERATOR	prefill	ATTENTION_PROJECTION			requester_translation_latency_cycles	102539304	102616241	76937	exact per-kernel checkpoint delta
OPERATOR	prefill	EMBEDDING_OUTPUT			gpu_sim_cycle	17652323	18352576	700253	exact per-kernel checkpoint delta
OPERATOR	prefill	EMBEDDING_OUTPUT			l2_tlb_misses	20545	84325	63780	exact per-kernel checkpoint delta
OPERATOR	prefill	EMBEDDING_OUTPUT			translation_walk_starts	12526	30184	17658	exact per-kernel checkpoint delta
OPERATOR	prefill	EMBEDDING_OUTPUT			pte_requests	12574	30237	17663	exact per-kernel checkpoint delta
OPERATOR	prefill	EMBEDDING_OUTPUT			pte_dram_responses	6348	22041	15693	exact per-kernel checkpoint delta
OPERATOR	prefill	EMBEDDING_OUTPUT			pwc_accesses	37578	90552	52974	exact per-kernel checkpoint delta
OPERATOR	prefill	EMBEDDING_OUTPUT			pwc_hits	37530	90499	52969	exact per-kernel checkpoint delta
OPERATOR	prefill	EMBEDDING_OUTPUT			pwc_misses	48	53	5	exact per-kernel checkpoint delta
OPERATOR	prefill	EMBEDDING_OUTPUT			requester_translation_latency_cycles	289459078	313771912	24312834	exact per-kernel checkpoint delta
OPERATOR	prefill	FFN_MLP			gpu_sim_cycle	20573515	20574339	824	exact per-kernel checkpoint delta
OPERATOR	prefill	FFN_MLP			l2_tlb_misses	11626	11631	5	exact per-kernel checkpoint delta
OPERATOR	prefill	FFN_MLP			translation_walk_starts	6130	6130	0	exact per-kernel checkpoint delta
OPERATOR	prefill	FFN_MLP			pte_requests	6130	6130	0	exact per-kernel checkpoint delta
OPERATOR	prefill	FFN_MLP			pte_dram_responses	1574	1574	0	exact per-kernel checkpoint delta
OPERATOR	prefill	FFN_MLP			pwc_accesses	18390	18390	0	exact per-kernel checkpoint delta
OPERATOR	prefill	FFN_MLP			pwc_hits	18390	18390	0	exact per-kernel checkpoint delta
OPERATOR	prefill	FFN_MLP			pwc_misses	0	0	0	exact per-kernel checkpoint delta
OPERATOR	prefill	FFN_MLP			requester_translation_latency_cycles	398172602	398228015	55413	exact per-kernel checkpoint delta
OPERATOR	prefill	NORM			gpu_sim_cycle	1458060	1458754	694	exact per-kernel checkpoint delta
