roi	operator_class	layer_id	kernel_count	f0_cycles	weight_refs	weight_unique_64kb_pages	f0_l1_tlb_misses	f0_l2_tlb_misses	f0_translation_walk_starts	f0_pte_requests	f0_pte_dram_responses	f7_l5_cycle_delta_vs_f0	f7_l10_cycle_delta_vs_f0	f7_l20_cycle_delta_vs_f0	f8_l5_cycle_delta_vs_f0	f8_l10_cycle_delta_vs_f0	f8_l20_cycle_delta_vs_f0	f7_l5_segment_hits	f7_l10_segment_hits	f7_l20_segment_hits	f8_l5_segment_hits	f8_l10_segment_hits	f8_l20_segment_hits	f8_l5_cycle_delta_vs_f7	f8_l10_cycle_delta_vs_f7	f8_l20_cycle_delta_vs_f7
prefill	ATTENTION_PROJECTION	0	4	418519	2621440	80	1471	301	93	104	26	-34411	-7674	106393	-34411	-7674	106393	358024	331680	328035	358024	331680	328035	0	0	0
prefill	ATTENTION_PROJECTION	1	4	416605	2621440	81	1683	253	82	82	25	-33269	-7258	108188	-35539	-4522	109112	356923	331323	328209	357068	331593	328214	-2270	2736	924
prefill	ATTENTION_PROJECTION	2	4	417638	2621440	81	1674	249	84	84	25	-31714	-1262	106366	-33972	-5923	106438	356702	333285	327883	357791	332222	327859	-2258	-4661	72
prefill	ATTENTION_PROJECTION	3	4	413541	2621440	81	1619	234	83	83	25	-34394	-2052	112473	-31206	-3209	112821	352980	331185	328132	355586	331376	328269	3188	-1157	348
prefill	ATTENTION_PROJECTION	4	4	415223	2621440	81	1658	238	82	82	24	-36757	-853	109479	-39635	-3919	110224	350993	331671	328039	353978	330775	328265	-2878	-3066	745
prefill	ATTENTION_PROJECTION	5	4	420021	2621440	81	1660	249	82	82	25	-38823	-8195	105689	-43038	-6820	107051	355077	331778	328220	354195	331411	328318	-4215	1375	1362
prefill	ATTENTION_PROJECTION	6	4	417707	2621440	81	1654	243	80	80	24	-38614	-6648	108340	-35878	-8050	107169	356175	331515	328091	359002	331845	328078	2736	-1402	-1171
prefill	ATTENTION_PROJECTION	7	4	417079	2621440	81	1672	247	82	82	24	-36723	-6434	108251	-35695	-4398	108666	355784	330965	328230	355954	331447	328213	1028	2036	415
prefill	ATTENTION_PROJECTION	8	4	417442	2621440	80	1460	270	82	82	24	-39376	-5404	106814	-39839	-7369	105559	355709	332595	327743	353940	332385	327703	-463	-1965	-1255
prefill	ATTENTION_PROJECTION	9	4	416403	2621440	81	1669	247	82	82	25	-36366	-4787	108173	-41268	-4650	109561	355023	332177	328034	355957	331914	327990	-4902	137	1388
prefill	ATTENTION_PROJECTION	10	4	413866	2621440	81	1646	239	80	80	23	-38331	-2757	111031	-33931	-1958	111549	352705	330846	328067	355307	331218	328165	4400	799	518
prefill	ATTENTION_PROJECTION	11	4	423687	2621440	81	1632	238	82	82	24	-34644	687	99969	-34531	-1092	100047	360159	334719	327825	358092	334889	327943	113	-1779	78
prefill	ATTENTION_PROJECTION	12	4	416979	2621440	81	1646	226	80	80	23	-38579	-5976	106862	-34683	-6240	108256	356175	331632	327985	356804	331951	328241	3896	-264	1394
prefill	ATTENTION_PROJECTION	13	4	417569	2621440	81	1658	242	82	82	24	-38573	-5557	106262	-35850	-5010	107023	353103	331141	328063	353977	331760	328006	2723	547	761
prefill	ATTENTION_PROJECTION	14	4	418026	2621440	81	1667	237	82	82	25	-35929	-8136	104535	-32513	-6947	106111	359496	331888	327798	358301	331539	327873	3416	1189	1576
prefill	ATTENTION_PROJECTION	15	4	415843	2621440	81	1641	258	89	89	27	-36887	-2665	107949	-41449	-5919	108101	357402	332051	328046	352791	331609	328063	-4562	-3254	152
prefill	FFN_MLP	0	3	1287924	12582912	384	5848	801	384	384	96	-167651	-8358	464168	-116615	-7285	462571	1655370	1579465	1573876	1681250	1579340	1573644	51036	1073	-1597
prefill	FFN_MLP	1	3	1288331	12582912	385	6316	773	383	383	98	-146572	-7102	464167	-177835	-7979	463501	1658027	1579553	1574006	1647208	1579953	1573797	-31263	-877	-666
prefill	FFN_MLP	2	3	1285663	12582912	385	6245	754	383	383	98	-124921	-4580	465711	-126347	-5771	465653	1681101	1580021	1573794	1677708	1580022	1573749	-1426	-1191	-58
prefill	FFN_MLP	3	3	1282436	12582912	385	6248	689	383	383	98	-170204	-4776	468729	-143468	-2763	469056	1642425	1580095	1573510	1661364	1579969	1573610	26736	2013	327
prefill	FFN_MLP	4	3	1285518	12582912	385	6213	688	383	383	98	-192841	-6564	465736	-191950	-4677	467818	1639448	1579883	1573764	1636214	1579718	1574013	891	1887	2082
prefill	FFN_MLP	5	3	1285276	12582912	385	6232	708	383	383	98	-172057	-5155	466299	-175685	-4507	465225	1646420	1580075	1573810	1642327	1579885	1573865	-3628	648	-1074
prefill	FFN_MLP	6	3	1286148	12582912	385	6245	703	383	383	98	-159517	-6036	465009	-164125	-4013	465149	1662343	1580250	1573977	1654572	1580283	1573780	-4608	2023	140
prefill	FFN_MLP	7	3	1285608	12582912	385	6214	714	383	383	98	-165823	-4882	464932	-169332	-5549	464158	1648288	1579350	1573611	1653716	1580073	1573432	-3509	-667	-774
prefill	FFN_MLP	8	3	1285336	12582912	384	5936	781	384	384	99	-206229	-4843	464920	-189760	-5300	464094	1624692	1580151	1573687	1636244	1579819	1573606	16469	-457	-826
prefill	FFN_MLP	9	3	1286472	12582912	385	6324	750	383	383	99	-202734	-7549	463622	-184516	-6444	466461	1627330	1579739	1573783	1637507	1579755	1573851	18218	1105	2839
prefill	FFN_MLP	10	3	1288120	12582912	385	6261	740	383	383	99	-143521	-9198	463510	-217086	-7026	463488	1664279	1580267	1573762	1618380	1579932	1573750	-73565	2172	-22
prefill	FFN_MLP	11	3	1285925	12582912	385	6217	722	383	383	99	-146139	-4387	465157	-161903	-5551	465045	1663003	1579869	1573539	1650925	1579569	1573550	-15764	-1164	-112
