roi	family	operator_class	delta_lseg5	delta_lseg10	delta_lseg20	signs	monotonicity	break_even_lseg	determination	evidence_tier	note
prefill	F7	FULL_ROI	-2656019	880650	13640954	IMPROVE>REGRESS>REGRESS	MONOTONIC_NONDECREASING	8.7549725462	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
prefill	F7	FFN_MLP	-2728133	-95170	7444348	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	10.1262282284	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
prefill	F7	ATTENTION_PROJECTION	-583390	-74971	1716774	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	10.4184244968	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
prefill	F7	EMBEDDING_OUTPUT	821231	1101745	4157697	REGRESS>REGRESS>REGRESS	MONOTONIC_NONDECREASING	UNDETERMINED_IN_MEASURED_RANGE	NO_SIGN_CROSSING_AT_5_10_20	MEASURED_DEEP_DIVE_FACT	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
prefill	F7	NORM	-151110	-16346	298273	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	10.5195490419	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
prefill	F8	FULL_ROI	-2672883	885265	13654039	IMPROVE>REGRESS>REGRESS	MONOTONIC_NONDECREASING	8.75600312297	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
prefill	F8	FFN_MLP	-2664682	-87278	7445176	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	10.1158692771	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
prefill	F8	ATTENTION_PROJECTION	-583438	-83700	1724081	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	10.4629985601	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
prefill	F8	EMBEDDING_OUTPUT	745174	1098688	4163996	REGRESS>REGRESS>REGRESS	MONOTONIC_NONDECREASING	UNDETERMINED_IN_MEASURED_RANGE	NO_SIGN_CROSSING_AT_5_10_20	MEASURED_DEEP_DIVE_FACT	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
prefill	F8	NORM	-152103	-17727	299730	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	10.5584063353	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
decode1	F7	FULL_ROI	-605597	-132567	1471105	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	10.8266465961	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
decode1	F7	FFN_MLP	-493157	-34664	870760	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	10.3828482567	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
decode1	F7	ATTENTION_PROJECTION	-49897	-26474	28552	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	14.8111801694	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
decode1	F7	EMBEDDING_OUTPUT	-33281	-47753	594778	IMPROVE>IMPROVE>REGRESS	NON_MONOTONIC	10.7432014953	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
decode1	F7	NORM	-16143	-17216	-17128	IMPROVE>IMPROVE>IMPROVE	NON_MONOTONIC	UNDETERMINED_IN_MEASURED_RANGE	NO_SIGN_CROSSING_AT_5_10_20	MEASURED_DEEP_DIVE_FACT	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
decode1	F8	FULL_ROI	-605597	-132567	1471105	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	10.8266465961	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
decode1	F8	FFN_MLP	-493157	-34664	870760	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	10.3828482567	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
decode1	F8	ATTENTION_PROJECTION	-49897	-26474	28552	IMPROVE>IMPROVE>REGRESS	MONOTONIC_NONDECREASING	14.8111801694	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
decode1	F8	EMBEDDING_OUTPUT	-33281	-47753	594778	IMPROVE>IMPROVE>REGRESS	NON_MONOTONIC	10.7432014953	EMPIRICAL_INTERPOLATION_ONLY	EMPIRICAL_INTERPOLATION_ONLY	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
decode1	F8	NORM	-16143	-17216	-17128	IMPROVE>IMPROVE>IMPROVE	NON_MONOTONIC	UNDETERMINED_IN_MEASURED_RANGE	NO_SIGN_CROSSING_AT_5_10_20	MEASURED_DEEP_DIVE_FACT	only bracketed 5/10/20 interpolation; no out-of-range extrapolation
