status	trace	axis	value	ptw_mode	page_size	lookup_latency	cycles	ipc	l1_access_hit_miss	l2_access_hit_miss	mshr_alloc_merge_full_hwm_lifetime	pwc_access_hit_miss_evict	pte_req_resp_l2_dram	requester_total_mshr_wait	artifact
FORMAL	one-kernel-LUD	L2_TLB_entries	256	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-l2-256.log
FORMAL	one-kernel-LUD	L2_TLB_entries	768	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-l2-768.log
FORMAL	one-kernel-LUD	L2_TLB_entries	1536	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-l2-1536.log
FORMAL	one-kernel-LUD	translation_MSHRs	8	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-mshr-8.log
FORMAL	one-kernel-LUD	translation_MSHRs	32	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-l2-768.log
FORMAL	one-kernel-LUD	translation_MSHRs	64	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-mshr-64.log
FORMAL	one-kernel-LUD	walkers	1	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-walkers-1.log
FORMAL	one-kernel-LUD	walkers	4	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-walkers-4.log
FORMAL	one-kernel-LUD	walkers	16	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-l2-768.log
FORMAL	one-kernel-LUD	PWC	OFF	real	64KB	10/80	27697	0.7103	257/256/1	1/0/1	1/0/0/1/1859	0/0/0/0	4/4/0/4	4509/1859	/tmp/g3-4b-runtime/sweep-pwc-off.log
FORMAL	one-kernel-LUD	PWC	FINITE-128	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-l2-768.log
FORMAL	one-kernel-LUD	PWC	IDEAL	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-pwc-ideal.log
DIAGNOSTIC	one-kernel-LUD	PTW	fixed-latency	fixed	64KB	10/80	25843	0.7613	257/256/1	1/0/1	1/0/0/1/5	0/0/0/0	0/0/0/0	2655/5	/tmp/g3-4b-runtime/sweep-fixed.log
FORMAL	one-kernel-LUD	PTW	real-L2-DRAM	real	64KB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-l2-768.log
FORMAL	one-kernel-LUD	page_size	2MB	real	2MB	10/80	27700	0.7102	257/256/1	1/0/1	1/0/0/1/1862	3/0/3/0	4/4/0/4	4512/1862	/tmp/g3-4b-runtime/sweep-page-2mb.log
DIAGNOSTIC	one-kernel-LUD	lookup_latency	0/0	real	64KB	0/0	25838	0.7614	257/256/1	1/0/1	1/0/0/1/1863	3/0/3/0	4/4/0/4	1863/1863	/tmp/g3-4b-runtime/sweep-zero-lookup.log
FORMAL	BFS	generic-baseline	real-64KB	real	64KB	10/80	5485	8.2144	49071/48915/156	156/132/24	7/17/0/2/8092	21/9/12/0	19/19/3/16	531381/27997	/tmp/g3-4b-runtime/bfs-64k.log
