process_ordinal	variant	grid	block	nregs	shmem	function_family
1	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
2	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
3	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
4	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
5	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
6	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
7	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
8	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
9	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
10	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
11	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
12	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
13	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
14	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
15	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
16	A	512x1x1	16x4x1	168	272	BF16_cublas_gemvx
